IID	SPAD_Shenzhen_2022_Nautural_Booting
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	30.3
WATDE0563	35.9
WATDE0565	35.7
WATDE0566	NA
WATDE0567	39.4
WATDE0568	NA
WATDE0569	40.8
WATDE0570	NA
WATDE0571	38.1
WATDE0572	43.1
WATDE0574	39.55
WATDE0577	38.4
WATDE0578	NA
WATDE0579	45.2
WATDE0581	36.7
WATDE0582	NA
WATDE0585	39.7
WATDE0586	NA
WATDE0588	NA
WATDE0589	33.6
WATDE0591	NA
WATDE0592	NA
WATDE0594	39.25
WATDE0596	38.9
WATDE0597	31.7
WATDE0598	35.8
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	41.9
WATDE0603	NA
WATDE0604	42.15
WATDE0606	NA
WATDE0608	NA
WATDE0609	NA
WATDE0610	28.3
WATDE0611	29.8
WATDE0613	NA
WATDE0614	40
WATDE0615	35.2
WATDE0616	36.1
WATDE0617	37.8
WATDE0618	NA
WATDE0620	39.3
WATDE0622	NA
WATDE0624	NA
WATDE0626	38.4
WATDE0627	NA
WATDE0628	40.1
WATDE0630	31.4
WATDE0631	40.8
WATDE0632	40.7
WATDE0634	39.8
WATDE0635	41.3
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	NA
WATDE0644	NA
WATDE0646	39.3
WATDE0648	NA
WATDE0649	32.2
WATDE0650	40.2
WATDE0651	38.2
WATDE0652	47.7
WATDE0653	33.1
WATDE0655	34.1
WATDE0657	38
WATDE0658	36.7
WATDE0659	32.8
WATDE0660	37.9
WATDE0661	36.1
WATDE0662	40.2
WATDE0663	44
WATDE0664	34.1
WATDE0665	37
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	37.6
WATDE0671	NA
WATDE0672	NA
WATDE0674	39.5
WATDE0675	NA
WATDE0676	35.75
WATDE0678	34.3
WATDE0679	46.3
WATDE0680	42.4
WATDE0682	37.5
WATDE0683	33.6
WATDE0685	NA
WATDE0686	41.5
WATDE0687	31.4
WATDE0688	NA
WATDE0689	34.8
WATDE0691	NA
WATDE0693	24.7
WATDE0694	34.9
WATDE0695	43.5
WATDE0697	35.7
WATDE0699	NA
WATDE0700	44.5
WATDE0701	38.35
WATDE0702	31.4
WATDE0703	40.7
WATDE0704	NA
WATDE0705	33.5
WATDE0706	NA
WATDE0707	40.6
WATDE0709	NA
WATDE0710	NA
WATDE0712	NA
WATDE0713	25.3
WATDE0716	NA
WATDE0718	NA
WATDE0720	34.9
WATDE0721	35.4
WATDE0723	46.3
WATDE0725	43.8
WATDE0726	NA
WATDE0727	NA
WATDE0728	37.6
WATDE0729	NA
WATDE0730	39.6
WATDE0732	36.9
WATDE0735	42
WATDE0736	40.9
WATDE0737	36.4
WATDE0738	40.6
WATDE0739	44.7
WATDE0740	NA
WATDE0742	NA
WATDE0743	36.5
WATDE0744	NA
WATDE0745	44.2
WATDE0747	37.8
WATDE0748	NA
WATDE0749	35.1
WATDE0750	NA
WATDE0751	41.8
WATDE0752	NA
WATDE0754	33.6
WATDE0755	41.9
WATDE0756	NA
WATDE0758	38.65
WATDE0759	38.35
WATDE0760	39.2
WATDE0761	42.7
WATDE0763	38.3
WATDE0765	27.4
WATDE0766	40.2
WATDE0768	33.7
WATDE0769	38.8
