IID	LeafLen_Shenzhen-NN_2021_Natural
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	30.96
WATDE0510	NA
WATDE0511	NA
WATDE0512	22.26
WATDE0513	27.45
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	19.17
WATDE0522	25.39
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	18.05
WATDE0534	22.43
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	27.50
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	20.18
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	22.58
WATDE0555	24.85
WATDE0556	20.56
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	24.21
WATDE0565	23.10
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	27.93
WATDE0570	30.30
WATDE0571	27.95
WATDE0572	23.00
WATDE0574	22.83
WATDE0577	24.43
WATDE0578	NA
WATDE0579	20.39
WATDE0581	22.72
WATDE0582	NA
WATDE0585	25.65
WATDE0586	NA
WATDE0588	25.49
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	22.82
WATDE0598	NA
WATDE0599	NA
WATDE0600	19.30
WATDE0601	NA
WATDE0602	NA
WATDE0603	30.63
WATDE0604	21.31
WATDE0606	20.00
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	20.89
WATDE0613	20.15
WATDE0614	25.66
WATDE0615	19.16
WATDE0616	25.45
WATDE0617	NA
WATDE0618	NA
WATDE0620	NA
WATDE0622	17.26
WATDE0624	NA
WATDE0626	24.44
WATDE0627	NA
WATDE0628	26.98
WATDE0630	NA
WATDE0631	14.79
WATDE0632	NA
WATDE0634	16.70
WATDE0635	18.06
WATDE0636	26.33
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	25.47
WATDE0644	NA
WATDE0646	22.41
WATDE0648	NA
WATDE0649	17.82
WATDE0650	21.84
WATDE0651	23.91
WATDE0652	22.57
WATDE0653	25.75
WATDE0655	18.89
WATDE0657	23.49
WATDE0658	NA
WATDE0659	32.06
WATDE0660	19.27
WATDE0661	20.24
WATDE0662	NA
WATDE0663	NA
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	15.73
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	28.08
WATDE0680	22.77
WATDE0682	33.72
WATDE0683	NA
WATDE0685	NA
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	12.85
WATDE0691	21.26
WATDE0693	29.75
WATDE0694	20.93
WATDE0695	26.55
WATDE0697	26.52
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	NA
WATDE0705	NA
WATDE0706	14.52
WATDE0707	NA
WATDE0709	NA
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	20.20
WATDE0730	NA
WATDE0732	NA
WATDE0735	22.94
WATDE0736	NA
WATDE0737	NA
WATDE0738	NA
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	26.52
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	20.82
WATDE0758	NA
WATDE0759	22.46
WATDE0760	NA
WATDE0761	27.20
WATDE0763	26.62
WATDE0765	25.23
WATDE0766	25.67
WATDE0768	22.87
WATDE0769	28.06
WATDE0770	NA
WATDE0771	NA
WATDE0773	NA
WATDE0774	NA
WATDE0775	20.14
WATDE0776	14.99
WATDE0777	NA
WATDE0779	NA
WATDE0780	28.69
WATDE0781	NA
WATDE0782	20.09
WATDE0783	22.63
WATDE0785	23.71
WATDE0786	NA
WATDE0788	21.98
WATDE0789	20.51
WATDE0790	26.23
WATDE0791	24.60
WATDE0793	NA
WATDE0794	31.14
WATDE0795	29.10
WATDE0797	25.23
WATDE0798	28.25
WATDE0800	28.28
WATDE0802	28.37
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	31.60
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	19.24
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	19.41
WATDE0831	NA
WATDE0833	NA
WATDE0835	17.59
WATDE0836	15.81
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
WATDE0848	21.47
WATDE0850	NA
WATDE0851	26.55
WATDE0852	21.45
WATDE0854	19.04
WATDE0856	NA
WATDE0857	24.71
WATDE0859	16.29
WATDE0861	15.40
WATDE0862	13.64
WATDE0863	23.00
WATDE0864	NA
WATDE0865	17.52
WATDE0869	NA
WATDE0871	NA
WATDE0872	NA
WATDE0873	NA
WATDE0874	14.03
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	27.81
WATDE0889	21.78
WATDE0890	21.34
WATDE0892	NA
WATDE0894	NA
WATDE0895	28.46
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	18.03
WATDE0902	NA
WATDE0903	NA
WATDE0904	25.44
WATDE0905	21.77
WATDE0906	27.19
WATDE0907	25.56
WATDE0909	12.22
WATDE0910	NA
WATDE0911	NA
WATDE0912	16.79
WATDE0913	15.86
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	18.53
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	25.56
WATDE0926	21.24
WATDE0927	14.94
WATDE0928	14.17
WATDE0929	NA
WATDE0930	15.17
WATDE0932	13.20
WATDE0933	32.84
WATDE0934	NA
WATDE0935	NA
WATDE0937	18.85
WATDE0938	NA
WATDE0939	21.72
WATDE0941	NA
WATDE0944	22.34
WATDE0945	22.97
WATDE0947	24.46
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	20.41
WATDE0958	17.89
WATDE0961	NA
WATDE0963	20.60
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	28.10
WATDE0981	NA
WATDE0982	NA
WATDE0983	29.67
WATDE0984	20.27
WATDE0986	22.76
WATDE0987	17.12
WATDE0989	NA
WATDE0991	23.24
WATDE0993	22.89
WATDE0995	21.02
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	23.80
WATDE1005	20.17
WATDE1008	NA
WATDE1009	25.77
WATDE1010	25.67
WATDE1012	NA
WATDE1014	NA
WATDE1016	20.81
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	23.69
WATDE1027	NA
WATDE1029	NA
WATDE1031	16.57
WATDE1032	21.18
WATDE1034	NA
WATDE1035	20.31
WATDE1037	11.93
WATDE1038	19.42
WATDE1040	NA
WATDE1042	19.25
WATDE1044	NA
WATDE1046	28.04
WATDE1048	13.49
WATDE1049	26.22
WATDE1050	21.60
WATDE1051	24.63
WATDE1052	24.08
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	26.96
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
