IID	SplN_Quzhou_2022_Natural_Sterility-Top
WATDE0561	NA
WATDE0562	0.00
WATDE0563	0.00
WATDE0565	0.33
WATDE0566	0.00
WATDE0567	0.00
WATDE0568	0.00
WATDE0569	0.00
WATDE0570	0.00
WATDE0571	1.00
WATDE0572	0.33
WATDE0574	0.00
WATDE0577	0.00
WATDE0578	0.00
WATDE0579	0.00
WATDE0581	0.00
WATDE0582	0.00
WATDE0585	0.00
WATDE0586	0.33
WATDE0588	0.00
WATDE0589	0.00
WATDE0591	0.00
WATDE0592	NA
WATDE0594	0.00
WATDE0596	0.00
WATDE0597	0.00
WATDE0598	0.00
WATDE0599	0.00
WATDE0600	0.67
WATDE0601	NA
WATDE0602	0.33
WATDE0603	0.00
WATDE0604	0.00
WATDE0606	0.00
WATDE0608	0.00
WATDE0609	0.00
WATDE0610	0.00
WATDE0611	0.33
WATDE0613	0.00
WATDE0614	0.00
WATDE0615	0.00
WATDE0616	0.33
WATDE0617	0.00
WATDE0618	0.00
WATDE0620	0.00
WATDE0622	1.00
WATDE0624	NA
WATDE0626	0.00
WATDE0627	1.33
WATDE0628	0.00
WATDE0630	NA
WATDE0631	0.00
WATDE0632	0.00
WATDE0634	0.67
WATDE0635	0.00
WATDE0636	0.00
WATDE0638	0.00
WATDE0639	0.00
WATDE0640	0.67
WATDE0641	NA
WATDE0643	0.33
WATDE0644	NA
WATDE0646	NA
WATDE0648	0.67
WATDE0649	0.00
WATDE0650	0.33
WATDE0651	0.00
WATDE0652	0.33
WATDE0653	NA
WATDE0655	0.00
WATDE0657	0.00
WATDE0658	0.00
WATDE0659	0.00
WATDE0660	0.00
WATDE0661	NA
WATDE0662	0.00
WATDE0663	0.00
WATDE0664	0.00
WATDE0665	0.33
WATDE0666	NA
WATDE0667	0.33
WATDE0669	0.33
WATDE0670	0.00
WATDE0671	0.00
WATDE0672	0.00
WATDE0674	0.67
WATDE0675	1.33
WATDE0676	0.33
WATDE0678	0.33
WATDE0679	NA
WATDE0680	0.67
WATDE0682	0.00
WATDE0683	0.00
WATDE0685	NA
WATDE0686	0.00
WATDE0687	0.00
WATDE0688	0.00
WATDE0689	0.00
WATDE0691	0.33
WATDE0693	0.00
WATDE0694	1.00
WATDE0695	0.67
WATDE0697	0.00
WATDE0699	NA
WATDE0700	NA
WATDE0701	0.00
WATDE0702	0.00
WATDE0703	0.33
WATDE0704	0.00
WATDE0705	0.00
WATDE0706	0.00
WATDE0707	0.00
WATDE0709	0.00
WATDE0710	0.33
WATDE0712	0.00
WATDE0713	0.00
WATDE0716	0.00
WATDE0718	NA
WATDE0720	NA
WATDE0721	0.00
WATDE0723	0.00
WATDE0725	0.00
WATDE0726	0.00
WATDE0727	0.00
WATDE0728	0.00
WATDE0729	0.33
WATDE0730	0.00
WATDE0732	0.00
WATDE0735	0.00
WATDE0736	0.00
WATDE0737	0.00
WATDE0738	0.00
WATDE0739	0.00
WATDE0740	NA
WATDE0742	0.00
WATDE0743	0.00
WATDE0744	NA
WATDE0745	0.33
WATDE0747	0.00
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	0.00
WATDE0752	0.33
WATDE0754	0.00
WATDE0755	0.00
WATDE0756	0.00
WATDE0758	NA
WATDE0759	NA
WATDE0760	0.00
WATDE0761	0.00
WATDE0763	NA
WATDE0765	0.00
WATDE0766	0.00
WATDE0768	0.00
WATDE0769	0.33
WATDE0770	0.00
WATDE0771	0.00
WATDE0773	0.67
WATDE0774	0.33
WATDE0775	0.00
WATDE0776	0.00
WATDE0777	0.00
WATDE0779	NA
WATDE0780	0.00
WATDE0781	0.33
WATDE0782	0.00
WATDE0783	0.00
WATDE0785	0.33
WATDE0786	0.00
WATDE0788	0.00
WATDE0789	0.00
WATDE0790	0.00
WATDE0791	0.00
WATDE0793	0.00
WATDE0794	0.00
WATDE0795	0.33
WATDE0797	0.00
WATDE0798	NA
WATDE0800	0.00
WATDE0802	0.33
WATDE0803	0.00
WATDE0804	0.00
WATDE0805	NA
WATDE0807	0.00
WATDE0808	0.00
WATDE0810	2.00
WATDE0811	NA
WATDE0812	0.67
WATDE0814	0.00
WATDE0815	0.00
WATDE0816	0.33
WATDE0817	NA
WATDE0818	0.00
WATDE0819	NA
WATDE0821	NA
WATDE0823	1.00
WATDE0825	NA
WATDE0826	0.00
WATDE0827	0.00
WATDE0828	0.00
WATDE0830	0.00
WATDE0831	0.00
WATDE0833	0.00
WATDE0835	0.00
WATDE0836	0.00
WATDE0837	0.00
WATDE0839	0.00
WATDE0840	0.00
WATDE0841	0.33
WATDE0843	0.67
WATDE0845	0.00
