IID	Ant_Shenzhen_2022_Natural_50percent
WATDE0630	139
WATDE0631	144
WATDE0632	170
WATDE0634	150
WATDE0635	104
WATDE0636	170
WATDE0638	170
WATDE0639	140
WATDE0640	143
WATDE0641	NA
WATDE0643	133
WATDE0644	NA
WATDE0646	122
WATDE0648	142
WATDE0649	138
WATDE0650	150
WATDE0651	118
WATDE0652	143
WATDE0653	118
WATDE0655	114
WATDE0657	137
WATDE0658	173
WATDE0659	118
WATDE0660	167
WATDE0661	131
WATDE0662	168
WATDE0663	116
WATDE0664	157
WATDE0665	157
WATDE0666	NA
WATDE0667	NA
WATDE0669	173
WATDE0670	163
WATDE0671	175
WATDE0672	152
WATDE0674	137
WATDE0675	157
WATDE0676	152
WATDE0678	133
WATDE0679	123
WATDE0680	136
WATDE0682	122
WATDE0683	127
WATDE0685	131
WATDE0686	139
WATDE0687	156
WATDE0688	160
WATDE0689	145
WATDE0691	82
WATDE0693	151
WATDE0694	138
WATDE0695	135
WATDE0697	151
WATDE0699	NA
WATDE0700	122
WATDE0701	145
WATDE0702	112
WATDE0703	148
WATDE0704	89
WATDE0705	133
WATDE0706	133
WATDE0707	128
WATDE0709	131
WATDE0710	NA
WATDE0712	116
WATDE0713	169
WATDE0716	NA
WATDE0718	134
WATDE0720	157
WATDE0721	157
WATDE0723	126
WATDE0725	139
WATDE0726	166
WATDE0727	NA
WATDE0728	135
WATDE0729	121
WATDE0730	149
WATDE0732	135
WATDE0735	121
WATDE0736	135
WATDE0737	135
WATDE0738	130
WATDE0739	151
WATDE0740	NA
WATDE0742	NA
WATDE0743	157
WATDE0744	NA
WATDE0745	116
WATDE0747	117
WATDE0748	NA
WATDE0749	149
WATDE0750	NA
WATDE0751	122
WATDE0752	141
WATDE0754	132
WATDE0755	133
WATDE0756	128
WATDE0758	137
WATDE0759	137
WATDE0760	115
WATDE0761	113
WATDE0763	125
WATDE0765	122
WATDE0766	129
WATDE0768	120
WATDE0769	126
WATDE0770	127
WATDE0771	109
WATDE0773	125
WATDE0774	146
WATDE0775	145
WATDE0776	139
WATDE0777	157
WATDE0779	NA
WATDE0780	143
WATDE0781	155
WATDE0782	134
WATDE0783	148
WATDE0785	129
WATDE0786	162
WATDE0788	101
WATDE0789	129
WATDE0790	128
WATDE0791	130
WATDE0793	128
WATDE0794	117
WATDE0795	129
WATDE0797	121
WATDE0798	120
WATDE0800	130
WATDE0802	114
WATDE0803	162
WATDE0804	116
WATDE0805	148
WATDE0807	134
WATDE0808	142
WATDE0810	157
WATDE0811	132
WATDE0812	168
WATDE0814	118
WATDE0815	NA
WATDE0816	NA
WATDE0817	143
WATDE0818	NA
WATDE0819	172
WATDE0821	NA
WATDE0823	162
WATDE0825	NA
WATDE0826	NA
WATDE0827	74
WATDE0828	NA
WATDE0830	157
WATDE0831	171
WATDE0833	171
WATDE0835	131
WATDE0836	132
WATDE0837	155
WATDE0839	124
WATDE0840	135
WATDE0841	157
WATDE0843	174
WATDE0845	169
WATDE0846	128
WATDE0848	173
WATDE0850	107
WATDE0851	122
WATDE0852	135
WATDE0854	90
WATDE0856	161
WATDE0857	120
WATDE0859	133
WATDE0861	129
WATDE0862	154
WATDE0863	110
WATDE0864	NA
WATDE0865	154
WATDE0869	160
WATDE0871	127
WATDE0872	157
WATDE0873	153
WATDE0874	156
WATDE0875	157
WATDE0876	157
WATDE0877	158
WATDE0878	178
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	153
WATDE0883	158
WATDE0884	NA
WATDE0887	NA
WATDE0888	135
WATDE0889	95
WATDE0890	154
WATDE0892	151
WATDE0894	151
WATDE0895	179
WATDE0896	157
WATDE0898	NA
WATDE0899	131
WATDE0900	NA
WATDE0901	97
WATDE0902	93
WATDE0903	NA
WATDE0904	110
WATDE0905	116
WATDE0906	123
WATDE0907	119
WATDE0909	104
WATDE0910	82
WATDE0911	NA
WATDE0912	143
WATDE0913	115
WATDE0914	NA
WATDE0915	144
WATDE0916	91
WATDE0917	84
WATDE0918	NA
WATDE0919	116
WATDE0920	NA
WATDE0922	73
WATDE0923	100
WATDE0924	88
WATDE0926	83
WATDE0927	81
WATDE0928	147
WATDE0929	148
WATDE0930	155
WATDE0932	120
WATDE0933	130
WATDE0934	155
WATDE0935	147
WATDE0937	133
WATDE0938	154
WATDE0939	108
WATDE0941	NA
WATDE0944	148
WATDE0945	141
WATDE0947	137
WATDE0950	153
WATDE0951	132
WATDE0952	142
WATDE0953	NA
WATDE0954	148
WATDE0955	NA
WATDE0957	137
WATDE0958	NA
WATDE0961	171
WATDE0963	117
WATDE0965	NA
WATDE0966	138
WATDE0967	166
WATDE0969	155
WATDE0970	157
WATDE0971	157
WATDE0973	NA
WATDE0974	119
WATDE0975	NA
WATDE0977	144
WATDE0978	154
WATDE0979	154
WATDE0981	NA
WATDE0982	154
WATDE0983	140
WATDE0984	130
WATDE0986	100
WATDE0987	154
WATDE0989	123
WATDE0991	122
WATDE0993	151
WATDE0995	129
WATDE0996	141
WATDE0997	NA
WATDE0999	157
WATDE1001	NA
WATDE1002	NA
WATDE1003	166
WATDE1004	151
WATDE1005	147
WATDE1008	162
WATDE1009	136
WATDE1010	135
WATDE1012	131
WATDE1014	NA
WATDE1016	162
WATDE1017	NA
WATDE1018	152
WATDE1019	139
WATDE1021	NA
WATDE1023	NA
WATDE1025	162
WATDE1026	134
WATDE1027	NA
WATDE1029	149
WATDE1031	154
WATDE1032	154
WATDE1034	157
WATDE1035	148
WATDE1037	134
WATDE1038	87
WATDE1040	NA
WATDE1042	NA
WATDE1044	157
WATDE1046	93
WATDE1048	132
WATDE1049	132
WATDE1050	132
WATDE1051	126
WATDE1052	155
WATDE1053	NA
WATDE1055	134
WATDE1056	148
WATDE1058	155
WATDE1060	119
WATDE1061	142
WATDE1062	157
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
