IID	PH_Kaifeng_2020_Natural
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	100.00
WATDE0302	85.00
WATDE0303	NA
WATDE0304	NA
WATDE0305	76.00
WATDE0306	80.00
WATDE0308	NA
WATDE0310	NA
WATDE0312	NA
WATDE0313	76.00
WATDE0315	69.00
WATDE0316	73.00
WATDE0317	74.00
WATDE0318	79.50
WATDE0319	54.00
WATDE0321	127.00
WATDE0323	NA
WATDE0324	NA
WATDE0325	NA
WATDE0328	NA
WATDE0329	89.00
WATDE0331	78.00
WATDE0332	77.50
WATDE0333	84.00
WATDE0334	NA
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	80.00
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	89.50
WATDE0346	NA
WATDE0347	63.00
WATDE0348	NA
WATDE0350	98.00
WATDE0352	60.00
WATDE0353	76.00
WATDE0354	83.00
WATDE0355	70.50
WATDE0356	75.00
WATDE0358	NA
WATDE0359	83.50
WATDE0361	NA
WATDE0363	59.50
WATDE0365	NA
WATDE0366	87.50
WATDE0368	70.67
WATDE0369	80.00
WATDE0370	75.50
WATDE0371	85.00
WATDE0372	73.50
WATDE0373	NA
WATDE0374	NA
WATDE0375	NA
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	80.00
WATDE0382	63.50
WATDE0383	64.00
WATDE0385	61.50
WATDE0386	NA
WATDE0387	91.50
WATDE0389	NA
WATDE0391	82.00
WATDE0392	NA
WATDE0394	NA
WATDE0396	NA
WATDE0397	NA
WATDE0399	NA
WATDE0401	99.50
WATDE0403	73.00
WATDE0404	67.00
WATDE0405	NA
WATDE0407	69.00
WATDE0408	88.50
WATDE0409	NA
WATDE0410	64.00
WATDE0411	92.00
WATDE0412	66.50
WATDE0413	57.00
WATDE0415	60.00
WATDE0417	89.50
WATDE0419	63.50
WATDE0420	58.00
WATDE0421	56.50
WATDE0422	59.50
WATDE0423	74.00
WATDE0424	69.00
WATDE0425	77.00
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	55.00
WATDE0430	76.00
WATDE0431	70.00
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	80.00
WATDE0438	NA
WATDE0439	72.00
WATDE0440	NA
WATDE0441	NA
WATDE0442	56.50
WATDE0443	NA
WATDE0444	NA
WATDE0445	63.00
WATDE0446	80.50
WATDE0448	91.00
WATDE0449	80.00
WATDE0450	NA
WATDE0451	63.00
WATDE0452	79.00
WATDE0453	76.50
WATDE0454	NA
WATDE0455	NA
WATDE0456	NA
WATDE0457	NA
WATDE0460	NA
WATDE0461	65.00
WATDE0462	77.00
WATDE0463	NA
WATDE0465	75.00
WATDE0467	NA
WATDE0469	NA
WATDE0471	NA
WATDE0474	NA
WATDE0477	NA
WATDE0479	68.00
WATDE0481	NA
WATDE0482	NA
WATDE0484	NA
WATDE0486	NA
WATDE0487	79.50
WATDE0488	70.50
WATDE0489	NA
WATDE0490	71.67
WATDE0492	74.50
WATDE0494	88.00
WATDE0496	NA
WATDE0498	95.67
WATDE0500	82.50
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	81.00
WATDE0505	NA
WATDE0507	NA
WATDE0509	79.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	104.50
WATDE0515	69.00
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	96.00
WATDE0521	82.67
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	NA
WATDE0536	NA
WATDE0537	78.00
WATDE0538	NA
WATDE0539	76.50
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	88.00
WATDE0544	NA
WATDE0546	NA
WATDE0547	72.00
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	NA
WATDE0555	NA
WATDE0556	79.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	70.00
WATDE0563	NA
WATDE0565	NA
WATDE0566	80.50
WATDE0567	NA
WATDE0568	NA
WATDE0569	84.50
WATDE0570	77.00
WATDE0571	89.00
WATDE0572	NA
WATDE0574	NA
WATDE0577	82.00
WATDE0578	97.50
WATDE0579	NA
WATDE0581	NA
WATDE0582	81.33
WATDE0585	NA
WATDE0586	115.50
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	57.00
WATDE0597	NA
WATDE0598	83.00
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	94.00
WATDE0603	NA
WATDE0604	NA
WATDE0606	64.50
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	NA
WATDE0613	NA
WATDE0614	63.50
WATDE0615	89.00
WATDE0616	NA
WATDE0617	NA
WATDE0618	104.50
WATDE0620	NA
WATDE0622	110.50
WATDE0624	NA
WATDE0626	NA
WATDE0627	66.50
WATDE0628	80.00
WATDE0630	92.50
WATDE0631	NA
WATDE0632	NA
WATDE0634	NA
WATDE0635	NA
WATDE0636	100.00
WATDE0638	NA
WATDE0639	86.00
WATDE0640	82.00
WATDE0641	NA
WATDE0643	75.00
WATDE0644	NA
WATDE0646	NA
WATDE0648	NA
WATDE0649	69.00
WATDE0650	80.00
WATDE0651	92.50
WATDE0652	63.00
WATDE0653	77.00
WATDE0655	72.50
WATDE0657	72.00
WATDE0658	NA
WATDE0659	58.00
WATDE0660	NA
WATDE0661	NA
WATDE0662	NA
WATDE0663	84.00
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	112.00
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	91.00
WATDE0674	95.00
WATDE0675	NA
WATDE0676	NA
WATDE0678	80.00
WATDE0679	NA
WATDE0680	NA
WATDE0682	71.00
WATDE0683	62.00
WATDE0685	81.50
WATDE0686	63.33
WATDE0687	64.50
WATDE0688	NA
WATDE0689	NA
WATDE0691	67.67
WATDE0693	NA
WATDE0694	NA
WATDE0695	NA
WATDE0697	NA
WATDE0699	NA
WATDE0700	79.00
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	92.00
WATDE0705	83.00
WATDE0706	NA
WATDE0707	78.00
WATDE0709	NA
WATDE0710	NA
WATDE0712	76.33
WATDE0713	105.50
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	83.50
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	85.00
WATDE0729	75.00
WATDE0730	86.50
WATDE0732	NA
WATDE0735	NA
WATDE0736	78.00
WATDE0737	72.00
WATDE0738	77.00
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	59.33
WATDE0747	75.00
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	75.50
WATDE0752	74.00
WATDE0754	73.50
WATDE0755	NA
WATDE0756	NA
WATDE0758	51.00
WATDE0759	75.00
WATDE0760	82.50
WATDE0761	NA
WATDE0763	NA
WATDE0765	NA
WATDE0766	66.00
WATDE0768	NA
WATDE0769	NA
WATDE0770	NA
WATDE0771	90.00
WATDE0773	62.33
WATDE0774	55.67
WATDE0775	79.00
WATDE0776	NA
WATDE0777	NA
WATDE0779	NA
WATDE0780	84.50
WATDE0781	NA
WATDE0782	NA
WATDE0783	NA
WATDE0785	NA
WATDE0786	NA
WATDE0788	NA
WATDE0789	NA
WATDE0790	NA
WATDE0791	54.33
WATDE0793	93.50
WATDE0794	81.50
WATDE0795	NA
WATDE0797	NA
WATDE0798	65.00
WATDE0800	94.00
WATDE0802	92.50
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	50.00
WATDE0810	NA
WATDE0811	NA
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	63.00
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	111.00
WATDE0831	NA
WATDE0833	83.00
WATDE0835	NA
WATDE0836	NA
WATDE0837	NA
WATDE0839	89.00
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	91.33
WATDE0848	103.00
WATDE0850	NA
WATDE0851	80.00
WATDE0852	73.00
WATDE0854	NA
WATDE0856	NA
WATDE0857	NA
WATDE0859	77.33
WATDE0861	NA
WATDE0862	NA
WATDE0863	NA
WATDE0864	NA
WATDE0865	NA
WATDE0869	71.00
WATDE0871	NA
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	105.67
WATDE0879	97.00
WATDE0880	68.00
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	106.00
WATDE0888	NA
WATDE0889	NA
WATDE0890	NA
WATDE0892	NA
WATDE0894	78.00
WATDE0895	63.50
WATDE0896	NA
WATDE0898	NA
WATDE0899	80.50
WATDE0900	50.00
WATDE0901	82.00
WATDE0902	71.00
WATDE0903	65.00
WATDE0904	67.00
WATDE0905	74.50
WATDE0906	78.00
WATDE0907	86.00
WATDE0909	84.00
WATDE0910	87.00
WATDE0911	NA
WATDE0912	95.00
WATDE0913	NA
WATDE0914	NA
WATDE0915	NA
WATDE0916	66.00
WATDE0917	72.00
WATDE0918	90.00
WATDE0919	NA
WATDE0920	NA
WATDE0922	82.00
WATDE0923	82.00
WATDE0924	NA
WATDE0926	83.50
WATDE0927	76.00
WATDE0928	NA
WATDE0929	NA
WATDE0930	NA
WATDE0932	NA
WATDE0933	82.00
WATDE0934	51.00
WATDE0935	NA
WATDE0937	NA
WATDE0938	NA
WATDE0939	NA
WATDE0941	43.00
WATDE0944	NA
WATDE0945	NA
WATDE0947	60.00
