IID	SPAD_Shenzhen_2022_Nautural_Flowering
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	NA
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	NA
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	NA
WATDE0540	NA
WATDE0541	36.1
WATDE0542	NA
WATDE0543	NA
WATDE0544	25.4
WATDE0546	NA
WATDE0547	NA
WATDE0549	36.2
WATDE0550	NA
WATDE0552	NA
WATDE0553	NA
WATDE0555	36.6
WATDE0556	37.7
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	NA
WATDE0565	29.8
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	37.2
WATDE0570	NA
WATDE0571	30.3
WATDE0572	NA
WATDE0574	NA
WATDE0577	37.3
WATDE0578	NA
WATDE0579	37.8
WATDE0581	30.8
WATDE0582	NA
WATDE0585	40.3
WATDE0586	NA
WATDE0588	34
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	32.3
WATDE0598	38
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	NA
WATDE0604	41.1
WATDE0606	33
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	NA
WATDE0613	39.4
WATDE0614	37.1
WATDE0615	34.4
WATDE0616	34.6
WATDE0617	33.7
WATDE0618	NA
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	47.5
WATDE0627	NA
WATDE0628	NA
WATDE0630	NA
WATDE0631	NA
WATDE0632	NA
WATDE0634	NA
WATDE0635	44
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	34.2
WATDE0644	NA
WATDE0646	36.3
WATDE0648	NA
WATDE0649	28.5
WATDE0650	NA
WATDE0651	34.4
WATDE0652	NA
WATDE0653	39.7
WATDE0655	37.6
WATDE0657	NA
WATDE0658	NA
WATDE0659	34.2
WATDE0660	NA
WATDE0661	38.4
WATDE0662	NA
WATDE0663	34.7
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	30.8
WATDE0680	31.3
WATDE0682	31.9
WATDE0683	24.1
WATDE0685	29.1
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	NA
WATDE0691	43.1
WATDE0693	NA
WATDE0694	NA
WATDE0695	NA
WATDE0697	NA
WATDE0699	NA
WATDE0700	33.6
WATDE0701	NA
WATDE0702	30.3
WATDE0703	NA
WATDE0704	41.1
WATDE0705	NA
WATDE0706	52.1
WATDE0707	36.1
WATDE0709	30.9
WATDE0710	NA
WATDE0712	40
WATDE0713	NA
WATDE0716	NA
WATDE0718	35.4
WATDE0720	NA
WATDE0721	NA
WATDE0723	43.5
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	35.8
WATDE0730	NA
WATDE0732	29.2
WATDE0735	40.6
WATDE0736	29
WATDE0737	38.8
WATDE0738	36.3
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	37
WATDE0747	36.3
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	NA
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	45.7
WATDE0758	NA
WATDE0759	NA
WATDE0760	33.2
WATDE0761	31.1
WATDE0763	38.6
WATDE0765	36.2
WATDE0766	40.4
WATDE0768	36.8
WATDE0769	38.3
WATDE0770	33
WATDE0771	41.2
WATDE0773	42.8
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	NA
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	NA
WATDE0783	NA
WATDE0785	45.2
WATDE0786	NA
WATDE0788	38.4
WATDE0789	32.3
WATDE0790	36.6
WATDE0791	38.5
WATDE0793	33.6
WATDE0794	43.2
WATDE0795	29.2
WATDE0797	32.8
WATDE0798	38.1
WATDE0800	43.5
WATDE0802	44.7
WATDE0803	NA
WATDE0804	37.5
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	36.2
WATDE0812	NA
WATDE0814	36.3
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	37.4
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	38.7
WATDE0836	41.5
WATDE0837	NA
WATDE0839	36.6
WATDE0840	40.6
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	39.8
WATDE0848	NA
WATDE0850	35.4
WATDE0851	36.8
WATDE0852	NA
WATDE0854	NA
WATDE0856	NA
WATDE0857	29.9
WATDE0859	NA
WATDE0861	35
WATDE0862	NA
WATDE0863	42.7
WATDE0864	NA
WATDE0865	NA
