IID	FT_Shenzhen-NN_2021_Natural
WATDE0308	NA
WATDE0310	NA
WATDE0312	133
WATDE0313	109
WATDE0315	NA
WATDE0316	NA
WATDE0317	NA
WATDE0318	NA
WATDE0319	NA
WATDE0321	118.5
WATDE0323	NA
WATDE0324	108.5
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	133
WATDE0333	133
WATDE0334	118
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	120
WATDE0347	NA
WATDE0348	NA
WATDE0350	NA
WATDE0352	NA
WATDE0353	NA
WATDE0354	158
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	158
WATDE0361	NA
WATDE0363	130
WATDE0365	NA
WATDE0366	NA
WATDE0368	NA
WATDE0369	NA
WATDE0370	NA
WATDE0371	NA
WATDE0372	NA
WATDE0373	NA
WATDE0374	133
WATDE0375	111
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	NA
WATDE0382	130
WATDE0383	NA
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	133
WATDE0396	NA
WATDE0397	130
WATDE0399	NA
WATDE0401	111
WATDE0403	NA
WATDE0404	NA
WATDE0405	NA
WATDE0407	NA
WATDE0408	130
WATDE0409	NA
WATDE0410	NA
WATDE0411	NA
WATDE0412	130
WATDE0413	92
WATDE0415	130
WATDE0417	NA
WATDE0419	NA
WATDE0420	111
WATDE0421	109
WATDE0422	104
WATDE0423	NA
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	130
WATDE0430	130
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	136
WATDE0438	NA
WATDE0439	NA
WATDE0440	NA
WATDE0441	133
WATDE0442	NA
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	NA
WATDE0448	127
WATDE0449	130
WATDE0450	NA
WATDE0451	NA
WATDE0452	130
WATDE0453	109
WATDE0454	111
WATDE0455	108.5
WATDE0456	NA
WATDE0457	NA
WATDE0460	NA
WATDE0461	NA
WATDE0462	107
WATDE0463	120
WATDE0465	136
WATDE0467	118
WATDE0469	119
WATDE0471	136
WATDE0474	133
WATDE0477	133
WATDE0479	NA
WATDE0481	133
WATDE0482	NA
WATDE0484	120
WATDE0486	133
WATDE0487	106
WATDE0488	120
WATDE0489	84
WATDE0490	NA
WATDE0492	NA
WATDE0494	136
WATDE0496	NA
WATDE0498	136
WATDE0500	NA
