IID	GI_Shenzhen-LN_2020_Natural
WATDE0652	NA
WATDE0653	1.602510033
WATDE0655	NA
WATDE0657	NA
WATDE0658	NA
WATDE0659	2.558463276
WATDE0660	NA
WATDE0661	3.058751766
WATDE0662	NA
WATDE0663	NA
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	2.181454404
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	2.190822082
WATDE0680	NA
WATDE0682	NA
WATDE0683	NA
WATDE0685	NA
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	2.159666128
WATDE0691	NA
WATDE0693	1.317222782
WATDE0694	1.786266523
WATDE0695	2.377819863
WATDE0697	1.496052984
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	NA
WATDE0705	NA
WATDE0706	0.946226952
WATDE0707	NA
WATDE0709	NA
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	1.591525388
WATDE0730	NA
WATDE0732	NA
WATDE0735	2.29952035
WATDE0736	NA
WATDE0737	NA
WATDE0738	NA
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	2.061980576
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	2.487938887
WATDE0758	NA
WATDE0759	NA
WATDE0760	NA
WATDE0761	1.640728611
WATDE0763	2.508874889
WATDE0765	2.138533237
WATDE0766	NA
WATDE0768	1.93177556
WATDE0769	2.018501157
WATDE0770	NA
WATDE0771	NA
WATDE0773	NA
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	NA
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	1.131169655
WATDE0783	1.963301516
WATDE0785	1.833964512
WATDE0786	NA
WATDE0788	1.052907562
WATDE0789	1.69025224
WATDE0790	1.156603481
WATDE0791	1.62108015
WATDE0793	NA
WATDE0794	2.062784504
WATDE0795	2.231501192
WATDE0797	1.97099971
WATDE0798	2.893597261
WATDE0800	NA
WATDE0802	NA
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	NA
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	2.140702616
WATDE0836	1.650283034
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
