IID	SplN_Shenzhen_2022_Natural_Sterility-Top
WATDE0350	1.67
WATDE0352	NA
WATDE0353	1.33
WATDE0354	6.00
WATDE0355	NA
WATDE0356	NA
WATDE0358	2.67
WATDE0359	1.67
WATDE0361	NA
WATDE0363	8.00
WATDE0365	4.00
WATDE0366	NA
WATDE0368	0.67
WATDE0369	1.33
WATDE0370	0.67
WATDE0371	0.67
WATDE0372	1.00
WATDE0373	1.33
WATDE0374	NA
WATDE0375	0.33
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	5.33
WATDE0382	11.00
WATDE0383	11.67
WATDE0385	4.33
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	1.00
WATDE0396	2.67
WATDE0397	1.00
WATDE0399	0.00
WATDE0401	2.00
WATDE0403	NA
WATDE0404	0.00
WATDE0405	NA
WATDE0407	NA
WATDE0408	1.00
WATDE0409	0.00
WATDE0410	NA
WATDE0411	0.00
WATDE0412	0.00
WATDE0413	4.33
WATDE0415	0.33
WATDE0417	10.00
WATDE0419	0.00
WATDE0420	0.00
WATDE0421	1.00
WATDE0422	0.33
WATDE0423	0.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	1.33
WATDE0428	3.67
WATDE0429	1.33
WATDE0430	10.67
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	1.00
WATDE0435	NA
WATDE0436	1.00
WATDE0438	NA
WATDE0439	1.33
WATDE0440	5.33
WATDE0441	1.33
WATDE0442	0.67
WATDE0443	2.33
WATDE0444	1.33
WATDE0445	4.33
WATDE0446	1.33
WATDE0448	2.67
WATDE0449	0.33
WATDE0450	3.00
WATDE0451	NA
WATDE0452	0.00
WATDE0453	0.00
WATDE0454	0.33
WATDE0455	0.33
WATDE0456	5.00
WATDE0457	NA
WATDE0460	0.67
WATDE0461	7.67
WATDE0462	0.00
WATDE0463	1.33
WATDE0465	NA
WATDE0467	NA
WATDE0469	1.67
WATDE0471	1.67
WATDE0474	2.33
WATDE0477	1.33
WATDE0479	1.67
WATDE0481	1.67
WATDE0482	NA
WATDE0484	NA
WATDE0486	2.00
WATDE0487	7.67
WATDE0488	NA
WATDE0489	0.67
WATDE0490	3.33
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	4.67
WATDE0510	1.00
WATDE0511	NA
WATDE0512	1.33
WATDE0513	1.33
WATDE0515	1.67
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	2.00
WATDE0521	1.67
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	0.33
WATDE0536	NA
WATDE0537	1.67
WATDE0538	2.33
WATDE0539	1.33
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	1.00
WATDE0546	NA
WATDE0547	4.33
WATDE0549	2.67
WATDE0550	NA
WATDE0552	0.67
WATDE0553	2.67
WATDE0555	1.00
WATDE0556	0.67
WATDE0557	1.67
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	3.00
WATDE0563	1.67
WATDE0565	0.00
WATDE0566	NA
WATDE0567	1.67
WATDE0568	2.67
WATDE0569	2.67
WATDE0570	NA
WATDE0571	1.00
WATDE0572	2.33
WATDE0574	1.67
WATDE0577	1.33
WATDE0578	NA
WATDE0579	NA
WATDE0581	0.33
WATDE0582	NA
WATDE0585	0.33
WATDE0586	NA
WATDE0588	0.67
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	2.00
WATDE0596	1.00
WATDE0597	NA
WATDE0598	1.33
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	1.67
WATDE0604	2.33
WATDE0606	0.33
WATDE0608	NA
WATDE0609	NA
WATDE0610	1.00
WATDE0611	6.33
WATDE0613	1.33
WATDE0614	0.00
WATDE0615	0.33
WATDE0616	4.33
WATDE0617	4.67
WATDE0618	NA
WATDE0620	0.67
WATDE0622	NA
WATDE0624	NA
WATDE0626	3.00
WATDE0627	NA
WATDE0628	0.67
WATDE0630	1.67
WATDE0631	0.00
WATDE0632	NA
WATDE0634	2.33
WATDE0635	0.00
WATDE0636	NA
WATDE0638	NA
WATDE0639	1.00
WATDE0640	0.67
WATDE0641	NA
WATDE0643	0.67
WATDE0644	NA
WATDE0646	0.33
WATDE0648	6.00
WATDE0649	0.67
WATDE0650	1.67
WATDE0651	0.00
WATDE0652	2.00
WATDE0653	0.00
WATDE0655	0.00
WATDE0657	NA
WATDE0658	NA
WATDE0659	6.67
WATDE0660	0.33
WATDE0661	2.00
WATDE0662	2.00
WATDE0663	5.33
WATDE0664	0.67
WATDE0665	0.67
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	2.33
WATDE0674	0.00
WATDE0675	1.00
WATDE0676	1.67
WATDE0678	1.00
WATDE0679	1.00
WATDE0680	2.33
WATDE0682	2.33
WATDE0683	1.00
WATDE0685	1.00
WATDE0686	3.67
WATDE0687	2.00
WATDE0688	1.67
WATDE0689	1.33
WATDE0691	0.00
WATDE0693	1.67
WATDE0694	0.00
WATDE0695	NA
WATDE0697	0.67
WATDE0699	NA
WATDE0700	2.00
WATDE0701	1.00
WATDE0702	1.67
WATDE0703	1.33
WATDE0704	1.00
WATDE0705	1.33
WATDE0706	NA
WATDE0707	6.33
WATDE0709	0.33
WATDE0710	NA
WATDE0712	0.33
WATDE0713	NA
WATDE0716	NA
WATDE0718	1.33
WATDE0720	1.33
WATDE0721	1.67
WATDE0723	0.33
WATDE0725	3.00
WATDE0726	NA
WATDE0727	NA
WATDE0728	9.00
WATDE0729	6.00
WATDE0730	2.33
WATDE0732	5.00
WATDE0735	1.33
WATDE0736	1.67
WATDE0737	NA
WATDE0738	5.67
WATDE0739	3.67
WATDE0740	NA
WATDE0742	NA
WATDE0743	2.67
WATDE0744	NA
WATDE0745	3.67
WATDE0747	0.33
WATDE0748	NA
WATDE0749	1.67
WATDE0750	NA
WATDE0751	1.00
WATDE0752	2.33
WATDE0754	NA
WATDE0755	2.33
WATDE0756	1.00
WATDE0758	5.00
WATDE0759	1.67
WATDE0760	0.33
WATDE0761	0.00
WATDE0763	1.67
WATDE0765	4.33
WATDE0766	3.33
WATDE0768	0.67
WATDE0769	8.67
WATDE0770	1.00
WATDE0771	0.00
WATDE0773	0.33
WATDE0774	2.00
WATDE0775	1.33
WATDE0776	NA
WATDE0777	1.67
WATDE0779	NA
WATDE0780	2.00
WATDE0781	5.67
WATDE0782	0.00
WATDE0783	1.67
WATDE0785	3.67
WATDE0786	1.00
WATDE0788	1.33
WATDE0789	NA
WATDE0790	1.33
WATDE0791	1.67
WATDE0793	1.00
WATDE0794	3.00
WATDE0795	6.67
WATDE0797	1.67
WATDE0798	NA
WATDE0800	6.67
WATDE0802	3.67
WATDE0803	3.33
WATDE0804	4.00
WATDE0805	2.00
WATDE0807	9.00
WATDE0808	1.67
WATDE0810	NA
WATDE0811	8.00
WATDE0812	3.00
WATDE0814	0.67
WATDE0815	NA
WATDE0816	NA
WATDE0817	1.67
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	0.33
WATDE0825	NA
WATDE0826	NA
WATDE0827	1.67
WATDE0828	NA
WATDE0830	0.00
WATDE0831	NA
WATDE0833	4.00
WATDE0835	0.00
WATDE0836	0.00
WATDE0837	0.33
WATDE0839	1.00
WATDE0840	NA
WATDE0841	0.33
WATDE0843	NA
WATDE0845	10.33
WATDE0846	11.67
WATDE0848	NA
WATDE0850	0.00
WATDE0851	8.67
WATDE0852	5.00
WATDE0854	2.00
WATDE0856	NA
WATDE0857	0.67
WATDE0859	3.67
WATDE0861	0.33
WATDE0862	0.00
WATDE0863	0.00
WATDE0864	NA
WATDE0865	1.00
WATDE0869	1.00
WATDE0871	0.33
WATDE0872	4.00
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	0.00
WATDE0877	0.67
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	NA
WATDE0889	1.67
WATDE0890	1.67
WATDE0892	1.67
WATDE0894	NA
WATDE0895	NA
WATDE0896	2.33
WATDE0898	NA
WATDE0899	0.00
WATDE0900	NA
WATDE0901	0.00
WATDE0902	2.67
WATDE0903	NA
WATDE0904	0.00
WATDE0905	0.00
WATDE0906	10.67
WATDE0907	0.33
WATDE0909	0.33
WATDE0910	0.00
WATDE0911	NA
WATDE0912	1.67
WATDE0913	1.00
WATDE0914	NA
WATDE0915	2.67
WATDE0916	0.00
WATDE0917	0.50
WATDE0918	NA
WATDE0919	1.33
WATDE0920	NA
WATDE0922	3.00
WATDE0923	0.00
WATDE0924	2.33
WATDE0926	1.67
WATDE0927	1.67
WATDE0928	2.33
WATDE0929	4.00
WATDE0930	NA
WATDE0932	NA
WATDE0933	4.00
WATDE0934	1.33
WATDE0935	2.33
WATDE0937	3.33
WATDE0938	0.33
WATDE0939	NA
WATDE0941	NA
WATDE0944	1.67
WATDE0945	1.00
WATDE0947	9.33
WATDE0950	2.67
WATDE0951	4.00
WATDE0952	3.00
WATDE0953	NA
WATDE0954	1.67
WATDE0955	NA
WATDE0957	3.00
WATDE0958	NA
WATDE0961	NA
WATDE0963	0.33
WATDE0965	NA
WATDE0966	2.00
WATDE0967	NA
WATDE0969	NA
WATDE0970	1.33
WATDE0971	2.00
WATDE0973	NA
WATDE0974	1.00
WATDE0975	NA
WATDE0977	0.00
WATDE0978	1.67
WATDE0979	2.00
WATDE0981	1.00
WATDE0982	0.00
WATDE0983	2.00
WATDE0984	0.00
WATDE0986	2.00
WATDE0987	2.00
WATDE0989	2.67
WATDE0991	7.00
WATDE0993	1.67
WATDE0995	3.67
WATDE0996	0.67
WATDE0997	NA
WATDE0999	4.33
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	1.00
WATDE1005	2.67
WATDE1008	NA
WATDE1009	1.67
WATDE1010	1.67
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	3.33
WATDE1019	3.67
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	0.33
WATDE1027	NA
WATDE1029	0.33
WATDE1031	3.67
WATDE1032	4.33
WATDE1034	3.33
WATDE1035	1.67
WATDE1037	2.00
WATDE1038	2.00
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	1.00
WATDE1048	1.33
WATDE1049	1.33
WATDE1050	1.67
WATDE1051	5.67
WATDE1052	NA
WATDE1053	NA
