IID	LeafWid_Shenzhen-NN_2021_Natural
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	1.38
WATDE0510	NA
WATDE0511	NA
WATDE0512	1.07
WATDE0513	1.03
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	1.22
WATDE0522	1.19
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	0.92
WATDE0534	1.12
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	1.16
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	1.17
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	1.31
WATDE0555	1.35
WATDE0556	1.79
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	1.32
WATDE0565	1.89
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	1.62
WATDE0570	1.81
WATDE0571	1.57
WATDE0572	1.18
WATDE0574	1.45
WATDE0577	1.44
WATDE0578	NA
WATDE0579	1.61
WATDE0581	1.53
WATDE0582	NA
WATDE0585	1.24
WATDE0586	NA
WATDE0588	1.90
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	1.69
WATDE0598	NA
WATDE0599	NA
WATDE0600	1.05
WATDE0601	NA
WATDE0602	NA
WATDE0603	1.80
WATDE0604	2.25
WATDE0606	1.36
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	1.37
WATDE0613	1.26
WATDE0614	1.30
WATDE0615	1.25
WATDE0616	1.60
WATDE0617	NA
WATDE0618	NA
WATDE0620	NA
WATDE0622	1.14
WATDE0624	NA
WATDE0626	1.37
WATDE0627	NA
WATDE0628	1.69
WATDE0630	NA
WATDE0631	1.23
WATDE0632	NA
WATDE0634	1.29
WATDE0635	1.46
WATDE0636	1.26
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	1.63
WATDE0644	NA
WATDE0646	1.34
WATDE0648	NA
WATDE0649	1.40
WATDE0650	1.32
WATDE0651	1.29
WATDE0652	1.26
WATDE0653	1.88
WATDE0655	1.56
WATDE0657	1.63
WATDE0658	NA
WATDE0659	1.79
WATDE0660	1.52
WATDE0661	1.45
WATDE0662	NA
WATDE0663	NA
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	1.02
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	1.50
WATDE0680	1.23
WATDE0682	1.93
WATDE0683	NA
WATDE0685	NA
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	1.39
WATDE0691	1.57
WATDE0693	1.67
WATDE0694	1.40
WATDE0695	1.37
WATDE0697	1.43
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	NA
WATDE0705	NA
WATDE0706	1.42
WATDE0707	NA
WATDE0709	NA
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	1.63
WATDE0730	NA
WATDE0732	NA
WATDE0735	1.41
WATDE0736	NA
WATDE0737	NA
WATDE0738	NA
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	1.93
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	1.47
WATDE0758	NA
WATDE0759	1.27
WATDE0760	NA
WATDE0761	1.59
WATDE0763	1.75
WATDE0765	1.43
WATDE0766	1.99
WATDE0768	1.63
WATDE0769	2.03
WATDE0770	NA
WATDE0771	NA
WATDE0773	NA
WATDE0774	NA
WATDE0775	1.53
WATDE0776	1.36
WATDE0777	NA
WATDE0779	NA
WATDE0780	1.41
WATDE0781	NA
WATDE0782	1.44
WATDE0783	1.45
WATDE0785	1.50
WATDE0786	NA
WATDE0788	1.36
WATDE0789	1.25
WATDE0790	1.43
WATDE0791	1.63
WATDE0793	NA
WATDE0794	1.56
WATDE0795	1.49
WATDE0797	2.14
WATDE0798	1.90
WATDE0800	1.45
WATDE0802	1.53
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	1.54
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	1.37
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	1.02
WATDE0831	NA
WATDE0833	NA
WATDE0835	1.65
WATDE0836	1.44
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
WATDE0848	1.13
WATDE0850	NA
WATDE0851	1.27
WATDE0852	1.69
WATDE0854	1.29
WATDE0856	NA
WATDE0857	1.38
WATDE0859	0.99
WATDE0861	1.45
WATDE0862	1.07
WATDE0863	1.40
WATDE0864	NA
WATDE0865	1.32
WATDE0869	NA
WATDE0871	NA
WATDE0872	NA
WATDE0873	NA
WATDE0874	1.50
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	1.48
WATDE0889	1.67
WATDE0890	0.94
WATDE0892	NA
WATDE0894	NA
WATDE0895	1.94
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	1.43
WATDE0902	NA
WATDE0903	NA
WATDE0904	1.56
WATDE0905	1.54
WATDE0906	1.38
WATDE0907	1.48
WATDE0909	1.33
WATDE0910	NA
WATDE0911	NA
WATDE0912	1.27
WATDE0913	1.03
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	1.60
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	1.70
WATDE0926	1.38
WATDE0927	1.17
WATDE0928	1.08
WATDE0929	NA
WATDE0930	1.21
WATDE0932	1.61
WATDE0933	2.12
WATDE0934	NA
WATDE0935	NA
WATDE0937	1.42
WATDE0938	NA
WATDE0939	1.23
WATDE0941	NA
WATDE0944	1.20
WATDE0945	1.38
WATDE0947	2.00
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	1.42
WATDE0958	1.25
WATDE0961	NA
WATDE0963	1.16
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	1.26
WATDE0981	NA
WATDE0982	NA
WATDE0983	1.63
WATDE0984	1.70
WATDE0986	1.73
WATDE0987	0.93
WATDE0989	NA
WATDE0991	1.58
WATDE0993	1.08
WATDE0995	1.30
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	1.24
WATDE1005	1.12
WATDE1008	NA
WATDE1009	1.50
WATDE1010	1.15
WATDE1012	NA
WATDE1014	NA
WATDE1016	1.00
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	1.60
WATDE1027	NA
WATDE1029	NA
WATDE1031	1.26
WATDE1032	1.27
WATDE1034	NA
WATDE1035	1.60
WATDE1037	1.15
WATDE1038	1.23
WATDE1040	NA
WATDE1042	1.26
WATDE1044	NA
WATDE1046	1.55
WATDE1048	1.03
WATDE1049	1.59
WATDE1050	1.22
WATDE1051	1.30
WATDE1052	1.07
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	1.61
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
