IID	TN_Shenzhen_20220108_Natural
WATDE0292	130.00
WATDE0293	305.00
WATDE0294	261.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	382.50
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	141.50
WATDE0306	281.50
WATDE0308	286.50
WATDE0310	NA
WATDE0312	403.50
WATDE0313	265.50
WATDE0315	267.50
WATDE0316	220.00
WATDE0317	190.00
WATDE0318	213.00
WATDE0319	217.00
WATDE0321	225.00
WATDE0323	NA
WATDE0324	128.00
WATDE0325	NA
WATDE0328	245.00
WATDE0329	NA
WATDE0331	246.50
WATDE0332	185.00
WATDE0333	189.00
WATDE0334	NA
WATDE0335	221.00
WATDE0336	350.00
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	253.00
WATDE0347	NA
WATDE0348	NA
WATDE0350	189.50
WATDE0352	299.50
WATDE0353	231.00
WATDE0354	256.50
WATDE0355	NA
WATDE0356	297.50
WATDE0358	NA
WATDE0359	182.50
WATDE0361	NA
WATDE0363	178.00
WATDE0365	NA
WATDE0366	223.00
WATDE0368	91.00
WATDE0369	NA
WATDE0370	NA
WATDE0371	217.50
WATDE0372	255.00
WATDE0373	215.50
WATDE0374	135.00
WATDE0375	233.00
WATDE0377	NA
WATDE0378	NA
WATDE0379	306.00
WATDE0381	267.00
WATDE0382	304.50
WATDE0383	211.00
WATDE0385	310.00
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	380.50
WATDE0392	NA
WATDE0394	217.00
WATDE0396	309.50
WATDE0397	185.00
WATDE0399	139.50
WATDE0401	165.00
WATDE0403	NA
WATDE0404	352.50
WATDE0405	NA
WATDE0407	277.00
WATDE0408	253.00
WATDE0409	219.00
WATDE0410	NA
WATDE0411	199.50
WATDE0412	277.50
WATDE0413	186.00
WATDE0415	237.00
WATDE0417	NA
WATDE0419	237.50
WATDE0420	198.00
WATDE0421	247.00
WATDE0422	230.50
WATDE0423	149.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	303.50
WATDE0428	NA
WATDE0429	230.50
WATDE0430	321.00
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	433.00
WATDE0438	NA
WATDE0439	169.50
WATDE0440	201.00
WATDE0441	132.00
WATDE0442	225.00
WATDE0443	313.50
WATDE0444	NA
WATDE0445	182.00
WATDE0446	226.00
WATDE0448	225.00
WATDE0449	182.50
WATDE0450	186.00
WATDE0451	NA
WATDE0452	252.00
WATDE0453	175.00
WATDE0454	213.00
WATDE0455	206.50
WATDE0456	305.50
WATDE0457	NA
WATDE0460	239.00
WATDE0461	220.00
WATDE0462	221.00
WATDE0463	159.50
WATDE0465	291.50
WATDE0467	NA
WATDE0469	294.00
WATDE0471	243.00
WATDE0474	275.00
WATDE0477	278.00
WATDE0479	239.50
WATDE0481	234.00
WATDE0482	181.00
WATDE0484	NA
WATDE0486	370.00
WATDE0487	265.00
WATDE0488	401.00
WATDE0489	195.00
WATDE0490	227.00
WATDE0492	NA
WATDE0494	370.00
WATDE0496	605.00
WATDE0498	312.00
WATDE0500	292.50
WATDE0501	NA
WATDE0502	NA
WATDE0503	475.00
WATDE0504	250.50
WATDE0505	NA
WATDE0507	NA
WATDE0509	242.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	320.00
WATDE0515	328.00
WATDE0516	NA
WATDE0518	302.50
WATDE0519	454.50
WATDE0520	NA
WATDE0521	226.50
WATDE0522	NA
WATDE0524	NA
WATDE0527	258.00
WATDE0529	NA
WATDE0531	299.00
WATDE0533	290.00
WATDE0534	305.50
WATDE0536	NA
WATDE0537	322.00
WATDE0538	NA
WATDE0539	347.00
WATDE0540	388.00
WATDE0541	94.50
WATDE0542	NA
WATDE0543	448.50
WATDE0544	270.50
WATDE0546	NA
WATDE0547	273.00
WATDE0549	289.50
WATDE0550	249.00
WATDE0552	198.00
WATDE0553	400.00
WATDE0555	210.00
WATDE0556	251.00
WATDE0557	160.00
WATDE0558	NA
WATDE0560	NA
WATDE0561	527.00
WATDE0562	248.00
WATDE0563	282.00
WATDE0565	200.00
WATDE0566	NA
WATDE0567	199.00
WATDE0568	NA
WATDE0569	162.50
WATDE0570	288.50
WATDE0571	214.00
WATDE0572	149.00
WATDE0574	191.00
WATDE0577	148.00
WATDE0578	517.00
WATDE0579	248.00
WATDE0581	200.00
WATDE0582	207.50
WATDE0585	205.00
WATDE0586	340.00
WATDE0588	281.50
WATDE0589	287.50
WATDE0591	NA
WATDE0592	NA
WATDE0594	255.00
WATDE0596	358.00
WATDE0597	203.00
WATDE0598	215.50
WATDE0599	NA
WATDE0600	245.00
WATDE0601	NA
WATDE0602	199.00
WATDE0603	NA
WATDE0604	263.00
WATDE0606	246.50
WATDE0608	NA
WATDE0609	165.00
WATDE0610	165.50
WATDE0611	370.00
WATDE0613	445.00
WATDE0614	296.00
WATDE0615	340.00
WATDE0616	226.00
WATDE0617	194.00
WATDE0618	NA
WATDE0620	155.00
WATDE0622	NA
WATDE0624	NA
WATDE0626	161.50
WATDE0627	NA
WATDE0628	345.50
WATDE0630	162.50
WATDE0631	183.00
WATDE0632	279.00
WATDE0634	303.00
WATDE0635	303.00
WATDE0636	254.00
WATDE0638	507.00
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	226.00
WATDE0644	NA
WATDE0646	207.00
WATDE0648	NA
WATDE0649	343.50
WATDE0650	254.00
WATDE0651	207.50
WATDE0652	311.00
WATDE0653	164.50
WATDE0655	135.00
WATDE0657	122.00
WATDE0658	210.50
WATDE0659	177.50
WATDE0660	257.50
WATDE0661	307.50
WATDE0662	338.50
WATDE0663	126.50
WATDE0664	193.50
WATDE0665	231.50
WATDE0666	175.00
WATDE0667	340.00
WATDE0669	NA
WATDE0670	375.00
WATDE0671	315.00
WATDE0672	NA
WATDE0674	370.00
WATDE0675	NA
WATDE0676	428.50
WATDE0678	199.00
WATDE0679	305.00
WATDE0680	252.00
WATDE0682	234.00
WATDE0683	281.00
WATDE0685	201.00
WATDE0686	205.00
WATDE0687	235.00
WATDE0688	NA
WATDE0689	208.50
WATDE0691	196.00
WATDE0693	210.50
WATDE0694	164.00
WATDE0695	335.00
WATDE0697	361.00
WATDE0699	NA
WATDE0700	224.00
WATDE0701	211.50
WATDE0702	151.00
WATDE0703	187.00
WATDE0704	234.00
WATDE0705	251.00
WATDE0706	165.00
WATDE0707	186.50
WATDE0709	199.00
WATDE0710	NA
WATDE0712	175.50
WATDE0713	82.50
WATDE0716	NA
WATDE0718	357.50
WATDE0720	301.00
WATDE0721	304.00
WATDE0723	375.50
WATDE0725	287.50
WATDE0726	NA
WATDE0727	NA
WATDE0728	318.00
WATDE0729	197.50
WATDE0730	166.00
WATDE0732	170.00
WATDE0735	267.50
WATDE0736	247.00
WATDE0737	218.00
WATDE0738	176.00
WATDE0739	322.00
WATDE0740	NA
WATDE0742	NA
WATDE0743	460.00
WATDE0744	NA
WATDE0745	219.00
WATDE0747	241.00
WATDE0748	NA
WATDE0749	171.00
WATDE0750	NA
WATDE0751	199.00
WATDE0752	NA
WATDE0754	175.00
WATDE0755	229.50
WATDE0756	283.00
WATDE0758	308.50
WATDE0759	339.00
WATDE0760	185.00
WATDE0761	238.00
WATDE0763	140.00
WATDE0765	215.00
WATDE0766	255.00
WATDE0768	255.00
WATDE0769	223.00
WATDE0770	255.00
WATDE0771	215.00
WATDE0773	275.00
WATDE0774	332.00
WATDE0775	317.50
WATDE0776	281.50
WATDE0777	273.00
WATDE0779	NA
WATDE0780	348.50
WATDE0781	460.00
WATDE0782	187.00
WATDE0783	345.00
WATDE0785	202.00
WATDE0786	NA
WATDE0788	160.00
WATDE0789	190.50
WATDE0790	131.50
WATDE0791	157.50
WATDE0793	253.00
WATDE0794	183.50
WATDE0795	227.50
WATDE0797	167.00
WATDE0798	127.00
WATDE0800	206.50
WATDE0802	226.00
WATDE0803	233.00
WATDE0804	190.00
WATDE0805	422.50
WATDE0807	NA
WATDE0808	316.50
WATDE0810	NA
WATDE0811	260.00
WATDE0812	NA
WATDE0814	178.00
WATDE0815	NA
WATDE0816	505.50
WATDE0817	223.50
WATDE0818	NA
WATDE0819	370.50
WATDE0821	NA
WATDE0823	348.50
WATDE0825	NA
WATDE0826	NA
WATDE0827	133.00
WATDE0828	NA
WATDE0830	475.50
WATDE0831	281.00
WATDE0833	409.00
WATDE0835	221.50
WATDE0836	332.50
WATDE0837	435.00
WATDE0839	369.50
WATDE0840	317.50
WATDE0841	327.50
WATDE0843	189.00
WATDE0845	475.00
WATDE0846	226.00
WATDE0848	465.50
WATDE0850	152.00
WATDE0851	331.50
WATDE0852	281.50
WATDE0854	197.00
WATDE0856	271.00
WATDE0857	189.00
WATDE0859	319.00
WATDE0861	235.50
WATDE0862	202.50
WATDE0863	171.50
WATDE0864	NA
WATDE0865	138.00
WATDE0869	224.50
WATDE0871	165.50
WATDE0872	133.00
WATDE0873	228.00
WATDE0874	191.00
WATDE0875	186.50
WATDE0876	234.50
WATDE0877	NA
WATDE0878	397.00
WATDE0879	334.00
WATDE0880	184.50
WATDE0881	198.00
WATDE0882	139.50
WATDE0883	190.00
WATDE0884	NA
WATDE0887	323.00
WATDE0888	NA
WATDE0889	235.00
WATDE0890	122.00
WATDE0892	283.00
WATDE0894	367.50
WATDE0895	260.00
WATDE0896	240.00
WATDE0898	NA
WATDE0899	185.00
WATDE0900	NA
WATDE0901	230.00
WATDE0902	167.00
WATDE0903	NA
WATDE0904	246.00
WATDE0905	202.50
WATDE0906	216.00
