IID	Boot_Shenzhen_2022_Natural_50percent
WATDE0929	136
WATDE0930	144
WATDE0932	110
WATDE0933	121
WATDE0934	146
WATDE0935	135
WATDE0937	125
WATDE0938	144
WATDE0939	95
WATDE0941	NA
WATDE0944	139
WATDE0945	134
WATDE0947	127
WATDE0950	145
WATDE0951	125
WATDE0952	134
WATDE0953	NA
WATDE0954	138
WATDE0955	NA
WATDE0957	126
WATDE0958	NA
WATDE0961	162
WATDE0963	112
WATDE0965	NA
WATDE0966	131
WATDE0967	157
WATDE0969	145
WATDE0970	149
WATDE0971	148
WATDE0973	NA
WATDE0974	112
WATDE0975	NA
WATDE0977	133
WATDE0978	146
WATDE0979	145
WATDE0981	NA
WATDE0982	145
WATDE0983	129
WATDE0984	120
WATDE0986	82
WATDE0987	139
WATDE0989	113
WATDE0991	114
WATDE0993	142
WATDE0995	120
WATDE0996	133
WATDE0997	NA
WATDE0999	150
WATDE1001	NA
WATDE1002	NA
WATDE1003	156
WATDE1004	143
WATDE1005	135
WATDE1008	156
WATDE1009	126
WATDE1010	124
WATDE1012	122
WATDE1014	NA
WATDE1016	152
WATDE1017	NA
WATDE1018	142
WATDE1019	132
WATDE1021	NA
WATDE1023	NA
WATDE1025	153
WATDE1026	122
WATDE1027	NA
WATDE1029	139
WATDE1031	144
WATDE1032	145
WATDE1034	147
WATDE1035	138
WATDE1037	124
WATDE1038	73
WATDE1040	NA
WATDE1042	NA
WATDE1044	147
WATDE1046	83
WATDE1048	123
WATDE1049	126
WATDE1050	125
WATDE1051	116
WATDE1052	146
WATDE1053	NA
WATDE1055	122
WATDE1056	139
WATDE1058	147
WATDE1060	106
WATDE1061	134
WATDE1062	149
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
