IID	CHL_Shenzhen-NN_2020_Natural
WATDE0769	16.17373912
WATDE0770	NA
WATDE0771	NA
WATDE0773	NA
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	NA
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	11.69947218
WATDE0783	17.08714526
WATDE0785	19.6906263
WATDE0786	NA
WATDE0788	11.15248233
WATDE0789	11.01545838
WATDE0790	13.09328626
WATDE0791	25.57061475
WATDE0793	NA
WATDE0794	18.50440265
WATDE0795	14.25844647
WATDE0797	17.19147826
WATDE0798	11.23115937
WATDE0800	NA
WATDE0802	NA
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	NA
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	9.905312557
WATDE0836	24.63568871
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
WATDE0848	NA
WATDE0850	NA
WATDE0851	NA
WATDE0852	NA
WATDE0854	4.032164809
WATDE0856	NA
WATDE0857	12.34196287
WATDE0859	NA
WATDE0861	9.595737997
WATDE0862	21.1285973
WATDE0863	6.940273296
WATDE0864	NA
WATDE0865	27.82470094
WATDE0869	NA
WATDE0871	NA
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	9.602849238
WATDE0889	10.02528748
WATDE0890	11.93986749
WATDE0892	NA
WATDE0894	NA
WATDE0895	13.08712275
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	NA
WATDE0905	NA
WATDE0906	NA
WATDE0907	NA
WATDE0909	6.709763057
WATDE0910	5.449078626
WATDE0911	NA
WATDE0912	NA
WATDE0913	5.487081993
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	5.503817097
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	7.956132707
WATDE0926	5.339777414
WATDE0927	4.405873387
WATDE0928	14.54290536
WATDE0929	NA
WATDE0930	10.85213298
WATDE0932	9.945993517
WATDE0933	NA
WATDE0934	NA
WATDE0935	NA
WATDE0937	9.059283695
WATDE0938	NA
WATDE0939	7.779622932
WATDE0941	NA
WATDE0944	19.60962788
WATDE0945	14.94156412
WATDE0947	NA
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	17.36820761
WATDE0958	NA
WATDE0961	NA
WATDE0963	10.48281471
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	14.00773208
WATDE0984	11.92279375
WATDE0986	NA
WATDE0987	NA
WATDE0989	NA
WATDE0991	12.2308347
WATDE0993	11.65377029
WATDE0995	11.41171126
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	10.46356042
WATDE1003	NA
WATDE1004	16.8490691
WATDE1005	16.34494113
WATDE1008	NA
WATDE1009	12.38219783
WATDE1010	12.98912888
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	9.100228323
WATDE1023	NA
WATDE1025	NA
WATDE1026	NA
