IID	Hd_Kaifeng-GH_2020_Natural
WATDE0680	71.00
WATDE0682	136.00
WATDE0683	134.00
WATDE0685	130.00
WATDE0686	143.00
WATDE0687	115.67
WATDE0688	NA
WATDE0689	105.50
WATDE0691	115.00
WATDE0693	96.00
WATDE0694	70.00
WATDE0695	92.67
WATDE0697	NA
WATDE0699	NA
WATDE0700	129.00
WATDE0701	146.00
WATDE0702	136.00
WATDE0703	NA
WATDE0704	123.00
WATDE0705	132.00
WATDE0706	111.00
WATDE0707	139.00
WATDE0709	122.50
WATDE0710	143.00
WATDE0712	130.00
WATDE0713	118.67
WATDE0716	NA
WATDE0718	143.50
WATDE0720	NA
WATDE0721	126.67
WATDE0723	NA
WATDE0725	156.00
WATDE0726	NA
WATDE0727	NA
WATDE0728	141.00
WATDE0729	130.00
WATDE0730	NA
WATDE0732	NA
WATDE0735	76.00
WATDE0736	134.00
WATDE0737	129.00
WATDE0738	NA
WATDE0739	145.00
WATDE0740	NA
WATDE0742	NA
WATDE0743	174.00
WATDE0744	154.00
WATDE0745	128.00
WATDE0747	146.00
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	128.00
WATDE0752	154.00
WATDE0754	136.00
WATDE0755	NA
WATDE0756	66.33
WATDE0758	144.00
WATDE0759	131.00
WATDE0760	128.00
WATDE0761	66.00
WATDE0763	76.00
WATDE0765	76.00
WATDE0766	136.00
WATDE0768	NA
WATDE0769	70.33
WATDE0770	130.00
WATDE0771	141.00
WATDE0773	136.00
WATDE0774	159.00
WATDE0775	151.00
WATDE0776	152.00
WATDE0777	124.00
WATDE0779	NA
WATDE0780	154.00
WATDE0781	156.00
WATDE0782	119.67
WATDE0783	101.50
WATDE0785	NA
WATDE0786	NA
WATDE0788	62.00
WATDE0789	73.00
WATDE0790	70.00
WATDE0791	134.00
WATDE0793	NA
WATDE0794	134.00
WATDE0795	69.33
WATDE0797	NA
WATDE0798	134.00
WATDE0800	129.00
WATDE0802	123.00
WATDE0803	NA
WATDE0804	138.00
WATDE0805	NA
WATDE0807	149.00
WATDE0808	164.00
WATDE0810	NA
WATDE0811	70.50
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	123.00
WATDE0817	NA
WATDE0818	136.00
WATDE0819	NA
WATDE0821	NA
WATDE0823	117.80
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	124.00
WATDE0831	157.00
WATDE0833	NA
WATDE0835	71.67
WATDE0836	72.50
WATDE0837	146.00
WATDE0839	NA
WATDE0840	NA
WATDE0841	138.67
WATDE0843	154.00
WATDE0845	NA
WATDE0846	128.00
WATDE0848	121.67
WATDE0850	132.00
WATDE0851	121.00
WATDE0852	136.00
WATDE0854	56.00
WATDE0856	145.00
WATDE0857	85.00
WATDE0859	109.00
WATDE0861	80.50
WATDE0862	126.00
WATDE0863	72.33
WATDE0864	153.50
WATDE0865	116.00
WATDE0869	152.00
WATDE0871	123.00
WATDE0872	147.00
WATDE0873	148.00
WATDE0874	142.50
WATDE0875	147.50
WATDE0876	143.50
WATDE0877	NA
WATDE0878	127.00
WATDE0879	119.67
WATDE0880	119.67
WATDE0881	128.00
WATDE0882	NA
WATDE0883	NA
WATDE0884	139.67
WATDE0887	127.33
WATDE0888	69.00
WATDE0889	78.00
WATDE0890	150.00
WATDE0892	NA
WATDE0894	121.67
WATDE0895	153.00
WATDE0896	NA
WATDE0898	NA
WATDE0899	130.00
WATDE0900	153.00
WATDE0901	125.00
WATDE0902	123.00
WATDE0903	151.00
WATDE0904	126.00
WATDE0905	127.00
WATDE0906	125.00
WATDE0907	128.00
WATDE0909	128.00
WATDE0910	124.00
WATDE0911	NA
WATDE0912	148.00
WATDE0913	77.00
WATDE0914	NA
WATDE0915	NA
WATDE0916	130.00
WATDE0917	121.00
WATDE0918	113.00
WATDE0919	80.00
WATDE0920	NA
WATDE0922	118.00
WATDE0923	128.00
WATDE0924	58.33
WATDE0926	118.00
WATDE0927	118.00
WATDE0928	112.00
WATDE0929	141.00
WATDE0930	134.33
WATDE0932	108.67
WATDE0933	122.00
WATDE0934	143.00
WATDE0935	146.50
WATDE0937	102.67
WATDE0938	127.00
WATDE0939	63.50
WATDE0941	119.00
WATDE0944	74.50
WATDE0945	88.50
WATDE0947	NA
WATDE0950	NA
WATDE0951	137.00
WATDE0952	147.00
WATDE0953	126.00
WATDE0954	NA
WATDE0955	NA
WATDE0957	NA
WATDE0958	151.00
WATDE0961	129.33
WATDE0963	62.33
WATDE0965	143.50
WATDE0966	125.67
WATDE0967	117.25
WATDE0969	135.67
WATDE0970	NA
WATDE0971	NA
WATDE0973	175.00
WATDE0974	NA
WATDE0975	NA
WATDE0977	169.00
WATDE0978	111.00
WATDE0979	115.00
WATDE0981	133.00
WATDE0982	176.00
WATDE0983	123.00
WATDE0984	70.00
WATDE0986	117.00
WATDE0987	118.33
WATDE0989	143.00
WATDE0991	67.00
WATDE0993	NA
WATDE0995	68.00
WATDE0996	144.00
WATDE0997	126.00
WATDE0999	125.75
WATDE1001	144.00
WATDE1002	125.00
WATDE1003	143.33
WATDE1004	114.67
WATDE1005	102.33
WATDE1008	151.00
WATDE1009	95.67
WATDE1010	101.67
WATDE1012	NA
WATDE1014	121.67
WATDE1016	137.67
WATDE1017	143.33
WATDE1018	128.00
WATDE1019	NA
WATDE1021	137.00
WATDE1023	140.33
WATDE1025	NA
WATDE1026	88.00
WATDE1027	141.00
WATDE1029	171.00
WATDE1031	129.00
WATDE1032	111.50
WATDE1034	NA
WATDE1035	112.67
WATDE1037	122.33
WATDE1038	59.00
WATDE1040	127.00
WATDE1042	121.67
WATDE1044	143.00
WATDE1046	63.33
WATDE1048	118.67
WATDE1049	121.00
WATDE1050	123.00
WATDE1051	76.67
WATDE1052	138.00
WATDE1053	NA
WATDE1055	128.00
WATDE1056	156.00
WATDE1058	125.00
WATDE1060	64.50
WATDE1061	152.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
