IID	Boot_Shenzhen_2022_Natural_1st
WATDE0453	94
WATDE0454	100
WATDE0455	99
WATDE0456	102
WATDE0457	NA
WATDE0460	119
WATDE0461	100
WATDE0462	82
WATDE0463	135
WATDE0465	NA
WATDE0467	146
WATDE0469	117
WATDE0471	123
WATDE0474	99
WATDE0477	138
WATDE0479	108
WATDE0481	106
WATDE0482	116
WATDE0484	NA
WATDE0486	117
WATDE0487	94
WATDE0488	146
WATDE0489	55
WATDE0490	116
WATDE0492	NA
WATDE0494	135
WATDE0496	127
WATDE0498	138
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	126
WATDE0504	151
WATDE0505	169
WATDE0507	NA
WATDE0509	113
WATDE0510	144
WATDE0511	NA
WATDE0512	144
WATDE0513	143
WATDE0515	126
WATDE0516	NA
WATDE0518	159
WATDE0519	NA
WATDE0520	133
WATDE0521	104
WATDE0522	110
WATDE0524	NA
WATDE0527	157
WATDE0529	NA
WATDE0531	128
WATDE0533	122
WATDE0534	132
WATDE0536	NA
WATDE0537	119
WATDE0538	161
WATDE0539	127
WATDE0540	157
WATDE0541	63
WATDE0542	NA
WATDE0543	151
WATDE0544	102
WATDE0546	NA
WATDE0547	134
WATDE0549	114
WATDE0550	150
WATDE0552	135
WATDE0553	122
WATDE0555	108
WATDE0556	92
WATDE0557	113
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	136
WATDE0563	135
WATDE0565	84
WATDE0566	NA
WATDE0567	133
WATDE0568	143
WATDE0569	104
WATDE0570	NA
WATDE0571	108
WATDE0572	123
WATDE0574	116
WATDE0577	99
WATDE0578	135
WATDE0579	96
WATDE0581	118
WATDE0582	NA
WATDE0585	91
WATDE0586	157
WATDE0588	116
WATDE0589	134
WATDE0591	NA
WATDE0592	NA
WATDE0594	125
WATDE0596	135
WATDE0597	112
WATDE0598	113
WATDE0599	NA
WATDE0600	110
WATDE0601	NA
WATDE0602	123
WATDE0603	132
WATDE0604	115
WATDE0606	110
WATDE0608	133
WATDE0609	135
WATDE0610	122
WATDE0611	118
WATDE0613	119
WATDE0614	110
WATDE0615	109
WATDE0616	110
WATDE0617	104
WATDE0618	NA
WATDE0620	125
WATDE0622	NA
WATDE0624	NA
WATDE0626	104
WATDE0627	NA
WATDE0628	120
WATDE0630	116
WATDE0631	122
WATDE0632	154
WATDE0634	82
WATDE0635	89
WATDE0636	151
WATDE0638	160
WATDE0639	125
WATDE0640	124
WATDE0641	NA
WATDE0643	119
WATDE0644	NA
WATDE0646	104
WATDE0648	131
WATDE0649	100
WATDE0650	133
WATDE0651	102
WATDE0652	129
WATDE0653	96
WATDE0655	95
WATDE0657	122
WATDE0658	148
WATDE0659	102
WATDE0660	151
WATDE0661	116
WATDE0662	106
WATDE0663	94
WATDE0664	137
WATDE0665	137
WATDE0666	NA
WATDE0667	172
WATDE0669	155
WATDE0670	118
WATDE0671	138
WATDE0672	115
WATDE0674	119
WATDE0675	144
WATDE0676	114
WATDE0678	118
WATDE0679	99
WATDE0680	119
WATDE0682	102
WATDE0683	110
WATDE0685	115
WATDE0686	118
WATDE0687	136
WATDE0688	144
WATDE0689	101
WATDE0691	61
WATDE0693	134
WATDE0694	117
WATDE0695	115
WATDE0697	96
WATDE0699	NA
WATDE0700	104
WATDE0701	128
WATDE0702	91
WATDE0703	133
WATDE0704	66
WATDE0705	112
WATDE0706	73
WATDE0707	115
WATDE0709	101
WATDE0710	NA
WATDE0712	94
WATDE0713	148
WATDE0716	NA
WATDE0718	102
WATDE0720	141
WATDE0721	143
WATDE0723	102
WATDE0725	123
WATDE0726	146
WATDE0727	NA
WATDE0728	111
WATDE0729	101
WATDE0730	129
WATDE0732	118
WATDE0735	94
WATDE0736	117
WATDE0737	118
WATDE0738	117
WATDE0739	135
WATDE0740	NA
WATDE0742	NA
WATDE0743	136
WATDE0744	NA
WATDE0745	94
WATDE0747	95
WATDE0748	NA
WATDE0749	131
WATDE0750	NA
WATDE0751	88
WATDE0752	120
WATDE0754	120
WATDE0755	117
WATDE0756	117
WATDE0758	118
WATDE0759	120
WATDE0760	91
WATDE0761	95
WATDE0763	108
WATDE0765	93
WATDE0766	112
WATDE0768	99
WATDE0769	110
WATDE0770	110
WATDE0771	87
WATDE0773	92
WATDE0774	131
WATDE0775	123
WATDE0776	122
WATDE0777	119
WATDE0779	NA
WATDE0780	131
WATDE0781	112
WATDE0782	84
WATDE0783	128
WATDE0785	83
WATDE0786	145
WATDE0788	82
WATDE0789	104
WATDE0790	110
WATDE0791	116
WATDE0793	105
WATDE0794	101
WATDE0795	113
WATDE0797	93
WATDE0798	102
WATDE0800	116
WATDE0802	95
WATDE0803	143
WATDE0804	99
WATDE0805	135
WATDE0807	112
WATDE0808	127
WATDE0810	116
WATDE0811	114
WATDE0812	145
WATDE0814	99
WATDE0815	NA
WATDE0816	166
WATDE0817	108
WATDE0818	NA
WATDE0819	162
WATDE0821	NA
WATDE0823	118
WATDE0825	NA
WATDE0826	NA
WATDE0827	59
WATDE0828	NA
WATDE0830	141
WATDE0831	135
WATDE0833	138
WATDE0835	119
WATDE0836	116
WATDE0837	114
WATDE0839	104
WATDE0840	96
WATDE0841	138
WATDE0843	149
WATDE0845	151
WATDE0846	110
WATDE0848	132
WATDE0850	84
WATDE0851	103
WATDE0852	120
WATDE0854	69
WATDE0856	148
WATDE0857	99
WATDE0859	117
WATDE0861	111
WATDE0862	129
WATDE0863	87
WATDE0864	NA
WATDE0865	140
WATDE0869	143
WATDE0871	105
WATDE0872	85
WATDE0873	122
WATDE0874	105
WATDE0875	116
WATDE0876	134
WATDE0877	144
WATDE0878	165
WATDE0879	165
WATDE0880	120
WATDE0881	162
WATDE0882	114
WATDE0883	147
WATDE0884	NA
WATDE0887	NA
WATDE0888	117
WATDE0889	73
WATDE0890	135
WATDE0892	133
WATDE0894	135
WATDE0895	157
WATDE0896	135
WATDE0898	NA
WATDE0899	113
WATDE0900	NA
WATDE0901	75
WATDE0902	77
WATDE0903	NA
WATDE0904	91
WATDE0905	93
WATDE0906	109
WATDE0907	93
WATDE0909	85
WATDE0910	65
WATDE0911	NA
WATDE0912	95
WATDE0913	102
WATDE0914	NA
WATDE0915	100
WATDE0916	73
WATDE0917	68
WATDE0918	NA
WATDE0919	89
WATDE0920	NA
WATDE0922	53
WATDE0923	77
WATDE0924	66
WATDE0926	66
WATDE0927	64
WATDE0928	129
WATDE0929	118
WATDE0930	137
WATDE0932	99
WATDE0933	106
WATDE0934	138
WATDE0935	123
WATDE0937	116
WATDE0938	133
WATDE0939	86
WATDE0941	NA
WATDE0944	135
WATDE0945	93
WATDE0947	119
WATDE0950	135
WATDE0951	118
WATDE0952	122
WATDE0953	NA
WATDE0954	116
WATDE0955	NA
WATDE0957	116
WATDE0958	NA
WATDE0961	157
WATDE0963	104
WATDE0965	NA
WATDE0966	124
WATDE0967	129
WATDE0969	142
WATDE0970	144
WATDE0971	143
WATDE0973	NA
WATDE0974	104
WATDE0975	NA
WATDE0977	120
WATDE0978	132
WATDE0979	133
WATDE0981	171
WATDE0982	138
WATDE0983	117
WATDE0984	111
WATDE0986	73
WATDE0987	122
WATDE0989	106
WATDE0991	108
WATDE0993	120
WATDE0995	114
WATDE0996	117
WATDE0997	172
WATDE0999	135
WATDE1001	169
WATDE1002	NA
WATDE1003	157
WATDE1004	134
WATDE1005	76
WATDE1008	149
WATDE1009	123
WATDE1010	118
WATDE1012	117
WATDE1014	120
WATDE1016	131
WATDE1017	NA
WATDE1018	135
WATDE1019	119
WATDE1021	162
WATDE1023	NA
WATDE1025	135
WATDE1026	113
WATDE1027	NA
WATDE1029	102
WATDE1031	135
WATDE1032	134
WATDE1034	142
WATDE1035	130
WATDE1037	119
WATDE1038	66
WATDE1040	135
WATDE1042	NA
WATDE1044	94
WATDE1046	74
WATDE1048	116
WATDE1049	118
WATDE1050	118
WATDE1051	106
WATDE1052	132
WATDE1053	NA
WATDE1055	108
WATDE1056	83
WATDE1058	85
WATDE1060	94
WATDE1061	125
WATDE1062	144
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
