IID	FHB_Shenzhen_2022_Natural
WATDE0932	0.27
WATDE0933	0.56
WATDE0934	NA
WATDE0935	0.91
WATDE0937	0.51
WATDE0938	0.89
WATDE0939	0.77
WATDE0941	NA
WATDE0944	0.61
WATDE0945	NA
WATDE0947	NA
WATDE0950	NA
WATDE0951	0.84
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	0.46
WATDE0958	NA
WATDE0961	NA
WATDE0963	NA
WATDE0965	NA
WATDE0966	0.41
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	0.65
WATDE0975	NA
WATDE0977	NA
WATDE0978	0.66
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	0.65
WATDE0984	0.73
WATDE0986	NA
WATDE0987	NA
WATDE0989	0.77
WATDE0991	0.88
WATDE0993	NA
WATDE0995	0.60
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	0.86
WATDE1005	1.00
WATDE1008	NA
WATDE1009	NA
WATDE1010	0.67
WATDE1012	0.50
WATDE1014	0.29
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	0.94
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	NA
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	NA
WATDE1038	0.84
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	0.74
WATDE1048	0.72
WATDE1049	0.44
WATDE1050	NA
WATDE1051	0.77
WATDE1052	NA
WATDE1053	NA
WATDE1055	0.96
WATDE1056	0.99
WATDE1058	NA
WATDE1060	0.12
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
