IID	SplN_Kaifeng-GH_2020_Natural_Fertile
WATDE0285	15.50
WATDE0286	12.00
WATDE0287	16.67
WATDE0288	13.00
WATDE0290	13.00
WATDE0291	5.00
WATDE0292	20.22
WATDE0293	NA
WATDE0294	12.00
WATDE0296	NA
WATDE0298	NA
WATDE0299	18.00
WATDE0301	13.33
WATDE0302	18.67
WATDE0303	NA
WATDE0304	13.00
WATDE0305	NA
WATDE0306	NA
WATDE0308	NA
WATDE0310	NA
WATDE0312	19.00
WATDE0313	4.00
WATDE0315	10.00
WATDE0316	NA
WATDE0317	16.00
WATDE0318	15.00
WATDE0319	13.00
WATDE0321	19.33
WATDE0323	NA
WATDE0324	15.00
WATDE0325	NA
WATDE0328	19.50
WATDE0329	4.00
WATDE0331	17.00
WATDE0332	13.00
WATDE0333	NA
WATDE0334	12.00
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	15.67
WATDE0342	8.00
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	23.33
WATDE0347	16.67
WATDE0348	NA
WATDE0350	10.00
WATDE0352	11.00
WATDE0353	NA
WATDE0354	NA
WATDE0355	10.67
WATDE0356	11.00
WATDE0358	4.00
WATDE0359	5.00
WATDE0361	NA
WATDE0363	9.00
WATDE0365	11.00
WATDE0366	NA
WATDE0368	10.00
WATDE0369	18.00
WATDE0370	13.00
WATDE0371	9.00
WATDE0372	17.00
WATDE0373	NA
WATDE0374	13.71
WATDE0375	18.44
WATDE0377	NA
WATDE0378	2.00
WATDE0379	NA
WATDE0381	NA
WATDE0382	2.00
WATDE0383	NA
WATDE0385	2.00
WATDE0386	NA
WATDE0387	23.00
WATDE0389	22.17
WATDE0391	17.67
WATDE0392	NA
WATDE0394	19.33
WATDE0396	14.50
WATDE0397	11.00
WATDE0399	17.43
WATDE0401	15.00
WATDE0403	21.00
WATDE0404	8.00
WATDE0405	NA
WATDE0407	12.00
WATDE0408	15.00
WATDE0409	18.00
WATDE0410	12.00
WATDE0411	13.00
WATDE0412	11.00
WATDE0413	29.00
WATDE0415	12.00
WATDE0417	14.00
WATDE0419	14.00
WATDE0420	13.00
WATDE0421	13.00
WATDE0422	18.00
WATDE0423	23.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	NA
WATDE0430	15.00
WATDE0431	NA
WATDE0432	NA
WATDE0433	10.00
WATDE0434	NA
WATDE0435	NA
WATDE0436	17.67
WATDE0438	NA
WATDE0439	16.00
WATDE0440	15.44
WATDE0441	16.67
WATDE0442	1.00
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	NA
WATDE0448	19.67
WATDE0449	15.00
WATDE0450	16.00
WATDE0451	9.00
WATDE0452	4.00
WATDE0453	NA
WATDE0454	16.33
WATDE0455	15.22
WATDE0456	14.00
WATDE0457	13.50
WATDE0460	15.33
WATDE0461	15.00
WATDE0462	18.00
WATDE0463	17.33
WATDE0465	21.67
WATDE0467	17.25
WATDE0469	17.00
WATDE0471	17.67
WATDE0474	18.89
WATDE0477	20.86
WATDE0479	18.00
WATDE0481	18.50
WATDE0482	17.33
WATDE0484	9.00
WATDE0486	18.71
WATDE0487	18.67
WATDE0488	22.50
WATDE0489	12.78
WATDE0490	17.00
WATDE0492	8.00
WATDE0494	21.67
WATDE0496	23.67
WATDE0498	15.00
WATDE0500	12.33
WATDE0501	13.00
WATDE0502	NA
WATDE0503	NA
WATDE0504	19.00
WATDE0505	NA
WATDE0507	NA
WATDE0509	8.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	19.75
WATDE0513	21.67
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	17.00
WATDE0522	17.33
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	17.33
WATDE0534	19.78
WATDE0536	NA
WATDE0537	22.00
WATDE0538	NA
WATDE0539	23.00
WATDE0540	17.00
WATDE0541	NA
WATDE0542	NA
WATDE0543	21.67
WATDE0544	NA
WATDE0546	NA
WATDE0547	20.67
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	17.67
WATDE0555	16.33
WATDE0556	10.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	15.33
WATDE0563	16.00
WATDE0565	14.00
WATDE0566	17.00
WATDE0567	1.00
WATDE0568	NA
WATDE0569	12.00
WATDE0570	14.00
WATDE0571	NA
WATDE0572	15.67
WATDE0574	18.89
WATDE0577	12.00
WATDE0578	18.67
WATDE0579	7.20
