IID	FT_Kaifeng-GH_2020_Natural
WATDE0519	NA
WATDE0520	NA
WATDE0521	129.00
WATDE0522	127.33
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	129.00
WATDE0534	75.33
WATDE0536	NA
WATDE0537	134.00
WATDE0538	NA
WATDE0539	132.00
WATDE0540	141.00
WATDE0541	NA
WATDE0542	169.00
WATDE0543	121.33
WATDE0544	NA
WATDE0546	168.00
WATDE0547	115.33
WATDE0549	NA
WATDE0550	NA
WATDE0552	169.00
WATDE0553	135.33
WATDE0555	69.00
WATDE0556	139.00
WATDE0557	158.00
WATDE0558	159.00
WATDE0560	NA
WATDE0561	NA
WATDE0562	128.00
WATDE0563	121.33
WATDE0565	136.00
WATDE0566	137.00
WATDE0567	167.00
WATDE0568	NA
WATDE0569	129.00
WATDE0570	135.00
WATDE0571	131.00
WATDE0572	127.67
WATDE0574	73.00
WATDE0577	137.00
WATDE0578	125.00
WATDE0579	124.67
WATDE0581	68.00
WATDE0582	151.00
WATDE0585	79.67
WATDE0586	127.33
WATDE0588	151.00
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	148.50
WATDE0596	NA
WATDE0597	69.67
WATDE0598	NA
WATDE0599	NA
WATDE0600	123.67
WATDE0601	NA
WATDE0602	169.00
WATDE0603	152.00
WATDE0604	134.00
WATDE0606	153.00
WATDE0608	160.00
WATDE0609	NA
WATDE0610	143.00
WATDE0611	94.00
WATDE0613	104.50
WATDE0614	130.00
WATDE0615	134.00
WATDE0616	66.33
WATDE0617	131.33
WATDE0618	117.33
WATDE0620	167.00
WATDE0622	122.67
WATDE0624	NA
WATDE0626	69.67
WATDE0627	167.00
WATDE0628	158.00
WATDE0630	134.00
WATDE0631	121.50
WATDE0632	NA
WATDE0634	151.50
WATDE0635	118.50
WATDE0636	121.00
WATDE0638	NA
WATDE0639	151.00
WATDE0640	144.00
WATDE0641	NA
WATDE0643	141.00
WATDE0644	NA
WATDE0646	141.00
WATDE0648	146.00
WATDE0649	125.00
WATDE0650	119.00
WATDE0651	129.00
WATDE0652	155.00
WATDE0653	123.00
WATDE0655	128.00
WATDE0657	129.00
WATDE0658	NA
WATDE0659	119.00
WATDE0660	109.25
WATDE0661	71.00
WATDE0662	NA
WATDE0663	134.00
WATDE0664	NA
WATDE0665	140.00
WATDE0666	140.67
WATDE0667	125.33
WATDE0669	NA
WATDE0670	136.67
WATDE0671	NA
WATDE0672	122.67
WATDE0674	122.33
WATDE0675	174.00
WATDE0676	NA
WATDE0678	141.00
WATDE0679	75.33
WATDE0680	73.00
WATDE0682	137.00
WATDE0683	136.00
WATDE0685	132.00
WATDE0686	144.00
WATDE0687	123.33
WATDE0688	NA
WATDE0689	104.67
WATDE0691	118.00
WATDE0693	103.00
WATDE0694	73.33
WATDE0695	102.00
WATDE0697	81.33
WATDE0699	NA
WATDE0700	130.00
WATDE0701	148.00
WATDE0702	139.00
WATDE0703	NA
WATDE0704	131.00
WATDE0705	136.00
WATDE0706	117.00
WATDE0707	141.00
WATDE0709	123.50
WATDE0710	144.00
WATDE0712	134.00
WATDE0713	122.33
WATDE0716	NA
WATDE0718	147.00
WATDE0720	NA
WATDE0721	131.33
WATDE0723	NA
WATDE0725	158.00
WATDE0726	NA
WATDE0727	NA
WATDE0728	143.00
WATDE0729	132.00
WATDE0730	NA
WATDE0732	134.00
WATDE0735	77.00
WATDE0736	136.00
WATDE0737	132.00
WATDE0738	134.00
WATDE0739	146.00
WATDE0740	NA
WATDE0742	NA
WATDE0743	176.00
WATDE0744	155.00
WATDE0745	131.00
WATDE0747	148.00
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	129.00
WATDE0752	155.00
WATDE0754	139.00
WATDE0755	139.00
WATDE0756	70.67
WATDE0758	146.00
WATDE0759	134.00
WATDE0760	130.00
WATDE0761	69.67
WATDE0763	77.33
WATDE0765	77.50
WATDE0766	136.00
WATDE0768	75.50
WATDE0769	75.00
WATDE0770	132.00
WATDE0771	143.00
WATDE0773	139.00
WATDE0774	160.00
WATDE0775	153.00
WATDE0776	155.00
WATDE0777	142.00
WATDE0779	NA
WATDE0780	156.00
WATDE0781	158.00
WATDE0782	123.67
WATDE0783	111.33
WATDE0785	76.00
WATDE0786	NA
WATDE0788	67.00
WATDE0789	79.67
WATDE0790	76.00
WATDE0791	136.00
WATDE0793	134.00
WATDE0794	139.00
WATDE0795	71.00
WATDE0797	73.00
WATDE0798	136.00
WATDE0800	132.00
WATDE0802	125.00
WATDE0803	NA
WATDE0804	141.00
WATDE0805	NA
WATDE0807	152.00
WATDE0808	167.00
WATDE0810	NA
WATDE0811	75.00
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	135.00
WATDE0817	NA
WATDE0818	135.00
WATDE0819	NA
WATDE0821	NA
WATDE0823	120.80
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	126.50
WATDE0831	159.00
WATDE0833	NA
WATDE0835	77.67
WATDE0836	72.00
