IID	TN_Shenzhen_20220208_Natural
WATDE0915	222.5
WATDE0916	129
WATDE0917	153.5
WATDE0918	NA
WATDE0919	175
WATDE0920	NA
WATDE0922	NA
WATDE0923	168
WATDE0924	140.5
WATDE0926	81.5
WATDE0927	142
WATDE0928	307.5
WATDE0929	213.5
WATDE0930	250
WATDE0932	142
WATDE0933	151.5
WATDE0934	277.5
WATDE0935	121
WATDE0937	176
WATDE0938	214.5
WATDE0939	155.5
WATDE0941	289
WATDE0944	227.5
WATDE0945	234
WATDE0947	138.5
WATDE0950	NA
WATDE0951	164
WATDE0952	226.5
WATDE0953	NA
WATDE0954	163
WATDE0955	NA
WATDE0957	280
WATDE0958	NA
WATDE0961	177.5
WATDE0963	161
WATDE0965	NA
WATDE0966	277
WATDE0967	217
WATDE0969	NA
WATDE0970	200
WATDE0971	250
WATDE0973	NA
WATDE0974	122
WATDE0975	NA
WATDE0977	167.5
WATDE0978	135
WATDE0979	151
WATDE0981	234
WATDE0982	NA
WATDE0983	259
WATDE0984	152
WATDE0986	78
WATDE0987	239
WATDE0989	129.5
WATDE0991	115.5
WATDE0993	237.5
WATDE0995	152
WATDE0996	84.5
WATDE0997	165
WATDE0999	266.5
WATDE1001	NA
WATDE1002	234
WATDE1003	250
WATDE1004	279
WATDE1005	208
WATDE1008	249
WATDE1009	219
WATDE1010	204
WATDE1012	109.5
WATDE1014	310
WATDE1016	195.5
WATDE1017	NA
WATDE1018	165
WATDE1019	184.5
WATDE1021	191.5
WATDE1023	294.5
WATDE1025	205
WATDE1026	104.5
WATDE1027	NA
WATDE1029	210.5
WATDE1031	152.5
WATDE1032	145.5
WATDE1034	NA
WATDE1035	184
WATDE1037	212.5
WATDE1038	126.5
WATDE1040	355
WATDE1042	NA
WATDE1044	206
WATDE1046	157.5
WATDE1048	200
WATDE1049	129
WATDE1050	127
WATDE1051	202.5
WATDE1052	174.5
WATDE1053	NA
WATDE1055	158
WATDE1056	147
WATDE1058	209
WATDE1060	157.5
WATDE1061	217
WATDE1062	129
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
