IID	GrnSpk_Shenzhen-NN_2021_Natural
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	7.67
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	39.00
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	29.00
WATDE0758	NA
WATDE0759	41.33
WATDE0760	31.33
WATDE0761	36.00
WATDE0763	32.17
WATDE0765	44.17
WATDE0766	NA
WATDE0768	33.67
WATDE0769	47.00
WATDE0770	NA
WATDE0771	26.33
WATDE0773	NA
WATDE0774	NA
WATDE0775	NA
WATDE0776	31.00
WATDE0777	NA
WATDE0779	NA
WATDE0780	27.50
WATDE0781	NA
WATDE0782	39.00
WATDE0783	24.33
WATDE0785	30.00
WATDE0786	NA
WATDE0788	30.83
WATDE0789	31.67
WATDE0790	36.33
WATDE0791	25.67
WATDE0793	NA
WATDE0794	39.83
WATDE0795	30.83
WATDE0797	36.50
WATDE0798	36.00
WATDE0800	22.67
WATDE0802	32.33
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	33.67
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	31.67
WATDE0831	NA
WATDE0833	NA
WATDE0835	33.50
WATDE0836	32.17
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	27.50
WATDE0843	NA
WATDE0845	NA
WATDE0846	39.33
WATDE0848	NA
WATDE0850	23.67
WATDE0851	34.33
WATDE0852	39.33
WATDE0854	44.00
WATDE0856	NA
WATDE0857	34.50
WATDE0859	27.33
WATDE0861	25.00
WATDE0862	25.00
WATDE0863	51.33
WATDE0864	37.33
WATDE0865	32.67
WATDE0869	NA
WATDE0871	47.00
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	23.00
WATDE0889	37.67
WATDE0890	NA
WATDE0892	NA
WATDE0894	NA
WATDE0895	32.00
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	37.50
WATDE0902	NA
WATDE0903	NA
WATDE0904	44.33
WATDE0905	29.83
WATDE0906	30.67
WATDE0907	41.33
WATDE0909	44.67
WATDE0910	60.33
WATDE0911	NA
WATDE0912	51.83
WATDE0913	66.67
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	61.00
WATDE0918	NA
WATDE0919	NA
WATDE0920	NA
WATDE0922	NA
WATDE0923	56.00
WATDE0924	38.67
WATDE0926	48.67
WATDE0927	50.00
WATDE0928	30.83
WATDE0929	NA
WATDE0930	NA
WATDE0932	40.00
WATDE0933	28.00
WATDE0934	NA
WATDE0935	NA
WATDE0937	26.50
WATDE0938	NA
WATDE0939	NA
WATDE0941	NA
WATDE0944	17.00
WATDE0945	23.00
WATDE0947	15.50
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	47.00
WATDE0958	NA
WATDE0961	NA
WATDE0963	43.50
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
