IID	PH_Kaifeng-GH_2020_Natural
WATDE0489	108.67
WATDE0490	117.00
WATDE0492	91.00
WATDE0494	133.33
WATDE0496	137.33
WATDE0498	124.00
WATDE0500	104.33
WATDE0501	111.33
WATDE0502	NA
WATDE0503	NA
WATDE0504	128.67
WATDE0505	NA
WATDE0507	NA
WATDE0509	107.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	137.00
WATDE0513	137.00
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	105.00
WATDE0522	160.67
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	157.67
WATDE0534	168.33
WATDE0536	NA
WATDE0537	107.00
WATDE0538	NA
WATDE0539	113.00
WATDE0540	160.33
WATDE0541	NA
WATDE0542	NA
WATDE0543	131.67
WATDE0544	NA
WATDE0546	NA
WATDE0547	123.00
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	158.33
WATDE0555	136.33
WATDE0556	97.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	109.67
WATDE0563	145.33
WATDE0565	100.00
WATDE0566	87.00
WATDE0567	NA
WATDE0568	NA
WATDE0569	85.00
WATDE0570	93.00
WATDE0571	NA
WATDE0572	143.33
WATDE0574	140.00
WATDE0577	81.00
WATDE0578	121.33
WATDE0579	140.00
WATDE0581	139.00
WATDE0582	NA
WATDE0585	188.67
WATDE0586	130.00
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	129.33
WATDE0598	NA
WATDE0599	NA
WATDE0600	153.67
WATDE0601	NA
WATDE0602	NA
WATDE0603	NA
WATDE0604	95.00
WATDE0606	NA
WATDE0608	NA
WATDE0609	NA
WATDE0610	83.00
WATDE0611	156.50
WATDE0613	157.67
WATDE0614	105.00
WATDE0615	94.00
WATDE0616	144.33
WATDE0617	164.33
WATDE0618	139.00
WATDE0620	NA
WATDE0622	129.67
WATDE0624	NA
WATDE0626	118.33
