IID	GrwHabit_Shenzhen-NN_2021_Natural
WATDE0443	15.87
WATDE0444	NA
WATDE0445	NA
WATDE0446	61.62
WATDE0448	28.74
WATDE0449	62.30
WATDE0450	59.40
WATDE0451	NA
WATDE0452	60.37
WATDE0453	53.41
WATDE0454	54.91
WATDE0455	68.07
WATDE0456	49.83
WATDE0457	NA
WATDE0460	51.79
WATDE0461	46.26
WATDE0462	64.49
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	NA
WATDE0471	NA
WATDE0474	54.09
WATDE0477	25.93
WATDE0479	49.53
WATDE0481	53.33
WATDE0482	NA
WATDE0484	NA
WATDE0486	20.87
WATDE0487	NA
WATDE0488	NA
WATDE0489	63.96
WATDE0490	36.22
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	14.42
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	56.40
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	55.96
WATDE0522	24.27
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	38.83
WATDE0534	25.23
WATDE0536	NA
WATDE0537	44.25
WATDE0538	NA
WATDE0539	28.00
WATDE0540	17.02
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	NA
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	55.23
WATDE0555	54.11
WATDE0556	NA
WATDE0557	45.81
WATDE0558	NA
WATDE0560	NA
WATDE0561	16.51
WATDE0562	NA
WATDE0563	28.87
WATDE0565	48.27
WATDE0566	49.76
WATDE0567	NA
WATDE0568	NA
WATDE0569	52.94
WATDE0570	61.53
WATDE0571	62.20
WATDE0572	40.46
WATDE0574	53.39
WATDE0577	71.20
WATDE0578	NA
WATDE0579	39.47
WATDE0581	25.93
WATDE0582	28.66
WATDE0585	72.01
WATDE0586	NA
WATDE0588	33.25
WATDE0589	64.87
WATDE0591	NA
WATDE0592	NA
WATDE0594	54.85
WATDE0596	NA
WATDE0597	59.86
WATDE0598	NA
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	68.04
WATDE0603	57.99
WATDE0604	52.69
WATDE0606	58.53
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	48.64
WATDE0613	27.62
WATDE0614	49.58
WATDE0615	70.74
WATDE0616	52.22
WATDE0617	64.87
WATDE0618	NA
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	53.35
WATDE0627	NA
WATDE0628	9.09
WATDE0630	57.99
WATDE0631	65.63
WATDE0632	51.44
WATDE0634	29.72
WATDE0635	58.12
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	23.81
WATDE0641	NA
WATDE0643	13.08
WATDE0644	NA
WATDE0646	34.77
WATDE0648	NA
WATDE0649	86.09
WATDE0650	NA
WATDE0651	62.15
WATDE0652	15.87
WATDE0653	24.03
WATDE0655	37.80
WATDE0657	60.00
WATDE0658	NA
WATDE0659	42.64
WATDE0660	NA
WATDE0661	42.99
WATDE0662	NA
WATDE0663	64.87
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	21.04
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	54.08
WATDE0679	56.04
WATDE0680	62.31
WATDE0682	54.51
WATDE0683	28.98
WATDE0685	53.13
WATDE0686	16.49
WATDE0687	NA
WATDE0688	NA
WATDE0689	71.66
WATDE0691	78.30
WATDE0693	40.16
WATDE0694	45.39
WATDE0695	42.53
WATDE0697	16.71
WATDE0699	NA
WATDE0700	59.86
WATDE0701	52.96
WATDE0702	61.62
WATDE0703	NA
WATDE0704	50.88
WATDE0705	25.25
WATDE0706	60.27
WATDE0707	52.96
WATDE0709	24.55
WATDE0710	NA
WATDE0712	56.33
WATDE0713	NA
WATDE0716	NA
WATDE0718	49.05
WATDE0720	61.62
WATDE0721	33.25
WATDE0723	49.83
WATDE0725	33.02
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	52.39
WATDE0730	69.97
WATDE0732	56.46
WATDE0735	50.27
WATDE0736	NA
WATDE0737	52.61
WATDE0738	61.62
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	39.31
WATDE0747	28.84
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	48.78
WATDE0752	NA
WATDE0754	62.45
WATDE0755	NA
WATDE0756	68.77
WATDE0758	NA
WATDE0759	31.46
WATDE0760	54.65
WATDE0761	47.36
WATDE0763	32.96
WATDE0765	50.55
WATDE0766	54.85
WATDE0768	28.51
WATDE0769	28.79
WATDE0770	24.49
WATDE0771	54.71
WATDE0773	58.17
WATDE0774	NA
WATDE0775	22.89
WATDE0776	43.27
WATDE0777	61.58
WATDE0779	NA
WATDE0780	31.42
WATDE0781	23.81
WATDE0782	17.05
WATDE0783	14.95
WATDE0785	53.30
WATDE0786	NA
WATDE0788	69.89
WATDE0789	31.83
WATDE0790	39.45
WATDE0791	36.46
WATDE0793	41.48
WATDE0794	63.09
WATDE0795	32.80
WATDE0797	78.19
WATDE0798	59.75
WATDE0800	25.52
WATDE0802	40.04
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	43.97
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	31.58
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	41.01
WATDE0836	43.26
WATDE0837	36.00
WATDE0839	36.34
WATDE0840	49.83
WATDE0841	34.51
WATDE0843	14.42
WATDE0845	10.00
WATDE0846	55.99
WATDE0848	NA
WATDE0850	61.36
WATDE0851	15.39
WATDE0852	39.31
WATDE0854	50.57
WATDE0856	53.77
WATDE0857	56.47
WATDE0859	NA
WATDE0861	55.89
WATDE0862	41.73
WATDE0863	40.07
WATDE0864	55.99
WATDE0865	35.64
WATDE0869	45.00
WATDE0871	70.00
WATDE0872	60.00
WATDE0873	46.61
WATDE0874	56.46
WATDE0875	53.28
WATDE0876	56.46
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	52.27
WATDE0889	42.85
WATDE0890	51.45
WATDE0892	NA
WATDE0894	NA
WATDE0895	41.55
WATDE0896	NA
WATDE0898	NA
WATDE0899	68.29
WATDE0900	NA
WATDE0901	69.86
WATDE0902	NA
WATDE0903	NA
WATDE0904	54.86
WATDE0905	62.77
WATDE0906	63.35
WATDE0907	65.54
WATDE0909	41.80
WATDE0910	68.15
WATDE0911	NA
WATDE0912	27.32
