IID	PH_Shenzhen-LN_2021_Natural
WATDE0566	130.30
WATDE0567	NA
WATDE0568	NA
WATDE0569	127.29
WATDE0570	120.89
WATDE0571	135.22
WATDE0572	113.31
WATDE0574	115.64
WATDE0577	115.72
WATDE0578	95.77
WATDE0579	106.66
WATDE0581	88.58
WATDE0582	98.58
WATDE0585	136.49
WATDE0586	62.97
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	98.39
WATDE0596	NA
WATDE0597	98.96
WATDE0598	NA
WATDE0599	NA
WATDE0600	71.37
WATDE0601	NA
WATDE0602	NA
WATDE0603	NA
WATDE0604	NA
WATDE0606	107.08
WATDE0608	NA
WATDE0609	NA
WATDE0610	90.90
WATDE0611	112.13
WATDE0613	103.96
WATDE0614	114.75
WATDE0615	119.00
WATDE0616	121.30
WATDE0617	125.11
WATDE0618	73.77
WATDE0620	NA
WATDE0622	82.12
WATDE0624	NA
WATDE0626	119.26
WATDE0627	NA
WATDE0628	NA
WATDE0630	115.58
WATDE0631	112.16
WATDE0632	NA
WATDE0634	NA
WATDE0635	135.46
WATDE0636	87.60
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	109.26
WATDE0644	NA
WATDE0646	95.09
WATDE0648	NA
WATDE0649	94.00
WATDE0650	88.21
WATDE0651	128.63
WATDE0652	NA
WATDE0653	118.62
WATDE0655	NA
WATDE0657	NA
WATDE0658	NA
WATDE0659	76.51
WATDE0660	79.41
WATDE0661	119.24
WATDE0662	NA
WATDE0663	124.87
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	76.86
WATDE0669	NA
WATDE0670	82.89
WATDE0671	NA
WATDE0672	64.50
WATDE0674	68.53
WATDE0675	NA
WATDE0676	NA
WATDE0678	145.53
WATDE0679	130.57
WATDE0680	110.65
WATDE0682	NA
WATDE0683	119.96
WATDE0685	125.92
WATDE0686	113.32
WATDE0687	87.81
WATDE0688	NA
WATDE0689	114.81
WATDE0691	NA
WATDE0693	107.12
WATDE0694	59.95
WATDE0695	78.66
WATDE0697	82.32
WATDE0699	NA
WATDE0700	133.98
WATDE0701	NA
WATDE0702	117.68
WATDE0703	NA
WATDE0704	NA
WATDE0705	117.73
WATDE0706	123.75
WATDE0707	NA
WATDE0709	81.61
WATDE0710	NA
WATDE0712	116.24
WATDE0713	NA
WATDE0716	NA
WATDE0718	88.09
WATDE0720	NA
WATDE0721	89.91
WATDE0723	125.33
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	101.82
WATDE0730	135.32
WATDE0732	NA
WATDE0735	113.43
WATDE0736	NA
WATDE0737	NA
WATDE0738	156.99
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	108.65
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	109.97
WATDE0752	NA
WATDE0754	106.57
WATDE0755	NA
WATDE0756	108.08
WATDE0758	NA
WATDE0759	107.89
WATDE0760	115.81
WATDE0761	133.58
WATDE0763	130.90
WATDE0765	122.33
WATDE0766	NA
WATDE0768	113.81
WATDE0769	104.21
WATDE0770	NA
WATDE0771	135.53
WATDE0773	101.82
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	142.90
WATDE0779	NA
WATDE0780	131.64
WATDE0781	112.40
WATDE0782	111.33
WATDE0783	107.05
WATDE0785	106.45
WATDE0786	NA
WATDE0788	131.07
WATDE0789	112.09
WATDE0790	109.96
WATDE0791	80.12
WATDE0793	134.39
WATDE0794	123.66
WATDE0795	116.61
WATDE0797	110.64
WATDE0798	139.06
WATDE0800	121.94
WATDE0802	105.83
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	122.44
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	76.19
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	78.61
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	87.39
WATDE0831	NA
WATDE0833	NA
WATDE0835	104.13
WATDE0836	127.30
WATDE0837	102.66
WATDE0839	138.56
WATDE0840	NA
WATDE0841	39.85
WATDE0843	NA
WATDE0845	89.85
WATDE0846	134.98
WATDE0848	84.94
WATDE0850	NA
WATDE0851	85.74
WATDE0852	NA
WATDE0854	94.70
WATDE0856	109.67
WATDE0857	101.30
WATDE0859	80.65
WATDE0861	101.96
WATDE0862	92.29
WATDE0863	121.81
WATDE0864	NA
WATDE0865	101.66
WATDE0869	NA
WATDE0871	140.99
WATDE0872	NA
WATDE0873	121.64
WATDE0874	NA
WATDE0875	111.62
WATDE0876	114.27
WATDE0877	NA
WATDE0878	NA
WATDE0879	60.28
WATDE0880	74.53
WATDE0881	90.27
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
