IID	Mat_Shenzhen_2022_Natural_50percentXin
WATDE0454	143
WATDE0455	149
WATDE0456	151
WATDE0457	NA
WATDE0460	159
WATDE0461	143
WATDE0462	141
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	NA
WATDE0471	NA
WATDE0474	141
WATDE0477	NA
WATDE0479	167
WATDE0481	171
WATDE0482	177
WATDE0484	NA
WATDE0486	170
WATDE0487	150
WATDE0488	NA
WATDE0489	151
WATDE0490	160
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	156
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	171
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	170
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	NA
WATDE0536	NA
WATDE0537	170
WATDE0538	NA
WATDE0539	170
WATDE0540	NA
WATDE0541	133
WATDE0542	NA
WATDE0543	NA
WATDE0544	176
WATDE0546	NA
WATDE0547	179
WATDE0549	160
WATDE0550	NA
WATDE0552	NA
WATDE0553	179
WATDE0555	166
WATDE0556	151
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	187
WATDE0563	NA
WATDE0565	155
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	149
WATDE0570	NA
WATDE0571	154
WATDE0572	NA
WATDE0574	174
WATDE0577	153
WATDE0578	NA
WATDE0579	144
WATDE0581	151
WATDE0582	NA
WATDE0585	162
WATDE0586	NA
WATDE0588	173
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	177
WATDE0596	182
WATDE0597	151
WATDE0598	167
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	174
WATDE0603	NA
WATDE0604	157
WATDE0606	159
WATDE0608	NA
WATDE0609	NA
WATDE0610	170
WATDE0611	173
WATDE0613	156
WATDE0614	158
WATDE0615	150
WATDE0616	169
WATDE0617	151
WATDE0618	NA
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	151
WATDE0627	NA
WATDE0628	170
WATDE0630	168
WATDE0631	172
WATDE0632	NA
WATDE0634	NA
WATDE0635	162
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	173
WATDE0644	NA
WATDE0646	158
WATDE0648	NA
WATDE0649	173
WATDE0650	NA
WATDE0651	147
WATDE0652	NA
WATDE0653	149
WATDE0655	145
WATDE0657	NA
WATDE0658	NA
WATDE0659	159
WATDE0660	NA
WATDE0661	171
WATDE0662	NA
WATDE0663	156
WATDE0664	NA
WATDE0665	174
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	NA
WATDE0674	173
WATDE0675	NA
WATDE0676	NA
WATDE0678	165
WATDE0679	160
WATDE0680	151
WATDE0682	144
WATDE0683	158
WATDE0685	158
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	179
WATDE0691	129
WATDE0693	NA
WATDE0694	NA
WATDE0695	165
WATDE0697	173
WATDE0699	NA
WATDE0700	160
WATDE0701	172
WATDE0702	142
WATDE0703	176
WATDE0704	130
WATDE0705	159
WATDE0706	159
WATDE0707	165
WATDE0709	158
WATDE0710	NA
WATDE0712	151
WATDE0713	NA
WATDE0716	NA
WATDE0718	170
WATDE0720	184
WATDE0721	NA
WATDE0723	159
WATDE0725	174
WATDE0726	NA
WATDE0727	NA
WATDE0728	176
WATDE0729	157
WATDE0730	147
WATDE0732	144
WATDE0735	157
WATDE0736	151
WATDE0737	163
WATDE0738	162
WATDE0739	182
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	153
WATDE0747	147
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	167
WATDE0752	NA
WATDE0754	162
WATDE0755	NA
WATDE0756	165
WATDE0758	176
WATDE0759	169
WATDE0760	151
WATDE0761	143
WATDE0763	174
WATDE0765	154
WATDE0766	160
WATDE0768	151
WATDE0769	158
WATDE0770	143
WATDE0771	145
WATDE0773	168
WATDE0774	NA
WATDE0775	174
WATDE0776	173
WATDE0777	NA
WATDE0779	NA
WATDE0780	171
WATDE0781	185
WATDE0782	173
WATDE0783	175
WATDE0785	170
WATDE0786	NA
WATDE0788	138
WATDE0789	173
WATDE0790	159
WATDE0791	159
WATDE0793	156
WATDE0794	149
WATDE0795	156
WATDE0797	149
WATDE0798	156
WATDE0800	165
WATDE0802	149
WATDE0803	184
WATDE0804	154
WATDE0805	NA
WATDE0807	NA
WATDE0808	172
WATDE0810	NA
WATDE0811	160
WATDE0812	NA
WATDE0814	142
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	123
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	169
WATDE0836	153
WATDE0837	179
WATDE0839	165
WATDE0840	174
WATDE0841	184
WATDE0843	NA
WATDE0845	NA
WATDE0846	156
WATDE0848	NA
WATDE0850	142
WATDE0851	154
WATDE0852	168
WATDE0854	127
WATDE0856	176
WATDE0857	151
WATDE0859	169
WATDE0861	159
WATDE0862	NA
WATDE0863	154
WATDE0864	NA
WATDE0865	NA
WATDE0869	184
WATDE0871	173
WATDE0872	177
WATDE0873	177
WATDE0874	177
WATDE0875	177
WATDE0876	174
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	169
WATDE0889	158
WATDE0890	177
WATDE0892	NA
WATDE0894	171
WATDE0895	NA
WATDE0896	NA
WATDE0898	NA
WATDE0899	127
WATDE0900	NA
WATDE0901	139
WATDE0902	138
WATDE0903	NA
WATDE0904	143
WATDE0905	147
WATDE0906	151
WATDE0907	141
WATDE0909	136
WATDE0910	123
WATDE0911	NA
WATDE0912	173
WATDE0913	152
WATDE0914	NA
WATDE0915	173
WATDE0916	133
WATDE0917	123
WATDE0918	NA
WATDE0919	149
WATDE0920	NA
WATDE0922	142
WATDE0923	149
WATDE0924	134
WATDE0926	127
WATDE0927	133
WATDE0928	174
WATDE0929	174
WATDE0930	177
WATDE0932	151
WATDE0933	167
WATDE0934	174
WATDE0935	NA
WATDE0937	173
WATDE0938	177
WATDE0939	136
WATDE0941	NA
WATDE0944	182
WATDE0945	177
WATDE0947	169
WATDE0950	NA
WATDE0951	170
WATDE0952	173
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	169
WATDE0958	NA
WATDE0961	NA
WATDE0963	146
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	149
WATDE0975	NA
WATDE0977	185
WATDE0978	185
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	173
WATDE0984	158
WATDE0986	144
WATDE0987	NA
WATDE0989	151
WATDE0991	152
WATDE0993	184
WATDE0995	157
WATDE0996	168
WATDE0997	NA
WATDE0999	182
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	NA
WATDE1005	182
WATDE1008	NA
WATDE1009	176
WATDE1010	174
WATDE1012	176
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	184
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	169
WATDE1027	NA
WATDE1029	179
WATDE1031	184
WATDE1032	182
WATDE1034	NA
WATDE1035	174
WATDE1037	172
WATDE1038	126
WATDE1040	NA
WATDE1042	NA
WATDE1044	177
WATDE1046	135
WATDE1048	173
WATDE1049	173
WATDE1050	169
WATDE1051	167
WATDE1052	NA
WATDE1053	NA
WATDE1055	173
WATDE1056	177
WATDE1058	177
WATDE1060	149
WATDE1061	184
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	164
Zemon	NA
Zentos	NA
ability	NA
avocet	171
blitz	NA
cadenza	NA
captor	NA
cimcog32	158
david	NA
denver	NA
eagle	NA
festival	NA
fidel	163
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
