IID	BM_Shenzhen_2022_Natural_spike-flowering
WATDE0375	NA
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	3.36
WATDE0382	2.36
WATDE0383	2.35
WATDE0385	2.78
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	NA
WATDE0396	NA
WATDE0397	NA
WATDE0399	7.56
WATDE0401	3.58
WATDE0403	NA
WATDE0404	1.76
WATDE0405	NA
WATDE0407	3.28
WATDE0408	2.83
WATDE0409	3.32
WATDE0410	NA
WATDE0411	2.9
WATDE0412	2.86
WATDE0413	3.7
WATDE0415	2.04
WATDE0417	NA
WATDE0419	5.15
WATDE0420	3.37
WATDE0421	NA
WATDE0422	4.28
WATDE0423	3.79
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	3.23
WATDE0428	NA
WATDE0429	3.2
WATDE0430	2.54
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	NA
WATDE0438	NA
WATDE0439	2.45
WATDE0440	2.13
WATDE0441	2.56
WATDE0442	1.97
WATDE0443	3.28
WATDE0444	NA
WATDE0445	1.65
WATDE0446	1.34
WATDE0448	3.03
WATDE0449	4.88
WATDE0450	NA
WATDE0451	NA
WATDE0452	1.68
WATDE0453	4.64
WATDE0454	5.73
WATDE0455	6.76
WATDE0456	6.13
WATDE0457	NA
WATDE0460	1.6
WATDE0461	4.4
WATDE0462	NA
WATDE0463	3.76
WATDE0465	NA
WATDE0467	NA
WATDE0469	2.99
WATDE0471	3.28
WATDE0474	3.3
WATDE0477	2.93
WATDE0479	1.95
WATDE0481	1.89
WATDE0482	2.29
WATDE0484	NA
WATDE0486	1.72
WATDE0487	2.06
WATDE0488	1.68
WATDE0489	2.37
WATDE0490	2.67
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	3.11
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	2.97
WATDE0515	1.71
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	2.43
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	1.63
WATDE0534	1.68
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	1.6
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	2.05
WATDE0546	NA
WATDE0547	1.73
WATDE0549	3.07
WATDE0550	NA
WATDE0552	1.83
WATDE0553	NA
WATDE0555	2.34
WATDE0556	4.17
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	3.37
WATDE0563	3.23
