IID	SRPI_Shenzhen-LN_2020_Natural
WATDE0651	NA
WATDE0652	NA
WATDE0653	0.44380527
WATDE0655	NA
WATDE0657	NA
WATDE0658	NA
WATDE0659	0.704847252
WATDE0660	NA
WATDE0661	0.73681341
WATDE0662	NA
WATDE0663	NA
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	0.519803736
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	0.57718369
WATDE0680	NA
WATDE0682	NA
WATDE0683	NA
WATDE0685	NA
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	0.572641985
WATDE0691	NA
WATDE0693	0.357256555
WATDE0694	0.509482644
WATDE0695	0.550952217
WATDE0697	0.441107792
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	NA
WATDE0705	NA
WATDE0706	0.351114808
WATDE0707	NA
WATDE0709	NA
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	0.511480056
WATDE0730	NA
WATDE0732	NA
WATDE0735	0.620468277
WATDE0736	NA
WATDE0737	NA
WATDE0738	NA
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	0.555566096
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	0.720851627
WATDE0758	NA
WATDE0759	NA
WATDE0760	NA
WATDE0761	0.390935541
WATDE0763	0.680970052
WATDE0765	0.572803034
WATDE0766	NA
WATDE0768	0.524833477
WATDE0769	0.531472961
WATDE0770	NA
WATDE0771	NA
WATDE0773	NA
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	NA
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	0.368740597
WATDE0783	0.489022151
WATDE0785	0.515330171
WATDE0786	NA
WATDE0788	0.312555655
WATDE0789	0.448385641
WATDE0790	0.344355721
WATDE0791	0.53381268
WATDE0793	NA
WATDE0794	0.583049036
WATDE0795	0.585898539
WATDE0797	0.567232669
WATDE0798	0.712520074
WATDE0800	NA
WATDE0802	NA
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	NA
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	0.538742698
WATDE0836	0.453087891
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
WATDE0848	NA
WATDE0850	NA
WATDE0851	NA
WATDE0852	NA
WATDE0854	0.232518511
WATDE0856	NA
WATDE0857	0.40209729
WATDE0859	NA
WATDE0861	0.479344806
WATDE0862	0.423180604
WATDE0863	0.414037791
WATDE0864	NA
WATDE0865	0.611936039
WATDE0869	NA
WATDE0871	NA
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	0.423211291
WATDE0889	0.387138822
WATDE0890	0.539159045
WATDE0892	NA
WATDE0894	NA
WATDE0895	0.791842261
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	NA
WATDE0905	NA
WATDE0906	NA
WATDE0907	NA
WATDE0909	0.297296061
WATDE0910	0.292995935
WATDE0911	NA
WATDE0912	NA
WATDE0913	0.334620142
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	0.353300169
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	0.377000118
WATDE0926	0.318929523
WATDE0927	0.301938272
WATDE0928	0.389415108
WATDE0929	NA
WATDE0930	0.471161289
WATDE0932	0.339300773
WATDE0933	NA
WATDE0934	NA
WATDE0935	NA
WATDE0937	0.460192835
WATDE0938	NA
WATDE0939	0.304413659
WATDE0941	NA
WATDE0944	0.409057895
WATDE0945	0.372010034
WATDE0947	NA
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	0.677074699
WATDE0958	NA
WATDE0961	NA
WATDE0963	0.543798719
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	0.699062427
WATDE0984	0.512414772
WATDE0986	NA
WATDE0987	NA
WATDE0989	NA
WATDE0991	0.621582171
WATDE0993	0.700575715
WATDE0995	0.588228444
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	0.620792883
WATDE1003	NA
WATDE1004	0.545403676
WATDE1005	0.446314615
WATDE1008	NA
WATDE1009	0.617348428
WATDE1010	0.575606915
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	0.563373477
WATDE1023	NA
WATDE1025	NA
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	0.606128383
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	0.467570565
WATDE1038	0.330941702
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	0.365249507
WATDE1048	0.424374362
WATDE1049	0.508592123
WATDE1050	0.81550128
WATDE1051	0.462243069
WATDE1052	0.480961457
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	0.595202682
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
