IID	GY_Shenzhen-NN_2021_Natural_1plot
WATDE0285	251.00
WATDE0286	201.50
WATDE0287	NA
WATDE0288	74.00
WATDE0290	145.00
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	NA
WATDE0303	NA
WATDE0304	NA
WATDE0305	NA
WATDE0306	75.00
WATDE0308	NA
WATDE0310	NA
WATDE0312	96.50
WATDE0313	43.00
WATDE0315	183.00
WATDE0316	NA
WATDE0317	257.50
WATDE0318	NA
WATDE0319	100.00
WATDE0321	NA
WATDE0323	NA
WATDE0324	225.50
WATDE0325	NA
WATDE0328	NA
WATDE0329	NA
WATDE0331	NA
WATDE0332	164.00
WATDE0333	164.00
WATDE0334	NA
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	NA
WATDE0347	NA
WATDE0348	NA
WATDE0350	115.00
WATDE0352	NA
WATDE0353	NA
WATDE0354	NA
WATDE0355	NA
WATDE0356	50.00
WATDE0358	19.00
WATDE0359	NA
WATDE0361	NA
WATDE0363	75.00
WATDE0365	NA
WATDE0366	66.00
WATDE0368	205.00
WATDE0369	6.00
WATDE0370	NA
WATDE0371	125.00
WATDE0372	197.50
WATDE0373	NA
WATDE0374	88.00
WATDE0375	240.50
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	67.50
WATDE0382	140.50
WATDE0383	49.00
WATDE0385	75.00
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	132.00
WATDE0392	NA
WATDE0394	128.50
WATDE0396	NA
WATDE0397	43.00
WATDE0399	375.50
WATDE0401	275.50
WATDE0403	NA
WATDE0404	124.00
WATDE0405	NA
WATDE0407	90.50
WATDE0408	197.00
WATDE0409	NA
WATDE0410	NA
WATDE0411	NA
WATDE0412	61.50
WATDE0413	84.00
WATDE0415	89.00
WATDE0417	NA
WATDE0419	NA
WATDE0420	136.00
WATDE0421	69.00
WATDE0422	89.00
WATDE0423	198.00
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	166.00
WATDE0430	NA
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	NA
WATDE0438	NA
WATDE0439	63.00
WATDE0440	116.50
WATDE0441	66.50
WATDE0442	50.00
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	192.00
WATDE0448	NA
WATDE0449	189.00
WATDE0450	253.00
WATDE0451	NA
WATDE0452	49.50
WATDE0453	102.50
WATDE0454	NA
WATDE0455	312.00
WATDE0456	65.00
WATDE0457	NA
WATDE0460	189.50
WATDE0461	106.00
WATDE0462	430.00
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	NA
WATDE0471	NA
WATDE0474	200.00
WATDE0477	80.00
WATDE0479	67.00
WATDE0481	122.00
WATDE0482	186.00
WATDE0484	NA
WATDE0486	144.00
WATDE0487	18.00
WATDE0488	NA
WATDE0489	310.00
WATDE0490	45.00
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	182.50
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	78.00
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	199.00
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	100.50
WATDE0536	NA
WATDE0537	70.00
WATDE0538	NA
WATDE0539	146.00
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	NA
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	104.50
WATDE0555	131.00
WATDE0556	117.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
