IID	TN_Shenzhen_20220412_Natural
WATDE0329	NA
WATDE0331	107
WATDE0332	NA
WATDE0333	NA
WATDE0334	NA
WATDE0335	111
WATDE0336	NA
WATDE0337	NA
WATDE0340	NA
WATDE0342	NA
WATDE0343	NA
WATDE0344	NA
WATDE0345	NA
WATDE0346	109
WATDE0347	NA
WATDE0348	NA
WATDE0350	80
WATDE0352	240
WATDE0353	49.5
WATDE0354	93
WATDE0355	NA
WATDE0356	NA
WATDE0358	NA
WATDE0359	NA
WATDE0361	NA
WATDE0363	123
WATDE0365	NA
WATDE0366	43.5
WATDE0368	NA
WATDE0369	NA
WATDE0370	NA
WATDE0371	NA
WATDE0372	NA
WATDE0373	NA
WATDE0374	NA
WATDE0375	NA
WATDE0377	NA
WATDE0378	NA
WATDE0379	171.5
WATDE0381	NA
WATDE0382	NA
WATDE0383	NA
WATDE0385	NA
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	NA
WATDE0394	107
WATDE0396	138
WATDE0397	69
WATDE0399	NA
WATDE0401	76
WATDE0403	NA
WATDE0404	118.5
WATDE0405	NA
WATDE0407	NA
WATDE0408	NA
WATDE0409	NA
WATDE0410	NA
WATDE0411	NA
WATDE0412	NA
WATDE0413	NA
WATDE0415	NA
WATDE0417	NA
WATDE0419	NA
WATDE0420	NA
WATDE0421	NA
WATDE0422	NA
WATDE0423	NA
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	142.5
WATDE0428	NA
WATDE0429	NA
WATDE0430	NA
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	165.5
WATDE0438	NA
WATDE0439	NA
WATDE0440	NA
WATDE0441	NA
WATDE0442	151.5
WATDE0443	NA
WATDE0444	NA
WATDE0445	NA
WATDE0446	NA
WATDE0448	139.5
WATDE0449	NA
WATDE0450	NA
WATDE0451	NA
WATDE0452	NA
WATDE0453	129
WATDE0454	NA
WATDE0455	NA
WATDE0456	NA
WATDE0457	NA
WATDE0460	139.5
WATDE0461	NA
WATDE0462	NA
WATDE0463	232
WATDE0465	115
WATDE0467	NA
WATDE0469	NA
WATDE0471	131
WATDE0474	NA
WATDE0477	207
WATDE0479	146
WATDE0481	195
WATDE0482	139.5
WATDE0484	NA
WATDE0486	NA
WATDE0487	NA
WATDE0488	107.5
WATDE0489	NA
WATDE0490	NA
WATDE0492	NA
WATDE0494	NA
WATDE0496	70.5
WATDE0498	NA
WATDE0500	119.5
WATDE0501	NA
