IID	FT_Shenzhen-LN_2021_Natural
WATDE0455	133
WATDE0456	NA
WATDE0457	NA
WATDE0460	NA
WATDE0461	NA
WATDE0462	NA
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	104
WATDE0471	104
WATDE0474	NA
WATDE0477	112
WATDE0479	130
WATDE0481	133
WATDE0482	NA
WATDE0484	NA
WATDE0486	145
WATDE0487	92
WATDE0488	128
WATDE0489	77.5
WATDE0490	130
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	133
WATDE0510	NA
WATDE0511	NA
WATDE0512	128
WATDE0513	NA
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	145
WATDE0522	157
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	145
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	151
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	104
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	NA
WATDE0555	145
WATDE0556	157
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	NA
WATDE0565	NA
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	108
WATDE0570	139
WATDE0571	NA
WATDE0572	145
WATDE0574	145
WATDE0577	112
WATDE0578	NA
WATDE0579	NA
WATDE0581	139
WATDE0582	130
WATDE0585	126.5
WATDE0586	NA
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	NA
WATDE0598	NA
WATDE0599	NA
WATDE0600	116
WATDE0601	NA
WATDE0602	NA
WATDE0603	NA
WATDE0604	NA
WATDE0606	133
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	133
WATDE0613	145
WATDE0614	139
WATDE0615	115
WATDE0616	133
WATDE0617	130
WATDE0618	NA
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	NA
WATDE0627	NA
WATDE0628	NA
WATDE0630	NA
WATDE0631	133
WATDE0632	NA
WATDE0634	NA
WATDE0635	NA
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	145
WATDE0644	NA
WATDE0646	145
WATDE0648	NA
WATDE0649	145
WATDE0650	117
WATDE0651	115
