ID,Accession,Run title,BioProject accession,Experiment accession,Run data file type,Read filename 1,Read file1 MD5,DownLoad Read file1,Read filename 2,Read file2 MD5,DownLoad Read file2,Index filename 1,Index file1 MD5,DownLoad Index file1,Index filename 2,Index file2 MD5,DownLoad Index file2,Reference file name,MD5 for reference file,Assembly Name or Accession,Assembly Accession URL,other_db,accession_in_other_db,other_db_url
23,CRR875568,Altria-2,PRJCA019636,CRX791109,fastq,CRR875568_f1.fastq.gz (160855581051 bytes),9f6d99ba7f086138a966e89f0f70d510,ftp://download.big.ac.cn/gsa/CRA012590/CRR875568/CRR875568_f1.fastq.gz,CRR875568_r2.fastq.gz (168345396194 bytes),1670bd2aebc9b1a6d3c9ea3c9faae69e,ftp://download.big.ac.cn/gsa/CRA012590/CRR875568/CRR875568_r2.fastq.gz,,,,,,,,,,,,,
24,CRR875569,Altria-3,PRJCA019636,CRX791109,fastq,CRR875569_f1.fastq.gz (23459002291 bytes),4d6a252c032dc4872e6dc4f94755b3e1,ftp://download.big.ac.cn/gsa/CRA012590/CRR875569/CRR875569_f1.fastq.gz,CRR875569_r2.fastq.gz (22567980233 bytes),535f0c1a26530033d85879d1edc918ab,ftp://download.big.ac.cn/gsa/CRA012590/CRR875569/CRR875569_r2.fastq.gz,,,,,,,,,,,,,
25,CRR875570,Altria-4,PRJCA019636,CRX791109,fastq,CRR875570_f1.fastq.gz (124215370971 bytes),3bf1471b6436901200e6a525823afe42,ftp://download.big.ac.cn/gsa/CRA012590/CRR875570/CRR875570_f1.fastq.gz,CRR875570_r2.fastq.gz (130945153399 bytes),094bfbcb0ad512aeb881f5cbbe6d2945,ftp://download.big.ac.cn/gsa/CRA012590/CRR875570/CRR875570_r2.fastq.gz,,,,,,,,,,,,,
26,CRR875582,Avocet-1,PRJCA019636,CRX791110,fastq,CRR875582_f1.fastq.gz (65326162379 bytes),f935fba3054076774c8abf413109a357,ftp://download.big.ac.cn/gsa/CRA012590/CRR875582/CRR875582_f1.fastq.gz,CRR875582_r2.fastq.gz (69626657238 bytes),c0130058cad53e8a0b9c4ea093d43996,ftp://download.big.ac.cn/gsa/CRA012590/CRR875582/CRR875582_r2.fastq.gz,,,,,,,,,,,,,
27,CRR875583,Avocet-2,PRJCA019636,CRX791110,fastq,CRR875583_f1.fastq.gz (21891010087 bytes),4304b77371d81854e05f3c1f3ff924cb,ftp://download.big.ac.cn/gsa/CRA012590/CRR875583/CRR875583_f1.fastq.gz,CRR875583_r2.fastq.gz (21272844210 bytes),5aa6c24ae3aed7af080ac997cc0ba1ae,ftp://download.big.ac.cn/gsa/CRA012590/CRR875583/CRR875583_r2.fastq.gz,,,,,,,,,,,,,
28,CRR875584,Avocet-3,PRJCA019636,CRX791110,fastq,CRR875584_f1.fastq.gz (70434870533 bytes),e94137588696b66e5d9ac6be166ca60c,ftp://download.big.ac.cn/gsa/CRA012590/CRR875584/CRR875584_f1.fastq.gz,CRR875584_r2.fastq.gz (74874034248 bytes),6a6b779ba877e4163efafbc88c45bda9,ftp://download.big.ac.cn/gsa/CRA012590/CRR875584/CRR875584_r2.fastq.gz,,,,,,,,,,,,,
29,CRR875585,Avocet-4,PRJCA019636,CRX791110,fastq,CRR875585_f1.fastq.gz (24387662584 bytes),4216859871da47137eb7b69e17fca081,ftp://download.big.ac.cn/gsa/CRA012590/CRR875585/CRR875585_f1.fastq.gz,CRR875585_r2.fastq.gz (23646921942 bytes),b30a61a46bbc3434070e038e0f795cec,ftp://download.big.ac.cn/gsa/CRA012590/CRR875585/CRR875585_r2.fastq.gz,,,,,,,,,,,,,
30,CRR875586,Aztec-1,PRJCA019636,CRX791111,fastq,CRR875586_f1.fastq.gz (50550968853 bytes),3caadd4130334a2d476ae2d0f90db651,ftp://download.big.ac.cn/gsa/CRA012590/CRR875586/CRR875586_f1.fastq.gz,CRR875586_r2.fastq.gz (52312924896 bytes),04938f34995170efd9e18916925dd43a,ftp://download.big.ac.cn/gsa/CRA012590/CRR875586/CRR875586_r2.fastq.gz,,,,,,,,,,,,,
31,CRR875587,Aztec-2,PRJCA019636,CRX791111,fastq,CRR875587_f1.fastq.gz (38924929064 bytes),5b073f049a09dfce94eb59a6f59b22df,ftp://download.big.ac.cn/gsa/CRA012590/CRR875587/CRR875587_f1.fastq.gz,CRR875587_r2.fastq.gz (40136742341 bytes),26edea25041070980553038b52259e7b,ftp://download.big.ac.cn/gsa/CRA012590/CRR875587/CRR875587_r2.fastq.gz,,,,,,,,,,,,,
32,CRR875588,Banco-1,PRJCA019636,CRX791112,fastq,CRR875588_f1.fastq.gz (122435971307 bytes),fd4959a00f67864c43bcb0621e352097,ftp://download.big.ac.cn/gsa/CRA012590/CRR875588/CRR875588_f1.fastq.gz,CRR875588_r2.fastq.gz (118607990121 bytes),b8f42746dbc280f6df3f42fc4883e099,ftp://download.big.ac.cn/gsa/CRA012590/CRR875588/CRR875588_r2.fastq.gz,,,,,,,,,,,,,
33,CRR875589,Banco-2,PRJCA019636,CRX791112,fastq,CRR875589_f1.fastq.gz (38184075368 bytes),48aec48f87be79dcbeeb7c9272894d99,ftp://download.big.ac.cn/gsa/CRA012590/CRR875589/CRR875589_f1.fastq.gz,CRR875589_r2.fastq.gz (36896522280 bytes),aedf28a7742b852241e421644fd16128,ftp://download.big.ac.cn/gsa/CRA012590/CRR875589/CRR875589_r2.fastq.gz,,,,,,,,,,,,,
34,CRR875590,Bandit-1,PRJCA019636,CRX791113,fastq,CRR875590_f1.fastq.gz (96166679607 bytes),ab278a2a74f8b74a7d0566af8d079b2c,ftp://download.big.ac.cn/gsa/CRA012590/CRR875590/CRR875590_f1.fastq.gz,CRR875590_r2.fastq.gz (92752579961 bytes),f2ef6b76da730ab4a1dea156faae211a,ftp://download.big.ac.cn/gsa/CRA012590/CRR875590/CRR875590_r2.fastq.gz,,,,,,,,,,,,,
35,CRR875591,Bandit-2,PRJCA019636,CRX791113,fastq,CRR875591_f1.fastq.gz (28890680952 bytes),a688113190fd6f077a88d230dfa5c62d,ftp://download.big.ac.cn/gsa/CRA012590/CRR875591/CRR875591_f1.fastq.gz,CRR875591_r2.fastq.gz (27943956584 bytes),7bba6cb9b1bc458af218236f105d5233,ftp://download.big.ac.cn/gsa/CRA012590/CRR875591/CRR875591_r2.fastq.gz,,,,,,,,,,,,,
36,CRR875592,Banner-1,PRJCA019636,CRX791114,fastq,CRR875592_f1.fastq.gz (89353715728 bytes),79203462ff4287cd0031882ad1530468,ftp://download.big.ac.cn/gsa/CRA012590/CRR875592/CRR875592_f1.fastq.gz,CRR875592_r2.fastq.gz (86271348761 bytes),a73d94e020277293a08dabf1282ac2b7,ftp://download.big.ac.cn/gsa/CRA012590/CRR875592/CRR875592_r2.fastq.gz,,,,,,,,,,,,,
37,CRR875593,Banner-2,PRJCA019636,CRX791114,fastq,CRR875593_f1.fastq.gz (59168062606 bytes),fd08b3455e4c890151999f8fb90bdb10,ftp://download.big.ac.cn/gsa/CRA012590/CRR875593/CRR875593_f1.fastq.gz,CRR875593_r2.fastq.gz (56774427074 bytes),3565e7a4d9c51861d55ddb1635246261,ftp://download.big.ac.cn/gsa/CRA012590/CRR875593/CRR875593_r2.fastq.gz,,,,,,,,,,,,,
38,CRR875594,Beauchamp-1,PRJCA019636,CRX791115,fastq,CRR875594_f1.fastq.gz (55407114788 bytes),8225cb27ad337f47707d1a46fc1e4a07,ftp://download.big.ac.cn/gsa/CRA012590/CRR875594/CRR875594_f1.fastq.gz,CRR875594_r2.fastq.gz (53518354023 bytes),f84cedfa264a334875146dbac1f9f073,ftp://download.big.ac.cn/gsa/CRA012590/CRR875594/CRR875594_r2.fastq.gz,,,,,,,,,,,,,
39,CRR875595,Beauchamp-2,PRJCA019636,CRX791115,fastq,CRR875595_f1.fastq.gz (69855303942 bytes),b001feb362458dbf26b27054623ddca2,ftp://download.big.ac.cn/gsa/CRA012590/CRR875595/CRR875595_f1.fastq.gz,CRR875595_r2.fastq.gz (67577786662 bytes),a1b5830053038212f72fb9ea05528600,ftp://download.big.ac.cn/gsa/CRA012590/CRR875595/CRR875595_r2.fastq.gz,,,,,,,,,,,,,
40,CRR875604,Bersee-1,PRJCA019636,CRX791116,fastq,CRR875604_f1.fastq.gz (47653354517 bytes),358f600d31bddb09d144505a83b5b930,ftp://download.big.ac.cn/gsa/CRA012590/CRR875604/CRR875604_f1.fastq.gz,CRR875604_r2.fastq.gz (44730209745 bytes),b98574b96fd3685956278d85fcfcaf49,ftp://download.big.ac.cn/gsa/CRA012590/CRR875604/CRR875604_r2.fastq.gz,,,,,,,,,,,,,
