IID	TN_Shenzhen_20220308_Natural
WATDE0730	179.5
WATDE0732	166
WATDE0735	NA
WATDE0736	90
WATDE0737	77
WATDE0738	NA
WATDE0739	90
WATDE0740	NA
WATDE0742	NA
WATDE0743	246
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	162
WATDE0750	NA
WATDE0751	141
WATDE0752	NA
WATDE0754	165.5
WATDE0755	195
WATDE0756	113.5
WATDE0758	146.5
WATDE0759	147
WATDE0760	NA
WATDE0761	NA
WATDE0763	94
WATDE0765	173
WATDE0766	169
WATDE0768	NA
WATDE0769	82
WATDE0770	109
WATDE0771	NA
WATDE0773	NA
WATDE0774	194.5
WATDE0775	174
WATDE0776	209.5
WATDE0777	233.5
WATDE0779	NA
WATDE0780	136
WATDE0781	128
WATDE0782	167.5
WATDE0783	220.5
WATDE0785	52
WATDE0786	NA
WATDE0788	NA
WATDE0789	112
WATDE0790	92
WATDE0791	109
WATDE0793	162
WATDE0794	NA
WATDE0795	NA
WATDE0797	100
WATDE0798	NA
WATDE0800	99
WATDE0802	NA
WATDE0803	172.5
WATDE0804	NA
WATDE0805	142
WATDE0807	NA
WATDE0808	165
WATDE0810	NA
WATDE0811	127
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	212
WATDE0817	198
WATDE0818	NA
WATDE0819	230.5
WATDE0821	NA
WATDE0823	123
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	60
WATDE0831	125
WATDE0833	173
WATDE0835	173
WATDE0836	157.5
WATDE0837	335
WATDE0839	197.5
WATDE0840	133
WATDE0841	184
WATDE0843	220.5
WATDE0845	105.5
WATDE0846	95
WATDE0848	216.5
WATDE0850	NA
WATDE0851	171
WATDE0852	188
WATDE0854	NA
WATDE0856	231.5
WATDE0857	103.5
WATDE0859	109
WATDE0861	127
WATDE0862	90.5
WATDE0863	NA
WATDE0864	NA
WATDE0865	154
WATDE0869	186
WATDE0871	109.5
WATDE0872	75
WATDE0873	71
WATDE0874	102.5
WATDE0875	112.5
WATDE0876	173.5
WATDE0877	NA
WATDE0878	132
WATDE0879	166.5
WATDE0880	180
WATDE0881	136.5
WATDE0882	123
WATDE0883	159.5
WATDE0884	NA
WATDE0887	92.5
WATDE0888	74
WATDE0889	NA
WATDE0890	131
WATDE0892	75.5
WATDE0894	NA
WATDE0895	185
WATDE0896	145.5
WATDE0898	NA
WATDE0899	87
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	NA
WATDE0905	NA
WATDE0906	96.5
WATDE0907	NA
WATDE0909	NA
WATDE0910	NA
WATDE0911	NA
WATDE0912	122
WATDE0913	NA
WATDE0914	NA
WATDE0915	229
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	NA
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	NA
WATDE0926	NA
WATDE0927	NA
WATDE0928	228.5
WATDE0929	200
WATDE0930	131.5
WATDE0932	104
WATDE0933	144.5
WATDE0934	104
WATDE0935	105
WATDE0937	80
WATDE0938	121.5
WATDE0939	NA
WATDE0941	146.5
WATDE0944	55.5
WATDE0945	160.5
WATDE0947	87.5
WATDE0950	NA
WATDE0951	193.5
WATDE0952	141.5
WATDE0953	NA
WATDE0954	172
WATDE0955	NA
WATDE0957	163
WATDE0958	NA
WATDE0961	128
WATDE0963	143.5
WATDE0965	NA
WATDE0966	126.5
WATDE0967	182.5
WATDE0969	NA
WATDE0970	103.5
WATDE0971	186
WATDE0973	NA
WATDE0974	106.5
WATDE0975	NA
WATDE0977	80
WATDE0978	99.5
WATDE0979	99
WATDE0981	177
WATDE0982	NA
WATDE0983	149
WATDE0984	76.5
WATDE0986	NA
WATDE0987	110
WATDE0989	135
WATDE0991	79
WATDE0993	151.5
WATDE0995	113
WATDE0996	149.5
WATDE0997	158.5
WATDE0999	NA
WATDE1001	NA
WATDE1002	213.5
WATDE1003	NA
WATDE1004	82
WATDE1005	82.5
WATDE1008	219.5
WATDE1009	100
WATDE1010	128
WATDE1012	101
WATDE1014	190
WATDE1016	113
WATDE1017	NA
WATDE1018	105
WATDE1019	95
WATDE1021	163.5
WATDE1023	166
WATDE1025	221.5
WATDE1026	81.5
WATDE1027	NA
WATDE1029	157
WATDE1031	90.5
WATDE1032	152.5
WATDE1034	NA
WATDE1035	193.5
WATDE1037	187.5
WATDE1038	NA
WATDE1040	155.5
WATDE1042	NA
WATDE1044	100.5
WATDE1046	NA
WATDE1048	143
WATDE1049	65.5
WATDE1050	94.5
WATDE1051	120
WATDE1052	99
WATDE1053	NA
WATDE1055	67
WATDE1056	57.5
WATDE1058	92
WATDE1060	156
WATDE1061	204
WATDE1062	88
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
