IID	LeafWid_Shenzhen_2022_Second_Natural
WATDE0408	1.83
WATDE0409	1.23
WATDE0410	NA
WATDE0411	1.67
WATDE0412	1.30
WATDE0413	1.30
WATDE0415	1.23
WATDE0417	1.30
WATDE0419	1.20
WATDE0420	1.00
WATDE0421	1.00
WATDE0422	1.20
WATDE0423	1.27
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	1.20
WATDE0428	1.17
WATDE0429	1.20
WATDE0430	1.43
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	1.33
WATDE0435	1.13
WATDE0436	0.87
WATDE0438	NA
WATDE0439	1.07
WATDE0440	0.97
WATDE0441	1.27
WATDE0442	1.23
WATDE0443	1.63
WATDE0444	1.47
WATDE0445	1.33
WATDE0446	1.37
WATDE0448	1.00
WATDE0449	1.73
WATDE0450	1.57
WATDE0451	NA
WATDE0452	1.47
WATDE0453	1.17
WATDE0454	1.70
WATDE0455	1.77
WATDE0456	1.43
WATDE0457	NA
WATDE0460	0.90
WATDE0461	1.43
WATDE0462	1.40
WATDE0463	1.20
WATDE0465	NA
WATDE0467	NA
WATDE0469	1.30
WATDE0471	1.20
WATDE0474	1.70
WATDE0477	0.93
WATDE0479	1.57
WATDE0481	1.53
WATDE0482	1.33
WATDE0484	NA
WATDE0486	1.07
WATDE0487	1.47
WATDE0488	1.63
WATDE0489	1.20
WATDE0490	1.20
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	1.50
WATDE0510	1.30
WATDE0511	NA
WATDE0512	NA
WATDE0513	1.20
WATDE0515	1.00
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	1.23
WATDE0521	1.47
WATDE0522	1.57
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	1.10
WATDE0534	1.20
WATDE0536	NA
WATDE0537	1.10
WATDE0538	NA
WATDE0539	1.17
WATDE0540	NA
WATDE0541	1.53
WATDE0542	NA
WATDE0543	NA
WATDE0544	1.13
WATDE0546	NA
WATDE0547	1.07
WATDE0549	1.33
WATDE0550	NA
WATDE0552	1.67
WATDE0553	1.13
WATDE0555	1.33
WATDE0556	1.83
WATDE0557	0.80
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	0.87
WATDE0563	1.17
WATDE0565	1.23
WATDE0566	NA
WATDE0567	0.97
WATDE0568	1.13
WATDE0569	1.70
WATDE0570	NA
WATDE0571	1.40
WATDE0572	1.07
WATDE0574	1.77
WATDE0577	0.93
WATDE0578	NA
WATDE0579	1.20
WATDE0581	1.23
WATDE0582	NA
WATDE0585	1.77
WATDE0586	NA
WATDE0588	1.17
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	0.80
WATDE0596	0.97
WATDE0597	1.57
WATDE0598	1.30
WATDE0599	NA
WATDE0600	1.20
WATDE0601	NA
WATDE0602	1.30
WATDE0603	1.27
WATDE0604	1.77
WATDE0606	1.47
WATDE0608	1.13
WATDE0609	1.00
WATDE0610	1.10
WATDE0611	1.50
WATDE0613	1.10
WATDE0614	1.20
WATDE0615	1.60
WATDE0616	1.77
WATDE0617	1.70
WATDE0618	NA
WATDE0620	1.20
WATDE0622	NA
WATDE0624	NA
WATDE0626	1.97
WATDE0627	NA
WATDE0628	1.03
WATDE0630	1.13
WATDE0631	0.80
WATDE0632	NA
WATDE0634	1.10
WATDE0635	1.67
WATDE0636	NA
WATDE0638	NA
WATDE0639	1.57
WATDE0640	1.73
WATDE0641	NA
WATDE0643	1.10
WATDE0644	NA
WATDE0646	1.60
WATDE0648	1.20
WATDE0649	2.10
WATDE0650	1.37
WATDE0651	1.03
WATDE0652	1.20
WATDE0653	1.40
WATDE0655	1.50
WATDE0657	1.70
WATDE0658	NA
WATDE0659	1.23
WATDE0660	NA
WATDE0661	1.57
WATDE0662	1.20
WATDE0663	1.00
