IID	SplN_Kaifeng-GH_2020_Natural
WATDE0596	NA
WATDE0597	25.00
WATDE0598	NA
WATDE0599	NA
WATDE0600	26.00
WATDE0601	NA
WATDE0602	NA
WATDE0603	22.00
WATDE0604	20.00
WATDE0606	NA
WATDE0608	NA
WATDE0609	NA
WATDE0610	24.00
WATDE0611	21.50
WATDE0613	20.20
WATDE0614	18.00
WATDE0615	22.00
WATDE0616	23.44
WATDE0617	27.33
WATDE0618	23.33
WATDE0620	NA
WATDE0622	24.33
WATDE0624	NA
WATDE0626	21.83
WATDE0627	NA
WATDE0628	22.00
WATDE0630	26.00
WATDE0631	20.00
WATDE0632	NA
WATDE0634	NA
WATDE0635	26.67
WATDE0636	21.33
WATDE0638	18.00
WATDE0639	NA
WATDE0640	30.00
WATDE0641	NA
WATDE0643	23.00
WATDE0644	NA
WATDE0646	21.50
WATDE0648	22.00
WATDE0649	16.00
WATDE0650	21.33
WATDE0651	17.00
WATDE0652	NA
WATDE0653	19.00
WATDE0655	23.00
WATDE0657	21.00
WATDE0658	NA
WATDE0659	19.00
WATDE0660	21.25
WATDE0661	19.67
WATDE0662	NA
WATDE0663	23.00
WATDE0664	NA
WATDE0665	21.00
WATDE0666	25.67
WATDE0667	23.33
WATDE0669	NA
WATDE0670	24.67
WATDE0671	NA
WATDE0672	21.33
WATDE0674	21.25
WATDE0675	NA
WATDE0676	NA
WATDE0678	28.00
WATDE0679	21.56
WATDE0680	18.00
WATDE0682	20.00
WATDE0683	19.00
WATDE0685	20.00
WATDE0686	22.00
WATDE0687	22.67
WATDE0688	NA
WATDE0689	23.67
WATDE0691	15.00
WATDE0693	23.40
WATDE0694	21.00
WATDE0695	21.00
WATDE0697	22.56
WATDE0699	NA
WATDE0700	19.00
WATDE0701	NA
WATDE0702	24.00
WATDE0703	NA
WATDE0704	21.00
WATDE0705	21.00
WATDE0706	24.00
WATDE0707	22.00
WATDE0709	23.00
WATDE0710	20.00
WATDE0712	18.00
WATDE0713	25.00
WATDE0716	NA
WATDE0718	23.00
WATDE0720	NA
WATDE0721	21.33
WATDE0723	19.00
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	19.00
WATDE0729	19.00
WATDE0730	NA
WATDE0732	21.00
WATDE0735	15.89
WATDE0736	23.00
WATDE0737	20.00
WATDE0738	19.00
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	24.00
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	18.00
WATDE0752	NA
WATDE0754	20.00
WATDE0755	21.00
WATDE0756	17.00
WATDE0758	21.00
WATDE0759	22.00
WATDE0760	21.00
WATDE0761	17.89
WATDE0763	22.00
WATDE0765	19.33
WATDE0766	24.00
WATDE0768	17.50
WATDE0769	22.13
WATDE0770	20.00
WATDE0771	18.00
WATDE0773	18.00
WATDE0774	NA
WATDE0775	NA
WATDE0776	21.00
WATDE0777	18.00
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	21.33
WATDE0783	25.00
WATDE0785	18.44
WATDE0786	NA
WATDE0788	21.00
WATDE0789	19.71
WATDE0790	18.67
