IID	GSurfA_Quzhou_2022_Natural
WATDE0597	13.56
WATDE0598	14.76
WATDE0599	17.60
WATDE0600	16.40
WATDE0601	NA
WATDE0602	15.82
WATDE0603	15.52
WATDE0604	17.76
WATDE0606	19.12
WATDE0608	15.63
WATDE0609	16.43
WATDE0610	15.79
WATDE0611	15.93
WATDE0613	16.62
WATDE0614	16.61
WATDE0615	15.80
WATDE0616	15.21
WATDE0617	13.45
WATDE0618	16.60
WATDE0620	17.79
WATDE0622	16.35
WATDE0624	NA
WATDE0626	12.78
WATDE0627	17.60
WATDE0628	15.51
WATDE0630	16.13
WATDE0631	17.04
WATDE0632	17.48
WATDE0634	15.23
WATDE0635	14.70
WATDE0636	16.29
WATDE0638	16.16
WATDE0639	18.73
WATDE0640	17.13
WATDE0641	NA
WATDE0643	15.97
WATDE0644	17.06
WATDE0646	16.75
WATDE0648	18.02
WATDE0649	14.88
WATDE0650	16.59
WATDE0651	16.02
WATDE0652	17.45
WATDE0653	NA
WATDE0655	16.78
WATDE0657	17.57
WATDE0658	NA
WATDE0659	15.15
WATDE0660	15.02
WATDE0661	16.80
WATDE0662	16.86
WATDE0663	16.73
WATDE0664	17.73
WATDE0665	18.17
WATDE0666	14.33
WATDE0667	16.63
WATDE0669	17.06
WATDE0670	16.18
WATDE0671	16.24
WATDE0672	15.96
WATDE0674	18.66
WATDE0675	19.69
WATDE0676	18.23
WATDE0678	14.37
WATDE0679	14.50
WATDE0680	17.44
WATDE0682	16.24
WATDE0683	16.80
WATDE0685	17.84
WATDE0686	15.96
WATDE0687	15.12
WATDE0688	16.28
WATDE0689	17.62
WATDE0691	12.58
WATDE0693	16.01
WATDE0694	17.02
WATDE0695	16.19
WATDE0697	16.28
WATDE0699	NA
WATDE0700	16.42
WATDE0701	18.08
WATDE0702	17.80
WATDE0703	17.87
WATDE0704	13.81
WATDE0705	17.08
WATDE0706	NA
WATDE0707	17.78
WATDE0709	14.04
WATDE0710	18.21
WATDE0712	16.68
WATDE0713	15.88
WATDE0716	17.41
WATDE0718	16.25
WATDE0720	16.15
WATDE0721	14.09
WATDE0723	15.84
WATDE0725	14.96
WATDE0726	21.24
WATDE0727	16.31
WATDE0728	18.46
WATDE0729	19.17
WATDE0730	NA
WATDE0732	17.22
WATDE0735	16.03
WATDE0736	15.81
WATDE0737	16.15
WATDE0738	14.47
WATDE0739	15.36
WATDE0740	NA
WATDE0742	19.20
WATDE0743	17.83
WATDE0744	17.49
WATDE0745	17.12
WATDE0747	16.84
WATDE0748	22.28
WATDE0749	18.91
WATDE0750	20.24
WATDE0751	17.59
WATDE0752	19.07
WATDE0754	13.68
WATDE0755	12.75
WATDE0756	17.71
WATDE0758	13.89
WATDE0759	14.54
WATDE0760	16.70
WATDE0761	15.54
WATDE0763	16.63
WATDE0765	18.27
WATDE0766	15.61
WATDE0768	17.40
WATDE0769	17.27
WATDE0770	19.93
WATDE0771	19.30
WATDE0773	16.93
WATDE0774	14.72
WATDE0775	17.57
WATDE0776	12.46
WATDE0777	NA
WATDE0779	16.12
WATDE0780	16.84
WATDE0781	13.67
WATDE0782	14.94
WATDE0783	16.74
WATDE0785	15.77
WATDE0786	19.03
WATDE0788	16.58
WATDE0789	14.62
WATDE0790	13.88
WATDE0791	18.18
WATDE0793	NA
WATDE0794	15.91
WATDE0795	17.15
WATDE0797	19.35
WATDE0798	17.88
WATDE0800	12.98
WATDE0802	17.73
WATDE0803	17.67
WATDE0804	14.81
WATDE0805	19.12
WATDE0807	16.84
WATDE0808	18.93
WATDE0810	17.69
WATDE0811	17.57
WATDE0812	15.67
WATDE0814	16.02
WATDE0815	16.07
WATDE0816	16.46
WATDE0817	18.11
WATDE0818	17.43
WATDE0819	15.98
WATDE0821	NA
WATDE0823	16.90
WATDE0825	18.56
WATDE0826	NA
WATDE0827	17.22
WATDE0828	15.55
WATDE0830	16.69
WATDE0831	16.40
WATDE0833	15.75
WATDE0835	16.61
WATDE0836	16.71
WATDE0837	16.21
WATDE0839	16.34
WATDE0840	17.29
WATDE0841	15.72
WATDE0843	16.40
WATDE0845	14.97
WATDE0846	15.98
WATDE0848	15.36
WATDE0850	15.72
WATDE0851	15.92
WATDE0852	16.32
WATDE0854	14.42
WATDE0856	14.69
WATDE0857	18.24
WATDE0859	15.36
WATDE0861	17.43
WATDE0862	16.96
WATDE0863	15.04
WATDE0864	15.18
WATDE0865	15.68
WATDE0869	16.06
WATDE0871	13.81
WATDE0872	14.94
WATDE0873	14.90
WATDE0874	14.44
WATDE0875	15.59
WATDE0876	17.10
WATDE0877	22.66
WATDE0878	14.75
WATDE0879	15.19
WATDE0880	12.14
WATDE0881	12.91
WATDE0882	18.09
WATDE0883	17.48
WATDE0884	NA
WATDE0887	16.56
WATDE0888	18.83
WATDE0889	16.73
WATDE0890	15.07
WATDE0892	15.79
WATDE0894	17.33
WATDE0895	14.13
WATDE0896	18.12
WATDE0898	16.15
WATDE0899	20.08
WATDE0900	13.01
WATDE0901	16.57
WATDE0902	NA
WATDE0903	NA
WATDE0904	18.03
WATDE0905	17.00
WATDE0906	16.35
WATDE0907	16.84
WATDE0909	13.31
WATDE0910	12.78
WATDE0911	NA
WATDE0912	13.06
WATDE0913	13.51
WATDE0914	NA
WATDE0915	14.39
WATDE0916	12.68
WATDE0917	12.52
WATDE0918	16.12
WATDE0919	13.70
WATDE0920	15.29
WATDE0922	15.76
WATDE0923	13.81
WATDE0924	15.27
WATDE0926	16.16
WATDE0927	16.47
WATDE0928	14.55
WATDE0929	17.54
WATDE0930	15.50
WATDE0932	17.71
WATDE0933	12.79
WATDE0934	15.18
WATDE0935	14.10
WATDE0937	16.50
WATDE0938	13.98
WATDE0939	12.38
WATDE0941	14.24
WATDE0944	12.41
WATDE0945	15.27
WATDE0947	17.45
WATDE0950	14.18
WATDE0951	12.15
WATDE0952	12.13
WATDE0953	NA
WATDE0954	18.15
WATDE0955	NA
WATDE0957	13.23
WATDE0958	15.61
WATDE0961	14.67
WATDE0963	13.05
WATDE0965	13.37
WATDE0966	14.45
WATDE0967	14.47
WATDE0969	15.86
WATDE0970	NA
WATDE0971	19.25
WATDE0973	16.00
WATDE0974	18.80
WATDE0975	16.23
WATDE0977	15.31
WATDE0978	18.10
WATDE0979	18.51
WATDE0981	14.83
WATDE0982	17.31
WATDE0983	14.46
WATDE0984	15.11
WATDE0986	18.17
WATDE0987	13.11
WATDE0989	15.23
WATDE0991	16.54
WATDE0993	14.52
WATDE0995	14.25
WATDE0996	17.16
WATDE0997	14.47
WATDE0999	13.26
WATDE1001	15.16
WATDE1002	16.99
WATDE1003	11.10
WATDE1004	14.83
WATDE1005	14.62
WATDE1008	15.34
WATDE1009	13.08
WATDE1010	12.76
WATDE1012	13.69
WATDE1014	14.46
WATDE1016	12.22
WATDE1017	14.57
WATDE1018	14.23
WATDE1019	15.79
WATDE1021	12.61
WATDE1023	12.76
WATDE1025	15.59
WATDE1026	16.35
WATDE1027	14.99
WATDE1029	15.54
