IID	TVI_Shenzhen-LN_2020_Natural
WATDE0963	17.15434546
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	15.13911982
WATDE0984	17.58638508
WATDE0986	NA
WATDE0987	NA
WATDE0989	NA
WATDE0991	18.4871355
WATDE0993	22.78368903
WATDE0995	18.85156068
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	16.35601096
WATDE1003	NA
WATDE1004	21.77672113
WATDE1005	14.02100733
WATDE1008	NA
WATDE1009	24.9524025
WATDE1010	15.54650588
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	18.9392371
WATDE1023	NA
WATDE1025	NA
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	21.37244005
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	17.65204795
WATDE1038	6.338845645
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	11.47006522
WATDE1048	15.96619243
WATDE1049	12.723352
WATDE1050	26.99463321
WATDE1051	16.52749269
WATDE1052	19.71216686
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	18.74834914
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
