IID	SplN_Quzhou_2022_Natural_Fertile
WATDE0457	16.67
WATDE0460	14.33
WATDE0461	17.67
WATDE0462	16.67
WATDE0463	15.67
WATDE0465	19.67
WATDE0467	16.00
WATDE0469	18.67
WATDE0471	16.67
WATDE0474	18.67
WATDE0477	18.00
WATDE0479	18.67
WATDE0481	16.67
WATDE0482	17.00
WATDE0484	17.00
WATDE0486	18.33
WATDE0487	15.00
WATDE0488	20.67
WATDE0489	14.67
WATDE0490	18.00
WATDE0492	18.67
WATDE0494	17.67
WATDE0496	19.00
WATDE0498	19.67
WATDE0500	17.33
WATDE0501	18.67
WATDE0502	NA
WATDE0503	17.00
WATDE0504	19.33
WATDE0505	19.67
WATDE0507	NA
WATDE0509	13.00
WATDE0510	13.00
WATDE0511	19.33
WATDE0512	14.00
WATDE0513	NA
WATDE0515	NA
WATDE0516	19.33
WATDE0518	14.33
WATDE0519	15.67
WATDE0520	NA
WATDE0521	14.33
WATDE0522	13.67
WATDE0524	17.67
WATDE0527	NA
WATDE0529	NA
WATDE0531	15.00
WATDE0533	16.00
WATDE0534	NA
WATDE0536	17.00
WATDE0537	20.33
WATDE0538	13.33
WATDE0539	18.67
WATDE0540	15.33
WATDE0541	NA
WATDE0542	NA
WATDE0543	18.00
WATDE0544	20.00
WATDE0546	NA
WATDE0547	14.67
WATDE0549	19.67
WATDE0550	18.00
WATDE0552	16.33
WATDE0553	14.67
WATDE0555	17.00
WATDE0556	13.67
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	13.17
WATDE0563	15.33
WATDE0565	13.67
WATDE0566	13.33
WATDE0567	15.33
WATDE0568	16.67
WATDE0569	16.00
WATDE0570	13.00
WATDE0571	15.67
WATDE0572	17.33
WATDE0574	16.33
WATDE0577	14.33
WATDE0578	15.33
WATDE0579	14.33
WATDE0581	17.33
WATDE0582	19.33
WATDE0585	17.33
WATDE0586	18.67
WATDE0588	15.67
WATDE0589	18.33
WATDE0591	16.67
WATDE0592	NA
WATDE0594	14.33
WATDE0596	14.33
WATDE0597	17.67
WATDE0598	16.67
WATDE0599	17.67
WATDE0600	12.00
WATDE0601	NA
WATDE0602	16.33
WATDE0603	18.33
WATDE0604	16.67
WATDE0606	17.00
WATDE0608	19.67
WATDE0609	19.67
WATDE0610	19.00
WATDE0611	16.00
WATDE0613	15.67
WATDE0614	13.67
WATDE0615	15.33
WATDE0616	16.00
WATDE0617	18.00
WATDE0618	17.67
WATDE0620	14.50
WATDE0622	18.67
WATDE0624	NA
WATDE0626	18.67
WATDE0627	16.67
WATDE0628	15.67
WATDE0630	NA
WATDE0631	15.33
WATDE0632	17.33
WATDE0634	14.67
WATDE0635	19.00
WATDE0636	16.33
WATDE0638	15.00
WATDE0639	16.67
WATDE0640	18.67
WATDE0641	NA
WATDE0643	17.67
WATDE0644	NA
WATDE0646	NA
WATDE0648	15.67
WATDE0649	16.00
WATDE0650	17.67
WATDE0651	17.33
WATDE0652	14.33
WATDE0653	NA
WATDE0655	16.33
WATDE0657	16.00
WATDE0658	16.00
WATDE0659	16.00
WATDE0660	18.00
WATDE0661	NA
WATDE0662	16.33
WATDE0663	16.33
WATDE0664	17.33
WATDE0665	14.33
WATDE0666	NA
WATDE0667	17.33
WATDE0669	14.67
WATDE0670	17.00
WATDE0671	17.00
WATDE0672	14.33
WATDE0674	18.33
WATDE0675	19.67
WATDE0676	17.67
WATDE0678	20.67
WATDE0679	NA
WATDE0680	14.00
WATDE0682	14.33
WATDE0683	15.33
WATDE0685	NA
WATDE0686	18.00
WATDE0687	17.33
WATDE0688	18.00
WATDE0689	17.00
WATDE0691	15.67
WATDE0693	20.67
WATDE0694	16.33
WATDE0695	16.33
WATDE0697	20.00
WATDE0699	NA
WATDE0700	NA
WATDE0701	14.67
WATDE0702	15.33
WATDE0703	15.67
WATDE0704	17.67
WATDE0705	16.33
WATDE0706	16.33
WATDE0707	18.33
WATDE0709	17.00
WATDE0710	14.33
WATDE0712	14.00
WATDE0713	22.00
WATDE0716	15.00
WATDE0718	NA
WATDE0720	NA
WATDE0721	12.33
WATDE0723	14.33
WATDE0725	17.00
WATDE0726	17.00
WATDE0727	14.00
WATDE0728	13.67
WATDE0729	14.67
WATDE0730	16.33
WATDE0732	19.33
WATDE0735	15.00
WATDE0736	15.33
WATDE0737	17.67
WATDE0738	16.00
WATDE0739	17.00
WATDE0740	NA
WATDE0742	15.67
WATDE0743	9.67
WATDE0744	NA
WATDE0745	18.33
WATDE0747	15.00
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	15.33
WATDE0752	16.67
WATDE0754	18.67
WATDE0755	16.33
WATDE0756	14.33
WATDE0758	NA
WATDE0759	NA
WATDE0760	13.00
WATDE0761	15.67
WATDE0763	NA
WATDE0765	14.67
WATDE0766	13.33
WATDE0768	15.33
WATDE0769	18.67
WATDE0770	22.00
WATDE0771	17.00
WATDE0773	19.00
WATDE0774	13.00
WATDE0775	15.67
WATDE0776	21.33
WATDE0777	13.67
WATDE0779	NA
WATDE0780	13.33
WATDE0781	18.33
WATDE0782	17.00
WATDE0783	16.33
WATDE0785	16.67
WATDE0786	13.33
WATDE0788	14.00
WATDE0789	16.67
WATDE0790	15.33
WATDE0791	18.67
WATDE0793	11.67
WATDE0794	16.00
WATDE0795	14.67
WATDE0797	16.33
WATDE0798	NA
WATDE0800	15.00
WATDE0802	15.67
WATDE0803	15.67
WATDE0804	16.67
WATDE0805	NA
WATDE0807	15.67
WATDE0808	15.67
WATDE0810	16.00
WATDE0811	NA
WATDE0812	12.67
WATDE0814	15.00
WATDE0815	16.00
WATDE0816	15.67
WATDE0817	NA
WATDE0818	17.33
WATDE0819	NA
WATDE0821	NA
WATDE0823	17.67
WATDE0825	NA
WATDE0826	18.67
WATDE0827	17.00
WATDE0828	15.00
WATDE0830	17.67
WATDE0831	15.33
WATDE0833	17.00
WATDE0835	18.67
WATDE0836	15.00
WATDE0837	18.33
WATDE0839	13.67
WATDE0840	13.33
WATDE0841	14.67
WATDE0843	15.67
WATDE0845	17.33
WATDE0846	NA
WATDE0848	NA
WATDE0850	18.33
WATDE0851	16.33
WATDE0852	15.00
WATDE0854	14.67
WATDE0856	NA
WATDE0857	14.00
WATDE0859	17.33
WATDE0861	15.33
WATDE0862	16.33
WATDE0863	16.00
WATDE0864	18.00
WATDE0865	16.33
WATDE0869	16.33
WATDE0871	19.67
WATDE0872	20.00
WATDE0873	19.33
WATDE0874	19.33
WATDE0875	14.67
WATDE0876	15.00
WATDE0877	19.33
WATDE0878	16.00
WATDE0879	14.67
WATDE0880	17.00
WATDE0881	13.67
WATDE0882	16.67
WATDE0883	16.67
WATDE0884	19.33
WATDE0887	NA
WATDE0888	15.67
WATDE0889	12.67
WATDE0890	20.33
WATDE0892	15.33
WATDE0894	16.00
WATDE0895	17.67
WATDE0896	NA
WATDE0898	NA
WATDE0899	16.67
WATDE0900	18.67
WATDE0901	13.00
WATDE0902	18.33
WATDE0903	NA
WATDE0904	14.33
WATDE0905	16.67
WATDE0906	14.33
WATDE0907	14.33
WATDE0909	16.67
WATDE0910	19.00
WATDE0911	NA
WATDE0912	20.67
WATDE0913	18.33
WATDE0914	NA
WATDE0915	17.50
WATDE0916	17.33
WATDE0917	17.33
WATDE0918	21.67
WATDE0919	NA
WATDE0920	17.33
WATDE0922	15.67
WATDE0923	14.67
WATDE0924	19.00
WATDE0926	17.67
WATDE0927	17.67
WATDE0928	17.00
WATDE0929	16.33
WATDE0930	16.67
WATDE0932	15.00
WATDE0933	18.33
WATDE0934	20.67
WATDE0935	18.67
WATDE0937	15.00
WATDE0938	15.00
WATDE0939	22.67
WATDE0941	16.33
WATDE0944	19.67
WATDE0945	22.00
WATDE0947	19.00
WATDE0950	17.33
WATDE0951	19.00
WATDE0952	19.33
WATDE0953	15.33
WATDE0954	14.33
WATDE0955	NA
WATDE0957	18.33
WATDE0958	15.33
WATDE0961	18.33
WATDE0963	20.67
WATDE0965	NA
WATDE0966	19.67
WATDE0967	18.33
WATDE0969	18.67
WATDE0970	NA
WATDE0971	NA
WATDE0973	18.67
WATDE0974	18.33
WATDE0975	NA
WATDE0977	14.00
WATDE0978	15.67
WATDE0979	16.00
WATDE0981	16.67
WATDE0982	NA
WATDE0983	17.00
WATDE0984	18.67
WATDE0986	16.33
WATDE0987	17.50
WATDE0989	16.33
WATDE0991	17.67
WATDE0993	17.67
WATDE0995	18.33
WATDE0996	NA
WATDE0997	17.67
WATDE0999	15.67
WATDE1001	21.33
WATDE1002	16.33
WATDE1003	16.33
WATDE1004	19.67
WATDE1005	19.33
WATDE1008	16.67
WATDE1009	20.00
WATDE1010	20.67
WATDE1012	18.67
WATDE1014	15.00
WATDE1016	16.00
WATDE1017	22.33
WATDE1018	NA
WATDE1019	22.67
WATDE1021	19.67
WATDE1023	20.67
WATDE1025	18.33
WATDE1026	16.33
WATDE1027	20.00
WATDE1029	15.67
WATDE1031	18.67
WATDE1032	17.00
WATDE1034	18.00
WATDE1035	16.67
WATDE1037	20.00
WATDE1038	17.00
WATDE1040	16.00
WATDE1042	NA
WATDE1044	17.33
WATDE1046	NA
WATDE1048	16.67
WATDE1049	18.67
WATDE1050	16.67
WATDE1051	18.00
WATDE1052	21.67
WATDE1053	17.67
WATDE1055	16.00
WATDE1056	23.33
WATDE1058	19.33
WATDE1060	19.33
WATDE1061	18.33
WATDE1062	18.67
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	22.33
Wyalkatatchen	NA
Xi19	25.00
Zemon	21.67
Zentos	NA
ability	24.33
avocet	20.67
blitz	22.00
cadenza	NA
captor	25.00
cimcog32	NA
david	19.33
denver	26.67
eagle	25.00
festival	20.33
fidel	19.67
fielder	NA
holster	25.00
lancer	NA
landmark	NA
mace	NA
malacca	22.67
mendel	26.67
mercia	23.00
mina	23.67
paragon	NA
robigus	NA
solstice	23.00
stanley	NA
torch	NA
veritas	22.33
wasp	20.67
weebil	NA
