IID	GrnSpk_Shenzhen_2022_Natural
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	34.00
WATDE0563	17.00
WATDE0565	35.00
WATDE0566	NA
WATDE0567	30.33
WATDE0568	NA
WATDE0569	NA
WATDE0570	6.67
WATDE0571	11.67
WATDE0572	5.67
WATDE0574	35.67
WATDE0577	19.67
WATDE0578	NA
WATDE0579	16.33
WATDE0581	18.67
WATDE0582	35.67
WATDE0585	39.33
WATDE0586	NA
WATDE0588	15.67
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	22.33
WATDE0596	NA
WATDE0597	NA
WATDE0598	28.00
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	24.67
WATDE0604	45.67
WATDE0606	24.67
WATDE0608	5.33
WATDE0609	19.00
WATDE0610	NA
WATDE0611	21.33
WATDE0613	32.67
WATDE0614	23.50
WATDE0615	28.00
WATDE0616	11.33
WATDE0617	11.00
WATDE0618	NA
WATDE0620	16.00
WATDE0622	NA
WATDE0624	NA
WATDE0626	NA
WATDE0627	NA
WATDE0628	20.00
WATDE0630	17.33
WATDE0631	22.00
WATDE0632	48.67
WATDE0634	24.33
WATDE0635	30.67
WATDE0636	NA
WATDE0638	NA
WATDE0639	16.33
WATDE0640	NA
WATDE0641	NA
WATDE0643	19.33
WATDE0644	NA
WATDE0646	31.67
WATDE0648	NA
WATDE0649	10.00
WATDE0650	18.67
WATDE0651	23.33
WATDE0652	NA
WATDE0653	29.00
WATDE0655	19.67
WATDE0657	22.00
WATDE0658	17.67
WATDE0659	NA
WATDE0660	13.67
WATDE0661	24.00
WATDE0662	NA
WATDE0663	15.67
WATDE0664	NA
WATDE0665	27.33
WATDE0666	30.67
WATDE0667	16.00
WATDE0669	12.00
WATDE0670	8.33
WATDE0671	NA
WATDE0672	29.67
WATDE0674	15.33
WATDE0675	28.00
WATDE0676	8.00
WATDE0678	26.00
WATDE0679	49.33
WATDE0680	21.00
WATDE0682	36.33
WATDE0683	24.00
WATDE0685	10.00
WATDE0686	15.33
WATDE0687	19.67
WATDE0688	10.33
WATDE0689	39.67
WATDE0691	29.00
WATDE0693	6.67
WATDE0694	27.33
WATDE0695	25.00
WATDE0697	26.00
WATDE0699	NA
WATDE0700	NA
WATDE0701	9.33
WATDE0702	32.33
WATDE0703	14.00
WATDE0704	46.00
WATDE0705	24.67
WATDE0706	30.67
WATDE0707	10.00
WATDE0709	52.00
WATDE0710	NA
WATDE0712	27.33
WATDE0713	NA
WATDE0716	NA
WATDE0718	15.33
WATDE0720	15.00
WATDE0721	27.00
WATDE0723	52.67
WATDE0725	40.67
WATDE0726	15.67
WATDE0727	NA
WATDE0728	14.33
WATDE0729	32.00
WATDE0730	4.67
WATDE0732	22.33
WATDE0735	33.00
WATDE0736	42.67
WATDE0737	36.33
WATDE0738	22.33
WATDE0739	22.00
WATDE0740	NA
WATDE0742	NA
WATDE0743	14.00
WATDE0744	NA
WATDE0745	28.00
WATDE0747	NA
WATDE0748	NA
WATDE0749	25.00
WATDE0750	NA
WATDE0751	34.00
WATDE0752	18.00
WATDE0754	21.00
WATDE0755	18.00
WATDE0756	NA
WATDE0758	20.33
WATDE0759	12.67
WATDE0760	NA
WATDE0761	37.00
WATDE0763	23.33
WATDE0765	21.00
WATDE0766	21.67
WATDE0768	25.33
WATDE0769	5.00
WATDE0770	26.33
WATDE0771	29.00
WATDE0773	28.67
WATDE0774	NA
WATDE0775	28.00
WATDE0776	NA
WATDE0777	31.33
WATDE0779	NA
WATDE0780	8.00
WATDE0781	NA
WATDE0782	23.00
WATDE0783	16.33
WATDE0785	NA
WATDE0786	NA
WATDE0788	13.67
WATDE0789	23.33
WATDE0790	24.00
WATDE0791	NA
WATDE0793	16.00
WATDE0794	7.33
WATDE0795	26.33
