IID	SplN_Shenzhen_2022_Natural_Sterility-All
WATDE0453	3.00
WATDE0454	3.67
WATDE0455	3.00
WATDE0456	7.67
WATDE0457	NA
WATDE0460	3.67
WATDE0461	10.00
WATDE0462	2.67
WATDE0463	4.67
WATDE0465	NA
WATDE0467	NA
WATDE0469	5.33
WATDE0471	5.00
WATDE0474	4.00
WATDE0477	6.33
WATDE0479	6.33
WATDE0481	5.33
WATDE0482	NA
WATDE0484	NA
WATDE0486	7.67
WATDE0487	9.33
WATDE0488	NA
WATDE0489	2.00
WATDE0490	7.33
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	12.67
WATDE0510	4.33
WATDE0511	NA
WATDE0512	4.33
WATDE0513	6.33
WATDE0515	7.00
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	6.00
WATDE0521	5.67
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	2.67
WATDE0536	NA
WATDE0537	3.67
WATDE0538	5.67
WATDE0539	4.33
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	5.33
WATDE0546	NA
WATDE0547	9.33
WATDE0549	3.67
WATDE0550	NA
WATDE0552	4.67
WATDE0553	5.00
WATDE0555	5.00
WATDE0556	5.00
WATDE0557	5.33
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	5.33
WATDE0563	4.67
WATDE0565	5.67
WATDE0566	NA
WATDE0567	7.00
WATDE0568	9.00
WATDE0569	8.33
WATDE0570	NA
WATDE0571	20.67
WATDE0572	7.33
WATDE0574	5.00
WATDE0577	5.67
WATDE0578	NA
WATDE0579	NA
WATDE0581	3.67
WATDE0582	NA
WATDE0585	2.67
WATDE0586	NA
WATDE0588	4.33
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	6.67
WATDE0596	4.33
WATDE0597	NA
WATDE0598	4.00
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	7.67
WATDE0604	9.33
WATDE0606	3.33
WATDE0608	NA
WATDE0609	NA
WATDE0610	5.00
WATDE0611	9.00
WATDE0613	4.00
WATDE0614	2.33
WATDE0615	3.67
WATDE0616	8.00
WATDE0617	8.00
WATDE0618	NA
WATDE0620	2.67
WATDE0622	NA
WATDE0624	NA
WATDE0626	5.00
WATDE0627	NA
WATDE0628	3.00
WATDE0630	4.67
WATDE0631	4.00
WATDE0632	NA
WATDE0634	7.67
WATDE0635	1.67
WATDE0636	NA
WATDE0638	NA
WATDE0639	3.00
WATDE0640	2.33
WATDE0641	NA
WATDE0643	5.33
WATDE0644	NA
WATDE0646	3.67
WATDE0648	11.00
WATDE0649	4.67
WATDE0650	3.00
WATDE0651	1.00
WATDE0652	8.67
WATDE0653	1.33
WATDE0655	3.33
WATDE0657	NA
WATDE0658	NA
WATDE0659	7.33
WATDE0660	3.67
WATDE0661	5.67
WATDE0662	5.00
WATDE0663	10.67
WATDE0664	4.00
WATDE0665	4.00
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	4.67
WATDE0674	3.33
WATDE0675	2.33
WATDE0676	7.33
WATDE0678	4.00
WATDE0679	4.00
WATDE0680	8.67
WATDE0682	5.00
WATDE0683	5.33
WATDE0685	4.67
WATDE0686	9.00
WATDE0687	7.00
WATDE0688	3.67
WATDE0689	5.33
WATDE0691	1.00
WATDE0693	9.33
WATDE0694	3.00
WATDE0695	NA
WATDE0697	5.67
WATDE0699	NA
WATDE0700	7.67
WATDE0701	5.67
WATDE0702	2.33
WATDE0703	4.00
WATDE0704	2.00
WATDE0705	4.67
WATDE0706	NA
WATDE0707	13.67
WATDE0709	0.67
WATDE0710	NA
WATDE0712	6.00
WATDE0713	NA
WATDE0716	NA
WATDE0718	4.33
WATDE0720	4.33
WATDE0721	6.67
WATDE0723	3.33
WATDE0725	7.33
WATDE0726	NA
WATDE0727	NA
WATDE0728	19.67
WATDE0729	12.67
WATDE0730	5.00
WATDE0732	8.67
WATDE0735	4.67
WATDE0736	6.00
WATDE0737	NA
WATDE0738	8.33
WATDE0739	7.33
WATDE0740	NA
WATDE0742	NA
WATDE0743	4.33
WATDE0744	NA
WATDE0745	9.33
WATDE0747	6.00
WATDE0748	NA
WATDE0749	5.33
WATDE0750	NA
WATDE0751	3.33
WATDE0752	5.67
WATDE0754	NA
WATDE0755	6.67
WATDE0756	5.33
WATDE0758	11.67
WATDE0759	4.33
WATDE0760	4.33
WATDE0761	3.33
WATDE0763	7.67
WATDE0765	9.00
WATDE0766	5.67
WATDE0768	5.67
WATDE0769	17.67
WATDE0770	3.33
WATDE0771	3.00
WATDE0773	5.67
WATDE0774	6.33
WATDE0775	3.00
WATDE0776	NA
WATDE0777	6.67
WATDE0779	NA
WATDE0780	11.00
WATDE0781	13.67
WATDE0782	5.67
WATDE0783	5.33
WATDE0785	9.67
WATDE0786	7.33
WATDE0788	5.00
WATDE0789	NA
WATDE0790	4.67
WATDE0791	9.67
WATDE0793	7.33
WATDE0794	5.67
WATDE0795	14.00
WATDE0797	6.00
WATDE0798	NA
WATDE0800	15.00
WATDE0802	10.33
WATDE0803	14.67
WATDE0804	10.33
WATDE0805	4.33
WATDE0807	9.33
WATDE0808	6.67
WATDE0810	NA
WATDE0811	16.67
WATDE0812	10.00
WATDE0814	9.67
WATDE0815	NA
WATDE0816	NA
WATDE0817	5.00
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	5.67
WATDE0825	NA
WATDE0826	NA
WATDE0827	3.00
WATDE0828	NA
WATDE0830	4.33
WATDE0831	NA
WATDE0833	10.00
WATDE0835	2.00
WATDE0836	2.33
WATDE0837	3.67
WATDE0839	5.67
WATDE0840	NA
WATDE0841	2.00
WATDE0843	NA
WATDE0845	20.33
WATDE0846	24.33
WATDE0848	NA
WATDE0850	4.00
WATDE0851	22.00
WATDE0852	8.33
WATDE0854	3.33
WATDE0856	NA
WATDE0857	2.33
WATDE0859	6.33
WATDE0861	2.67
WATDE0862	3.00
WATDE0863	5.67
WATDE0864	NA
WATDE0865	6.33
WATDE0869	6.67
WATDE0871	3.67
WATDE0872	8.67
WATDE0873	NA
