IID	PH_Shenzhen-NN_2021_Natural
WATDE0618	65.20
WATDE0620	NA
WATDE0622	89.27
WATDE0624	NA
WATDE0626	164.97
WATDE0627	NA
WATDE0628	135.65
WATDE0630	NA
WATDE0631	NA
WATDE0632	129.97
WATDE0634	101.25
WATDE0635	142.98
WATDE0636	107.63
WATDE0638	91.33
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	141.60
WATDE0644	NA
WATDE0646	140.97
WATDE0648	NA
WATDE0649	148.50
WATDE0650	107.92
WATDE0651	151.62
WATDE0652	143.67
WATDE0653	147.30
WATDE0655	120.22
WATDE0657	151.49
WATDE0658	NA
WATDE0659	159.15
WATDE0660	101.00
WATDE0661	NA
WATDE0662	NA
WATDE0663	140.99
WATDE0664	NA
WATDE0665	95.90
WATDE0666	NA
WATDE0667	88.97
WATDE0669	NA
WATDE0670	88.49
WATDE0671	NA
WATDE0672	80.26
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	141.98
WATDE0679	NA
WATDE0680	136.41
WATDE0682	135.33
WATDE0683	120.99
WATDE0685	142.60
WATDE0686	NA
WATDE0687	83.93
WATDE0688	NA
WATDE0689	104.99
WATDE0691	115.00
WATDE0693	123.51
WATDE0694	113.65
WATDE0695	134.98
WATDE0697	106.91
WATDE0699	NA
WATDE0700	138.59
WATDE0701	99.86
WATDE0702	121.00
WATDE0703	NA
WATDE0704	137.31
WATDE0705	121.16
WATDE0706	128.22
WATDE0707	NA
WATDE0709	126.32
WATDE0710	NA
WATDE0712	134.13
WATDE0713	80.25
WATDE0716	NA
WATDE0718	90.57
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	149.32
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	150.15
WATDE0730	NA
WATDE0732	141.26
WATDE0735	138.32
WATDE0736	NA
WATDE0737	147.65
WATDE0738	140.33
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	40.41
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	156.65
WATDE0752	NA
WATDE0754	135.97
WATDE0755	NA
WATDE0756	NA
WATDE0758	NA
WATDE0759	132.58
WATDE0760	134.16
WATDE0761	145.76
WATDE0763	154.80
WATDE0765	148.42
WATDE0766	151.64
WATDE0768	157.60
WATDE0769	130.79
WATDE0770	NA
WATDE0771	125.95
WATDE0773	133.97
WATDE0774	NA
WATDE0775	129.65
WATDE0776	116.21
WATDE0777	135.99
WATDE0779	NA
WATDE0780	137.00
WATDE0781	NA
WATDE0782	137.85
WATDE0783	NA
WATDE0785	148.98
WATDE0786	NA
WATDE0788	150.66
WATDE0789	145.27
WATDE0790	144.15
WATDE0791	87.99
WATDE0793	147.14
WATDE0794	133.96
WATDE0795	150.19
WATDE0797	160.32
WATDE0798	158.79
WATDE0800	145.75
WATDE0802	156.97
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	135.08
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	99.65
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	111.37
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	74.75
WATDE0831	NA
WATDE0833	NA
WATDE0835	152.92
WATDE0836	140.77
WATDE0837	74.61
WATDE0839	NA
WATDE0840	NA
WATDE0841	87.74
WATDE0843	80.31
WATDE0845	100.98
WATDE0846	143.61
WATDE0848	113.39
WATDE0850	142.99
WATDE0851	134.62
WATDE0852	125.28
WATDE0854	124.84
WATDE0856	110.46
WATDE0857	142.44
WATDE0859	84.63
WATDE0861	142.63
WATDE0862	113.66
WATDE0863	151.29
WATDE0864	86.32
WATDE0865	NA
WATDE0869	137.33
WATDE0871	138.98
WATDE0872	125.31
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	76.32
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	142.48
WATDE0889	129.65
WATDE0890	137.66
WATDE0892	NA
WATDE0894	NA
WATDE0895	147.73
WATDE0896	NA
WATDE0898	NA
WATDE0899	145.33
WATDE0900	NA
WATDE0901	145.50
WATDE0902	NA
WATDE0903	NA
WATDE0904	133.81
WATDE0905	145.05
WATDE0906	119.64
WATDE0907	151.32
WATDE0909	147.30
WATDE0910	121.95
WATDE0911	NA
WATDE0912	NA
WATDE0913	164.21
WATDE0914	NA
WATDE0915	NA
WATDE0916	139.66
WATDE0917	118.85
WATDE0918	80.96
WATDE0919	127.58
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	135.22
WATDE0926	148.58
WATDE0927	147.98
WATDE0928	118.18
WATDE0929	NA
WATDE0930	121.86
WATDE0932	160.46
WATDE0933	127.22
WATDE0934	NA
WATDE0935	NA
WATDE0937	165.63
WATDE0938	NA
WATDE0939	119.84
WATDE0941	NA
WATDE0944	90.32
WATDE0945	141.56
WATDE0947	108.79
WATDE0950	NA
WATDE0951	144.80
WATDE0952	102.59
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	97.16
WATDE0958	92.36
WATDE0961	83.58
WATDE0963	118.05
WATDE0965	NA
WATDE0966	76.12
WATDE0967	96.50
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	124.66
WATDE0975	NA
WATDE0977	NA
WATDE0978	118.28
WATDE0979	148.28
WATDE0981	98.62
WATDE0982	NA
WATDE0983	140.65
WATDE0984	153.63
WATDE0986	153.64
WATDE0987	98.69
WATDE0989	120.65
WATDE0991	151.62
WATDE0993	100.93
WATDE0995	159.09
WATDE0996	131.66
WATDE0997	80.10
WATDE0999	93.33
WATDE1001	NA
WATDE1002	86.42
WATDE1003	99.84
WATDE1004	118.80
WATDE1005	NA
WATDE1008	120.26
WATDE1009	141.42
WATDE1010	121.32
WATDE1012	144.15
WATDE1014	NA
WATDE1016	92.87
WATDE1017	122.42
WATDE1018	131.97
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	97.87
WATDE1026	125.31
WATDE1027	NA
WATDE1029	NA
WATDE1031	127.90
WATDE1032	109.14
WATDE1034	NA
WATDE1035	94.56
WATDE1037	136.56
WATDE1038	155.33
WATDE1040	58.26
WATDE1042	94.99
WATDE1044	NA
WATDE1046	143.85
WATDE1048	NA
WATDE1049	155.62
WATDE1050	159.14
WATDE1051	156.21
WATDE1052	NA
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	140.77
WATDE1060	142.91
WATDE1061	123.98
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
