IID	Mat_Shenzhen_2022_Natural_50percnet
WATDE0365	165
WATDE0366	170
WATDE0368	151
WATDE0369	172
WATDE0370	157
WATDE0371	147
WATDE0372	146
WATDE0373	168
WATDE0374	172
WATDE0375	151
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	151
WATDE0382	161
WATDE0383	150
WATDE0385	151
WATDE0386	NA
WATDE0387	NA
WATDE0389	NA
WATDE0391	NA
WATDE0392	155
WATDE0394	157
WATDE0396	186
WATDE0397	174
WATDE0399	143
WATDE0401	147
WATDE0403	NA
WATDE0404	157
WATDE0405	NA
WATDE0407	157
WATDE0408	172
WATDE0409	146
WATDE0410	NA
WATDE0411	151
WATDE0412	164
WATDE0413	149
WATDE0415	165
WATDE0417	142
WATDE0419	143
WATDE0420	145
WATDE0421	138
WATDE0422	143
WATDE0423	140
WATDE0424	NA
WATDE0425	NA
WATDE0426	NA
WATDE0427	185
WATDE0428	168
WATDE0429	168
WATDE0430	163
WATDE0431	NA
WATDE0432	NA
WATDE0433	NA
WATDE0434	173
WATDE0435	166
WATDE0436	181
WATDE0438	NA
WATDE0439	154
WATDE0440	145
WATDE0441	163
WATDE0442	161
WATDE0443	172
WATDE0444	172
WATDE0445	165
WATDE0446	161
WATDE0448	182
WATDE0449	149
WATDE0450	148
WATDE0451	NA
WATDE0452	154
WATDE0453	143
WATDE0454	149
WATDE0455	146
WATDE0456	145
WATDE0457	NA
WATDE0460	160
WATDE0461	148
WATDE0462	137
WATDE0463	182
WATDE0465	NA
WATDE0467	183
WATDE0469	173
WATDE0471	173
WATDE0474	146
WATDE0477	174
WATDE0479	157
WATDE0481	162
WATDE0482	181
WATDE0484	NA
WATDE0486	171
WATDE0487	148
WATDE0488	184
WATDE0489	141
WATDE0490	160
WATDE0492	NA
WATDE0494	NA
WATDE0496	NA
WATDE0498	NA
WATDE0500	NA
WATDE0501	NA
WATDE0502	NA
WATDE0503	185
WATDE0504	184
WATDE0505	NA
WATDE0507	NA
WATDE0509	150
WATDE0510	183
WATDE0511	NA
WATDE0512	186
WATDE0513	181
WATDE0515	168
WATDE0516	NA
WATDE0518	191
WATDE0519	NA
WATDE0520	174
WATDE0521	162
WATDE0522	173
WATDE0524	NA
WATDE0527	188
WATDE0529	NA
WATDE0531	186
WATDE0533	187
WATDE0534	170
WATDE0536	NA
WATDE0537	171
WATDE0538	187
WATDE0539	172
WATDE0540	187
